canonical_slug,canonical_display_name,official_add,doctrine_divergence_tier,raw_source_count,best_notation,best_notation_source,best_notation_convention,curator_action,candidate_fborg,candidate_fm,candidate_passback,candidate_stanford
paradox-barrage,paradox-barrage,4,none,6,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],fborg,canonical_brackets,copy-as-is,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > OP TOE [DEL],,X.+1+1-Z
ducking-butterfly,ducking butterfly,4,none,5,SET > (DUCK) [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,SET > (DUCK) [BOD] > SAME/OP OUT [DEX] > OP CLIP [XBD] [DEL],ducking(+1) + butterfly(3) --> 4 ADDs,,Z^-0-X
ducking-osis,ducking osis,4,none,5,SET > DUCK [BOD] > SAME or OP OSIS [BOD] [XBD] [DEL],fborg,canonical_brackets,copy-as-is,SET > DUCK [BOD] > SAME or OP OSIS [BOD] [XBD] [DEL],ducking(+1) + osis(3) --> 4 ADDs,,Z^\-X
nova,nova,4,none,5,Toe >> (no plant while) Op In (DEX)(BOD) > Op Out (DEX) > Same Toe (DEL),fm,fm_parens,translate-to-bracket,,Toe >> (no plant while) Op In (DEX)(BOD) > Op Out (DEX) > Same Toe (DEL),Symp. DLO,Z.-!1-0+Z
paradox-double-leg-over,paradox-double-leg-over,4,none,5,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],fborg,canonical_brackets,copy-as-is,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],,
paradox-high-plains-drifter,paradox-high-plains-drifter,5,none,5,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],,X.-1+1+X
paradox-symposium-mirage,paradox-symposium-mirage,4,none,5,CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],fborg,canonical_brackets,copy-as-is,CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],CLIP (plant) > (no plant while) SAME IN [PDX] [BOD] [DEX] > OP TOE [DEL],,X.+!1-Z
paradox-symposium-whirl,paradox symposium whirl,5,none,5,CLIP (plant) > (no plant while) SAME IN [BOD] [PDX] [DEX] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,CLIP (plant) > (no plant while) SAME IN [BOD] [PDX] [DEX] > OP CLIP [XBD] [DEL],,"Pdx Symp Whirl, Clipper far Symp Whirl",X.+!1-X
spinning-osis,spinning osis,4,none,5,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,CLIP > (back) SPIN [BOD] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],spinning(+1) + osis(3) --> 4 ADDs,,X.\/-X
spinning-paradox-blender,spinning-paradox-blender,6,none,5,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],,
spinning-paradox-illusion,spinning-paradox-illusion,4,none,5,CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],fborg,canonical_brackets,copy-as-is,CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],CLIP > (back) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],,
spinning-paradox-mirage,spinning-paradox-mirage,4,none,5,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],fborg,canonical_brackets,copy-as-is,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP TOE [DEL],,
spinning-paradox-whirl,spinning-paradox-whirl,5,none,5,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],CLIP > (back) SPIN [BOD] > OP IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,
stepping-ducking-paradox-blender,stepping-ducking-paradox-blender,7,none,5,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],CLIP > OP IN [DEX] > DUCK [BOD] > OP IN [DEX] > (back) SPIN [BOD] > SAME CLIP [XBD] [DEL],,
ducking-clipper,ducking clipper,3,none,4,Z^+X,stanford,stanford_shorthand,translate-to-bracket,,,,Z^+X
fairy,fairy,2,none,4,TOE > SAME OUT [DEX] > OP TOE [DEL],fborg,canonical_brackets,copy-as-is,TOE > SAME OUT [DEX] > OP TOE [DEL],TOE > SAME OUT [DEX] > OP TOE [DEL],,Z+0.-Z
paradox-whirl,paradox whirl,4,none,4,CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],,X.+1-X
sidewalk,sidewalk,4,none,4,Clip > Op In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),fm,fm_parens,translate-to-bracket,,Clip > Op In (DEX) >> Same Out (DEX) > Op Clip (XBD)(DEL),,X-1.+0-X
spinning-butterfly,spinning butterfly,4,none,4,X.\-0-X,stanford,stanford_shorthand,translate-to-bracket,,spinning(+1) + butterfly(3) --> 4 ADDs,,X.\-0-X
spinning-clipper,spinning clipper,3,none,4,X.\+X,stanford,stanford_shorthand,translate-to-bracket,,spinning(+1) + clipper-stall(2) --> 3 ADDs,,X.\+X
stepping-osis,stepping osis,4,none,4,X-1.\+X,stanford,stanford_shorthand,translate-to-bracket,,stepping(+1) + osis(3) --> 4 ADDs,,X-1.\+X
surgery,surgery,6,none,4,Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),fm,fm_parens,translate-to-bracket,,Clip > (back) Spin (BOD) > Same In (DEX) >> (no plant while) Op Back Whirl (DEX)(BOD) > Op Clip (XBD)(DEL),,X\+1.-!0-X
symposium-whirl,symposium whirl,4,none,4,SET > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],fborg,canonical_brackets,copy-as-is,SET > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],SET > (no plant while) OP IN [BOD] [DEX] > OP CLIP [XBD] [DEL],,X.-!1-X
walk-over,walk over,2,none,4,"Inside Stall>place foot on ground>step over into Clipper, or reverse direction",passback,observational,translate-to-bracket,,stall(1) + dex(1) --> 2 ADDs,"Inside Stall>place foot on ground>step over into Clipper, or reverse direction",
reaper,reaper,3,small,7,CLIP > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL].,fborg,canonical_brackets,copy-as-is,CLIP > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL].,Clip >> Same Out (DEX) >> Same Out (DEX) > Same Toe (DEL),Clipper far DSO,X.+0+0+Z
around-the-world,around the world,2,small,6,TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],fborg,canonical_brackets,copy-as-is,TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],toe>ss leggy in dex>ss toe,Z.+1+Z
eggbeater,eggbeater,3,small,6,Toe >> Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),fm,fm_parens,translate-to-bracket,,Toe >> Op Out (DEX) > Op Out (DEX) > Same Toe (DEL),(downtime) Illusioning Legover,Z.-0-0+Z
flurry,flurry,4,small,6,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL),fm,fm_parens,translate-to-bracket,,Clip > Op In (DEX) > Same In (DEX) >> Op Out (DEX) > Same Toe (DEL),(midtime) Barraging far Legover,X.-1+1-0+Z
paradox-blizzard,paradox-blizzard,4,small,6,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,fborg,canonical_brackets,copy-as-is,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > OP TOE [DEL].,,X+1.-0-Z
pickup,pickup,2,small,6,SET > OP IN [DEX] > SAME TOE [DEL],fborg,canonical_brackets,copy-as-is,SET > OP IN [DEX] > SAME TOE [DEL],SET > OP IN [DEX] > SAME TOE [DEL],(downtime) leggy in dex>ss toe,*.-1+Z
