canonical_slug,source_slug,source_name,source_system,source_subsystem,source_record_id,publication_status,official_add,fm_formula_raw,fm_job_raw,fm_add_claim,fm_technical_name,fm_aliases_raw,fm_source_file,fborg_formula_raw,fborg_job_raw,fborg_add_claim,fborg_description_raw,fborg_source_file,passback_reading_raw,passback_add_claim,passback_uptime,passback_downtime,passback_dex_count,passback_alternate_names,stanford_symbolic,stanford_components,notation_primary,notation_primary_system,operational_notation,operational_notation_convention,add_formula_primary,add_formula_convention,source_add_claim,source_add_system,add_gap,parser_status,promotion_readiness,blocker_notes,curator_notes
around-the-world,around-the-world,around the world,canonical_db,freestyle_tricks,around-the-world,canonical_active,2,,,,,,,,,,,,,,,,,,,,ATW,jobs_notation,,,,,2,ifpa_canonical,,,,,full leg circle around the bag
assassin,assassin,assassin,canonical_db,freestyle_tricks,assassin,canonical_active,4,,,,,,,,,,,,,,,,,,,,PIXIE DUCKING MIRAGE,jobs_notation,,,,,4,ifpa_canonical,,,,,Pixie-and-ducking modified mirage.
atom-smasher,atom-smasher,atom smasher,canonical_db,freestyle_tricks,atom-smasher,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,"Atomic mirage: outside-then-inside dex sequence, recaught on the opposite toe."
atomic,atomic,atomic,canonical_db,freestyle_tricks,atomic,canonical_active,2,,,,,,,,,,,,,,,,,,,,ATOMIC,jobs_notation,,,,,2,ifpa_canonical,,,,,Atomic set: rising-bag double-tap launch; standalone 2 ADD. Acts as +1 (non-rotational) / +2 (rotational) modifier when prefixing a base trick - see trick_modifiers.
atomic-butterfly,atomic-butterfly,atomic butterfly,canonical_db,freestyle_tricks,atomic-butterfly,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Atomic-modified butterfly.
atomic-torque,atomic-torque,atomic torque,canonical_db,freestyle_tricks,atomic-torque,canonical_active,6,,,,,,,,,,,,,,,,,,,,ATOMIC TORQUE,jobs_notation,,,,,6,ifpa_canonical,,,,,Atomic-modified torque.
barfly,barfly,barfly,canonical_db,freestyle_tricks,barfly,canonical_active,4,,,,,,,,,,,,,,,,,,,,BARFLY,jobs_notation,CLIP >> SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [DEL] [XBD],canonical_brackets,,,4,ifpa_canonical,,,,,Double infinity.
barrage,barrage,barrage,canonical_db,freestyle_tricks,barrage,canonical_active,3,,,,,,,,,,,,,,,,,,,,,,CLIP > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],canonical_brackets,,,3,ifpa_canonical,,,,,Standalone trick distinct from the existing 'barraging' modifier; barrage is its own mechanical family. Barraging Paradox Mirage = Fury; Barraging Leg Over = Flurry.
barraging,barraging,barraging,canonical_db,freestyle_tricks,barraging,canonical_active,,,,,,,,,,,,,,,,,,,,,,,,,,,,ifpa_canonical,,,,,Body modifier; +1 ADD universally.
barraging-osis,barraging-osis,barraging osis,canonical_db,freestyle_tricks,barraging-osis,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,CLIP > OP IN [DEX] > SAME IN [DEX] > (back) SPIN [BOD] > OP CLIP [XBD] [DEL],fm_parens,,,5,ifpa_canonical,,,,,Barraging-modified osis.
bedwetter,bedwetter,bedwetter,canonical_db,freestyle_tricks,bedwetter,canonical_active,4,,,,,,,,,,,,,,,,,,,,,,,,,,4,ifpa_canonical,,,,,Stepping-modified eggbeater (PassBack folk-name).
big-apple,big-apple,big apple,canonical_db,freestyle_tricks,big-apple,canonical_active,6,,,,,,,,,,,,,,,,,,,,GYRO SYMPOSIUM TORQUE,jobs_notation,,,,,6,ifpa_canonical,,,,,Gyro-and-symposium modified torque.
bigwalk,bigwalk,bigwalk,canonical_db,freestyle_tricks,bigwalk,canonical_active,5,,,,,,,,,,,,,,,,,,,,,,,,,,5,ifpa_canonical,,,,,Surging-modified butterfly.
