slug,adds,dex,bod,xbd,uns,kick,pdx_xdex,posture,simult,classification
clipper_stall,2,0,0,0,0,0,0,0,0,ambiguous-needs-notation
toe_stall,1,0,0,0,0,0,0,0,0,ambiguous-needs-notation
gyro_diving_symposium_torque,7,1,4,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
gyro_ducking_symposium_torque,7,1,4,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
montage,7,1,3,1,0,0,1,1,1,breaker-posture-suspension-or-trajectory
spinning_ducking_paradox_symposium_whirl,7,1,3,1,0,0,1,1,1,breaker-posture-suspension-or-trajectory
spinning_ducking_symposium_torque,7,1,4,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
anoxia,6,1,3,0,0,0,1,1,1,breaker-posture-suspension-or-trajectory
big_apple,6,1,3,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
colossus,6,1,3,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
ducking_paradox_symposium_whirl,6,1,2,1,0,0,1,1,1,breaker-posture-suspension-or-trajectory
gyro_symposium_torque,6,1,3,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
mullet,6,1,2,1,0,0,1,1,1,breaker-posture-suspension-or-trajectory
paradox_symposium_torque,6,1,2,1,0,0,1,1,1,breaker-posture-suspension-or-trajectory
spinning_diving_symposium_whirl,6,1,3,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
spinning_ducking_paradox_symposium_mirage,6,1,3,0,0,0,1,1,1,breaker-posture-suspension-or-trajectory
spinning_ducking_symposium_whirl,6,1,3,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
spinning_paradox_symposium_whirl,6,1,2,1,0,0,1,1,1,breaker-posture-suspension-or-trajectory
spinning_symposium_flux,6,1,3,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
spinning_symposium_torque,6,1,3,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_mobius,6,1,3,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_tomahawk,6,1,2,1,0,0,1,1,1,breaker-posture-suspension-or-trajectory
diving_symposium_whirl,5,1,2,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
ducking_paradox_flail,5,1,2,0,0,0,1,1,1,breaker-posture-suspension-or-trajectory
ducking_paradox_symposium_illusion,5,1,2,0,0,0,1,1,1,breaker-posture-suspension-or-trajectory
ducking_paradox_symposium_mirage,5,1,2,0,0,0,1,1,1,breaker-posture-suspension-or-trajectory
ducking_symposium_reverse_whirl,5,1,2,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
gyro_symposium_swirl,5,1,2,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
gyro_symposium_whirl,5,1,2,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
paradox_symposium_whirl,5,1,1,1,0,0,1,1,1,breaker-posture-suspension-or-trajectory
sole_survivor,5,1,2,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
spinning_symposium_swirl,5,1,2,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_torque,5,1,2,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_twirl,5,1,2,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
diving_symposium_mirage,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
ducking_symposium_mirage,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
gyro_flail,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
gyro_symposium_mirage,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
inspinning_flail,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
inspinning_symposium_mirage,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
paradox_flail,4,1,1,0,0,0,1,1,1,breaker-posture-suspension-or-trajectory
paradox_symposium_illusion,4,1,1,0,0,0,1,1,1,breaker-posture-suspension-or-trajectory
paradox_symposium_mirage,4,1,1,0,0,0,1,1,1,breaker-posture-suspension-or-trajectory
spinning_symposium_illusion,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
spinning_symposium_mirage,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
spinning_symposium_pickup,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_butterfly,4,1,1,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_reverse_whirl,4,1,1,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_swirl,4,1,1,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_whirl,4,1,1,1,0,0,0,1,1,breaker-posture-suspension-or-trajectory
weaving_symposium_mirage,4,1,2,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
flail,3,1,1,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_bubba,3,1,1,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_mirage,3,1,1,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
symposium_pixie,3,1,1,0,0,0,0,1,1,breaker-posture-suspension-or-trajectory
pendulum,2,0,0,0,0,0,0,1,0,breaker-posture-suspension-or-trajectory
rake,2,1,0,0,0,0,0,1,0,breaker-posture-suspension-or-trajectory
ducking_eclipse,4,0,2,0,0,0,0,0,0,explained-body-extension
gyro_eclipse,4,0,2,0,0,0,0,0,0,explained-body-extension
weaving_eclipse,4,0,2,0,0,0,0,0,0,explained-body-extension
triple_spin,3,0,3,0,0,0,0,0,0,explained-body-extension
diving_toe_stall,2,0,1,0,0,0,0,0,0,explained-body-extension
double_spin,2,0,2,0,0,0,0,0,0,explained-body-extension
ducking_toe_stall,2,0,1,0,0,0,0,0,0,explained-body-extension
gyro_toe,2,0,1,0,0,0,0,0,0,explained-body-extension
