"name","slug","sources","category","ecosystems","signal_trace"
"Atom Bomb","atom-bomb","footbagmoves","A","atomic","stack_depth=0"
"Atomic DLO","atomic-dlo","footbagmoves","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=1"
"Atomic Drifter","atomic-drifter","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Eclipse","atomic-eclipse","fborg","A","atomic|eclipse-hop-over","modifiers=atomic;stack_depth=1"
"Atomic Illusion","atomic-illusion","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Legover (same side)","atomic-legover","footbagmoves","A","atomic","paren_kind=directional-qualifier;modifiers=atomic;stack_depth=1"
"Atomic Osis","atomic-osis","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Pickup (same side)","atomic-pickup","footbagmoves,passback","A","atomic","paren_kind=directional-qualifier;modifiers=atomic;stack_depth=1"
"Atomic ss Osis","atomic-ss-osis","footbagmoves","A","atomic","modifiers=atomic;stack_depth=2"
"Atomotion","atomotion","footbagmoves","A","atomic","stack_depth=0"
"Atomic Barrage","atomic-barrage","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Double Legover","atomic-double-legover","footbagmoves","A","atomic","modifiers=atomic;stack_depth=2"
"Atomic Double Over Down","atomic-double-over-down","footbagmoves","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=2"
"Atomic Ducking Blender","atomic-ducking-blender","footbagmoves|passback","A","ducking|atomic|blender-torque","modifiers=atomic|ducking;stack_depth=2"
"Atomic Ducking Double Legover","atomic-ducking-double-legover","footbagmoves","C","ducking|atomic","stack_depth=3;modifiers=atomic|ducking;directionals=double"
"Atomic Ducking Mirage","atomic-ducking-mirage","footbagmoves","A","ducking|atomic","modifiers=atomic|ducking;stack_depth=2"
"Atomic Ducking Torque","atomic-ducking-torque","footbagmoves","A","ducking|atomic|blender-torque","modifiers=atomic|ducking;stack_depth=2"
"Atomic Ducking Whirl","atomic-ducking-whirl","footbagmoves","A","ducking|atomic|whirl-swirl","modifiers=atomic|ducking;stack_depth=2"
"Atomic Eggbeater","atomic-eggbeater","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Flail","atomic-flail","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Illusion (same side)","atomic-illusion-same-side","footbagmoves","A","atomic","paren_kind=directional-qualifier;modifiers=atomic;stack_depth=1"
"Atomic Mirage","atomic-mirage","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Miraging Butterfly","atomic-miraging-butterfly","footbagmoves","A","atomic","modifiers=atomic|miraging;stack_depth=2"
"Atomic Motion","atomic-motion","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic os Symposium Double Over Down","atomic-os-symposium-double-over-down","footbagmoves","C","symposium|atomic|dlo-double-down","stack_depth=3;modifiers=atomic|symposium;directionals=double"
"Atomic Symposium Mirage","atomic-symposium-mirage","footbagmoves","A","symposium|atomic","modifiers=atomic|symposium;stack_depth=2"
"Atomic Symposium Whirl","atomic-symposium-whirl","footbagmoves","A","symposium|atomic|whirl-swirl","modifiers=atomic|symposium;stack_depth=2"
"Atomic Whirl","atomic-whirl","footbagmoves","A","atomic|whirl-swirl","modifiers=atomic;stack_depth=1"
"Atom Smasher (Atomic Mirage)","atom-smasher-atomic-mirage","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic (Toe set Illusion)","atomic-toe-set-illusion","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Eggbeater (Atomic Legover)","eggbeater-atomic-legover","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Fairy Atomic","fairy-atomic","fborg","A","fairy|atomic","modifiers=atomic|fairy;stack_depth=2"
"Flux (Atomic Osis)","flux-atomic-osis","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Fusion (Atomic Double Over Down)","fusion-atomic-double-over-down","fborg","B","atomic|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Legbeater (Atomic Butterfly)","legbeater-atomic-butterfly","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Neutron (Atomic spin)","neutron-atomic-spin","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Omelette (Atomic Illusion)","omelette-atomic-illusion","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"S&M Smasher (Atomic Barrage)","s-m-smasher-atomic-barrage","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Scrambled Eggbeater (Atomic Pickup)","scrambled-eggbeater-atomic-pickup","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Tapping (Atomic same side)","tapping-atomic-same-side","fborg","B","atomic","match=folk-name-with-parenthetical-reading"
"Witchdoctor (Atomic Symposium Mirage)","witchdoctor-atomic-symposium-mirage","fborg","B","symposium|atomic","match=folk-name-with-parenthetical-reading"
"Alpine Atomsmasher","alpine-atomsmasher","passback","A","atomic","stack_depth=1"
"Atomic DSO","atomic-dso","passback","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=1"
"Atomic Ducking far Double Down","atomic-ducking-far-double-down","passback","C","ducking|atomic|dlo-double-down","stack_depth=4;modifiers=atomic|ducking;directionals=double|far"
"Atomic Ducking far Mirage","atomic-ducking-far-mirage","passback","C","ducking|atomic","stack_depth=3;modifiers=atomic|ducking;directionals=far"
"Atomic Ducking far Torque","atomic-ducking-far-torque","passback","C","ducking|atomic|blender-torque","stack_depth=3;modifiers=atomic|ducking;directionals=far"
"Atomic far Blender","atomic-far-blender","passback","A","atomic|blender-torque","modifiers=atomic;stack_depth=2"
"Atomic far Butterfly","atomic-far-butterfly","passback","A","atomic","modifiers=atomic;stack_depth=2"
"Atomic far DLO","atomic-far-dlo","passback","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=2"
"Atomic far Double Down","atomic-far-double-down","passback","C","atomic|dlo-double-down","stack_depth=3;modifiers=atomic;directionals=double|far"
"Atomic far Eggbeater","atomic-far-eggbeater","passback","A","atomic","modifiers=atomic;stack_depth=2"
"Atomic far Mirage","atomic-far-mirage","passback","A","atomic","modifiers=atomic;stack_depth=2"
"Atomic far Symp. Double Down","atomic-far-symp-double-down","passback","C","symposium|atomic|dlo-double-down","stack_depth=3;modifiers=atomic;directionals=double|far"
"Atomic far Symp. Whirl","atomic-far-symp-whirl","passback","A","symposium|atomic|whirl-swirl","modifiers=atomic;stack_depth=2"
"Atomic far Whirl","atomic-far-whirl","passback","A","atomic|whirl-swirl","modifiers=atomic;stack_depth=2"
"Atomic Gyro Torque","atomic-gyro-torque","passback","A","gyro-spyro|atomic|blender-torque","modifiers=atomic|gyro;stack_depth=2"
"Atomic near Butterfly","atomic-near-butterfly","passback","A","atomic","modifiers=atomic;stack_depth=2"
"Atomic near Mirage","atomic-near-mirage","passback","A","atomic","modifiers=atomic;stack_depth=2"
"Bladerunner (Atomic Eggbeater)","bladerunner-atomic-eggbeater","passback","B","atomic","match=folk-name-with-parenthetical-reading"
"Full Symp. Atomsmasher","full-symp-atomsmasher","passback","A","symposium|atomic","stack_depth=0"
"Symp. Atomic far Butterfly","symp-atomic-far-butterfly","passback","A","symposium|atomic","modifiers=atomic;stack_depth=2"
"Atomic Blacula (Your Mom)","atomic-blacula-your-mom","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Blender","atomic-blender","stanford","A","atomic|blender-torque","modifiers=atomic;stack_depth=1"
"Atomic Butterfly (Leg Beater)","atomic-butterfly-leg-beater","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Butterfly Swirl (Leg Beater Swirl)","atomic-butterfly-swirl-leg-beater-swirl","stanford","B","atomic|whirl-swirl","match=folk-name-with-parenthetical-reading"
"Atomic Clipper","atomic-clipper","stanford","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic DLO (Predator)","atomic-dlo-predator","stanford","B","atomic|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Atomic DOD (Fusion)","atomic-dod-fusion","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Ducking Blender (Super Ego)","atomic-ducking-blender-super-ego","stanford","B","ducking|atomic|blender-torque","match=folk-name-with-parenthetical-reading"
"Atomic Ducking Butterfly (Atomic Warrior)","atomic-ducking-butterfly-atomic-warrior","stanford","B","ducking|atomic","match=folk-name-with-parenthetical-reading"
"Atomic Ducking DLO (Tunguska)","atomic-ducking-dlo-tunguska","stanford","B","ducking|atomic|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Atomic Ducking Mirage (Rasmus) (Skull Smasher)","atomic-ducking-mirage-rasmus-skull-smasher","stanford","A","ducking|atomic","modifiers=atomic|ducking;stack_depth=2"
"Atomic Ducking Motion (Mont Royal)","atomic-ducking-motion-mont-royal","stanford","B","ducking|atomic","match=folk-name-with-parenthetical-reading"
"Atomic Ducking Torque (Icarus)","atomic-ducking-torque-icarus","stanford","B","ducking|atomic|blender-torque","match=folk-name-with-parenthetical-reading"
"Atomic Ducking Whirl (Ego) (Tamboura)","atomic-ducking-whirl-ego-tamboura","stanford","A","ducking|atomic|whirl-swirl","modifiers=atomic|ducking;stack_depth=2"
"Atomic Dyno (Corkscrew)","atomic-dyno-corkscrew","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Eggbeater (Blade Runner)","atomic-eggbeater-blade-runner","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Flail (Trochus) (Backside Omelet)","atomic-flail-trochus-backside-omelet","stanford","A","atomic","modifiers=atomic;stack_depth=2"
"Atomic Guay","atomic-guay","stanford","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Gyro Symposium Whirl (Crossfire)","atomic-gyro-symposium-whirl-crossfire","stanford","B","symposium|gyro-spyro|atomic|whirl-swirl","match=folk-name-with-parenthetical-reading"
"Atomic Illusion (Omelet)","atomic-illusion-omelet","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Inspinning Butterfly","atomic-inspinning-butterfly","stanford","A","spinning|inspinning|atomic","modifiers=atomic|inspinning;stack_depth=2"
"Atomic Legover (Egg Plant)","atomic-legover-egg-plant","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Mirage (Atom Smasher)","atomic-mirage-atom-smasher","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Miraging Butterfly (Smash Walk)","atomic-miraging-butterfly-smash-walk","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Pickup (Scrambled Eggbeater)","atomic-pickup-scrambled-eggbeater","stanford","B","atomic","match=folk-name-with-parenthetical-reading"
"Atomic Reverse Guay","atomic-reverse-guay","stanford","A","atomic","modifiers=atomic;stack_depth=2"
"Atomic Reverse Swirl","atomic-reverse-swirl","stanford","A","atomic|whirl-swirl","modifiers=atomic;stack_depth=2"
