"name","slug","sources","category","ecosystems","signal_trace"
"Double Spinning Rake","double-spinning-rake","footbagmoves","A","spinning|dragon-rake","modifiers=spinning;stack_depth=2"
"Dragonstein","dragonstein","footbagmoves","A","dragon-rake","stack_depth=0"
"Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","footbagmoves","C","symposium|whirl-swirl|dragon-rake|paradox","stack_depth=3;modifiers=paradox|symposium|whirling"
"Paradox Whirling Rake","paradox-whirling-rake","footbagmoves","A","whirl-swirl|dragon-rake|paradox","modifiers=paradox|whirling;stack_depth=2"
"Reverse Whirling Rake","reverse-whirling-rake","footbagmoves","A","whirl-swirl|dragon-rake","modifiers=whirling;stack_depth=2"
"Snapdragon","snapdragon","footbagmoves","A","dragon-rake","stack_depth=0"
"Whirling Rake","whirling-rake","footbagmoves","A","whirl-swirl|dragon-rake","modifiers=whirling;stack_depth=1"
"Blurry Symposium Whirling XBD Rake","blurry-symposium-whirling-xbd-rake","footbagmoves","D","symposium|whirl-swirl|blurry-furious|dragon-rake","doctrine_tokens=blurry"
"Butterfly Dragon","butterfly-dragon","footbagmoves","A","dragon-rake","stack_depth=0"
"Double Swirl Dragon","double-swirl-dragon","footbagmoves","A","whirl-swirl|dragon-rake","stack_depth=1"
"Dragon set Stepping op Firewalk","dragon-set-stepping-op-firewalk","footbagmoves","A","stepping|dragon-rake","modifiers=stepping;stack_depth=2"
"Fairy Crossbody Rake","fairy-crossbody-rake","footbagmoves","A","fairy|dragon-rake","modifiers=fairy;stack_depth=1"
"Hopover Swirl Dragon","hopover-swirl-dragon","footbagmoves","A","whirl-swirl|eclipse-hop-over|dragon-rake","stack_depth=0"
"Miraging Dragon","miraging-dragon","footbagmoves","A","dragon-rake","modifiers=miraging;stack_depth=1"
"Paradox Drifter XBD Rake","paradox-drifter-xbd-rake","footbagmoves","A","dragon-rake|paradox","modifiers=paradox;stack_depth=1"
"Reverse Swirl Dragon","reverse-swirl-dragon","footbagmoves","A","whirl-swirl|dragon-rake","stack_depth=1"
"Surging Ducking Paradox Symposium Whirling Rake","surging-ducking-paradox-symposium-whirling-rake","footbagmoves","C","ducking|symposium|whirl-swirl|dragon-rake|paradox","stack_depth=5;modifiers=ducking|paradox|surging|symposium|whirling"
"Swirl Dragon","swirl-dragon","footbagmoves","A","whirl-swirl|dragon-rake","stack_depth=0"
"Toe set os Double Over Down Dragon","toe-set-os-double-over-down-dragon","footbagmoves","A","dlo-double-down|dragon-rake","stack_depth=1"
"Snapping (Dragon set Swirling)","snapping-dragon-set-swirling","fborg","B","whirl-swirl|dragon-rake","match=folk-name-with-parenthetical-reading"
"Twisted (Dragon set Swirling Paradox)","twisted-dragon-set-swirling-paradox","fborg","B","whirl-swirl|dragon-rake|paradox","match=folk-name-with-parenthetical-reading"
"Drifter Rake","drifter-rake","passback","A","dragon-rake","stack_depth=0"
"Rake, Xbd Rake","rake-xbd-rake","passback","A","dragon-rake","stack_depth=0"
"Blurry PS Whirling XBD Rake (Warlock) (Sasquatch)","blurry-ps-whirling-xbd-rake-warlock-sasquatch","stanford","D","whirl-swirl|blurry-furious|dragon-rake","doctrine_tokens=blurry"
"Butterfly Dragon (Firefly)","butterfly-dragon-firefly","stanford","B","dragon-rake","match=folk-name-with-parenthetical-reading"
"Butterfly XBD Rake","butterfly-xbd-rake","stanford","A","dragon-rake","stack_depth=0"
"Crossbody Rake (XBD Rake)","crossbody-rake-xbd-rake","stanford","B","dragon-rake","match=folk-name-with-parenthetical-reading"
"Da Da Curve XBD Rake","da-da-curve-xbd-rake","stanford","A","dragon-rake","stack_depth=0"
"Double Butterfly Dragon (Pteradon)","double-butterfly-dragon-pteradon","stanford","B","dragon-rake","match=folk-name-with-parenthetical-reading"
"Double Swirling Dragon (Dragon Stein)","double-swirling-dragon-dragon-stein","stanford","B","whirl-swirl|dragon-rake","match=folk-name-with-parenthetical-reading"
