"name","slug","sources","category","ecosystems","signal_trace"
"Atomic Eclipse","atomic-eclipse","fborg","A","atomic|eclipse-hop-over","modifiers=atomic;stack_depth=1"
"Miraging Eclipse","miraging-eclipse","fborg","A","eclipse-hop-over","modifiers=miraging;stack_depth=1"
"Pixie Eclipse","pixie-eclipse","fborg","A","pixie|eclipse-hop-over","modifiers=pixie;stack_depth=1"
"Hopover Swirl Dragon","hopover-swirl-dragon","footbagmoves","A","whirl-swirl|eclipse-hop-over|dragon-rake","stack_depth=0"
"Diving Eclipse","diving-eclipse","stanford","A","eclipse-hop-over","stack_depth=0"
"Ducking Eclipse","ducking-eclipse","stanford","A","ducking|eclipse-hop-over","modifiers=ducking;stack_depth=1"
"Eclipse (Catwalk)","eclipse-catwalk","stanford","B","eclipse-hop-over","match=folk-name-with-parenthetical-reading"
"Fairy Eclipse","fairy-eclipse","stanford","A","fairy|eclipse-hop-over","modifiers=fairy;stack_depth=1"
"Gyro Eclipse","gyro-eclipse","stanford","A","gyro-spyro|eclipse-hop-over","modifiers=gyro;stack_depth=1"
"Hopover","hopover","stanford","A","eclipse-hop-over","stack_depth=0"
"Hopover Spitfire (Furnace)","hopover-spitfire-furnace","stanford","B","eclipse-hop-over","match=folk-name-with-parenthetical-reading"
"Hopover Swirl","hopover-swirl","stanford","A","whirl-swirl|eclipse-hop-over","stack_depth=0"
"Quantum Eclipse","quantum-eclipse","stanford","A","quantum|eclipse-hop-over","modifiers=quantum;stack_depth=1"
"Weaving Eclipse","weaving-eclipse","stanford","D","eclipse-hop-over|weaving","doctrine_tokens=weaving"
"Zulu Eclipse","zulu-eclipse","stanford","A","eclipse-hop-over","stack_depth=0"
