"name","slug","sources","category","ecosystems","signal_trace"
"Fairy Beater","fairy-beater","footbagmoves","A","fairy","modifiers=fairy;stack_depth=1"
"Fairy DLO (ss)","fairy-dlo","passback","A","fairy|dlo-double-down","paren_kind=directional-qualifier;modifiers=fairy;stack_depth=2"
"Fairy Ducking Butterfly","fairy-ducking-butterfly","footbagmoves","A","ducking|fairy","modifiers=ducking|fairy;stack_depth=2"
"Fairy Ducking Legover","fairy-ducking-legover","footbagmoves","A","ducking|fairy","modifiers=ducking|fairy;stack_depth=2"
"Fairy Ducking Pickup","fairy-ducking-pickup","footbagmoves","A","ducking|fairy","modifiers=ducking|fairy;stack_depth=2"
"Fairy Eggbeater","fairy-eggbeater","footbagmoves","A","fairy","modifiers=fairy;stack_depth=1"
"Fairy Illusion (same side)","fairy-illusion","footbagmoves","A","fairy","paren_kind=directional-qualifier;modifiers=fairy;stack_depth=1"
"Fairy Legover","fairy-legover","footbagmoves,passback","A","fairy","modifiers=fairy;stack_depth=1"
"Fairy Mirage (same side)","fairy-mirage","footbagmoves","A","fairy","paren_kind=directional-qualifier;modifiers=fairy;stack_depth=1"
"Fairy Pickup","fairy-pickup","footbagmoves,passback","A","fairy","modifiers=fairy;stack_depth=1"
"Fairy ss Osis","fairy-ss-osis","footbagmoves","A","fairy","modifiers=fairy;stack_depth=2"
"Fairy Tale","fairy-tale","footbagmoves","A","fairy","modifiers=fairy;stack_depth=1"
"Fairy Torque (same side)","fairy-torque","footbagmoves","A","fairy|blender-torque","paren_kind=directional-qualifier;modifiers=fairy;stack_depth=1"
"Fairy Blender","fairy-blender","footbagmoves","A","fairy|blender-torque","modifiers=fairy;stack_depth=1"
"Fairy Crossbody Rake","fairy-crossbody-rake","footbagmoves","A","fairy|dragon-rake","modifiers=fairy;stack_depth=1"
"Fairy Diving Butterfly","fairy-diving-butterfly","footbagmoves","A","fairy","modifiers=fairy;stack_depth=1"
"Fairy Double Legover","fairy-double-legover","footbagmoves","A","fairy","modifiers=fairy;stack_depth=2"
"Fairy Ducking Blender","fairy-ducking-blender","footbagmoves","A","ducking|fairy|blender-torque","modifiers=ducking|fairy;stack_depth=2"
