"name","slug","sources","category","ecosystems","signal_trace"
"Gyro Barfly","gyro-barfly","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Blender","gyro-blender","footbagmoves","A","gyro-spyro|blender-torque","modifiers=gyro;stack_depth=1"
"Gyro Butterfly","gyro-butterfly","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Clipper","gyro-clipper","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro DLO","gyro-dlo","footbagmoves","A","gyro-spyro|dlo-double-down","modifiers=gyro;stack_depth=1"
"Gyro Illusion","gyro-illusion","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Mirage","gyro-mirage","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Osis","gyro-osis","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Symp Swirl","gyro-symp-swirl","passback","A","gyro-spyro|whirl-swirl","modifiers=gyro;stack_depth=1"
"Gyro Toe","gyro-toe","passback","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Whirl","gyro-whirl","footbagmoves","A","gyro-spyro|whirl-swirl","modifiers=gyro;stack_depth=1"
"Gyro Whirling Swirl","gyro-whirling-swirl","passback","A","gyro-spyro|whirl-swirl","modifiers=gyro|whirling;stack_depth=2"
"Spyro Gyro","spyro-gyro","footbagmoves","A","gyro-spyro","modifiers=gyro|spyro;stack_depth=2"
"Toe Gyro Mirage","toe-gyro-mirage","passback","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Fairy Spyro Symposium Torque","fairy-spyro-symposium-torque","footbagmoves","C","fairy|symposium|gyro-spyro|blender-torque","stack_depth=3;modifiers=fairy|spyro|symposium"
"Gyro Butterfly Swirl","gyro-butterfly-swirl","footbagmoves","A","gyro-spyro|whirl-swirl","modifiers=gyro;stack_depth=1"
"Gyro Dada Curve","gyro-dada-curve","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Double Over Down","gyro-double-over-down","footbagmoves","A","gyro-spyro|dlo-double-down","modifiers=gyro;stack_depth=2"
"Gyro Drifter","gyro-drifter","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Ducking Symposium Torque","gyro-ducking-symposium-torque","footbagmoves","C","ducking|symposium|gyro-spyro|blender-torque","stack_depth=3;modifiers=ducking|gyro|symposium"
"Gyro Eggbeater","gyro-eggbeater","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Flurry","gyro-flurry","footbagmoves|passback","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Legover","gyro-legover","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Pickup","gyro-pickup","footbagmoves|passback","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Gyro Symposium Torque","gyro-symposium-torque","footbagmoves","A","symposium|gyro-spyro|blender-torque","modifiers=gyro|symposium;stack_depth=2"
"Gyro Torque","gyro-torque","footbagmoves|passback","A","gyro-spyro|blender-torque","modifiers=gyro;stack_depth=1"
"Gyro Torquescrew","gyro-torquescrew","footbagmoves|passback","A","gyro-spyro|blender-torque","modifiers=gyro;stack_depth=1"
"Pixie Gyro Double Legover","pixie-gyro-double-legover","footbagmoves","C","pixie|gyro-spyro","stack_depth=3;modifiers=gyro|pixie;directionals=double"
"Quantum Gyro Mirage","quantum-gyro-mirage","footbagmoves","A","gyro-spyro|quantum","modifiers=gyro|quantum;stack_depth=2"
"Sailing Gyro Pickup","sailing-gyro-pickup","footbagmoves","A","gyro-spyro","modifiers=gyro;stack_depth=1"
"Shooting Gyro Mirage","shooting-gyro-mirage","footbagmoves","D","gyro-spyro|shooting","doctrine_tokens=shooting"
"Spyro Diving Symposium Whirl","spyro-diving-symposium-whirl","footbagmoves","A","symposium|gyro-spyro|whirl-swirl","modifiers=spyro|symposium;stack_depth=2"
"Spyro Nova","spyro-nova","footbagmoves","A","gyro-spyro","modifiers=spyro;stack_depth=1"
"Spyro Symple Drifter","spyro-symple-drifter","footbagmoves","A","gyro-spyro","modifiers=spyro;stack_depth=1"
"Spyro Symposium Mirage","spyro-symposium-mirage","footbagmoves","A","symposium|gyro-spyro","modifiers=spyro|symposium;stack_depth=2"
"Spyro Symposium Torquescrew","spyro-symposium-torquescrew","footbagmoves","A","symposium|gyro-spyro|blender-torque","modifiers=spyro|symposium;stack_depth=2"
"Toe set Gyro Torque","toe-set-gyro-torque","footbagmoves","A","gyro-spyro|blender-torque","modifiers=gyro;stack_depth=1"
