"name","slug","sources","category","ecosystems","signal_trace"
"Inspinning Clipper","inspinning-clipper","footbagmoves,passback","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Osis","inspinning-osis","footbagmoves,passback","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Same Side Butterfly","inspinning-same-side-butterfly","fborg","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Same Side Illusion","inspinning-same-side-illusion","fborg","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Same Side Mirage","inspinning-same-side-mirage","fborg","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Legover","inspinning-legover","footbagmoves","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Twinspinning ss Mirage","twinspinning-ss-mirage","footbagmoves","A","spinning|inspinning","stack_depth=1"
"Inspinning","inspinning","fborg","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Leaning (stepping inspinning)","leaning-stepping-inspinning","fborg","B","stepping|spinning|inspinning","match=folk-name-with-parenthetical-reading"
"Pixie Inspinning","pixie-inspinning","fborg","A","pixie|spinning|inspinning","modifiers=inspinning|pixie;stack_depth=2"
"Twinspinning (nuclear inspinning)","twinspinning-nuclear-inspinning","fborg","D","spinning|inspinning|blurry-furious","doctrine_tokens=nuclear"
"Atomic Inspinning Butterfly","atomic-inspinning-butterfly","stanford","A","spinning|inspinning|atomic","modifiers=atomic|inspinning;stack_depth=2"
"Inspinning Flail","inspinning-flail","stanford","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Guay","inspinning-guay","stanford","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Illusion","inspinning-illusion","stanford","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Legover (Icon)","inspinning-legover-icon","stanford","B","spinning|inspinning","match=folk-name-with-parenthetical-reading"
"Inspinning Mirage","inspinning-mirage","stanford","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Reverse Guay","inspinning-reverse-guay","stanford","A","spinning|inspinning","modifiers=inspinning;stack_depth=2"
"Inspinning Symposium Mirage","inspinning-symposium-mirage","stanford","A","symposium|spinning|inspinning","modifiers=inspinning|symposium;stack_depth=2"
"Inspinning Toe Stall","inspinning-toe-stall","stanford","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Twinspinning Illusion","twinspinning-illusion","stanford","A","spinning|inspinning","stack_depth=0"
"Twinspinning Legover","twinspinning-legover","stanford","A","spinning|inspinning","stack_depth=0"
"Twinspinning Mirage (Tornado)","twinspinning-mirage-tornado","stanford","B","spinning|inspinning","match=folk-name-with-parenthetical-reading"
"Twinspinning Pickup","twinspinning-pickup","stanford","A","spinning|inspinning","stack_depth=0"
