"name","slug","sources","category","ecosystems","signal_trace"
"Pixie Double Pickup (ss)","pixie-double-pickup","passback","C","pixie","paren_kind=directional-qualifier;stack_depth=3;modifiers=pixie;directionals=double|ss"
"Pixie DSO","pixie-dso","passback","A","pixie|dlo-double-down","modifiers=pixie;stack_depth=1"
"Pixie Ducking Legover","pixie-ducking-legover","footbagmoves","A","ducking|pixie","modifiers=ducking|pixie;stack_depth=2"
"Pixie Ducking Pickup","pixie-ducking-pickup","footbagmoves","A","ducking|pixie","modifiers=ducking|pixie;stack_depth=2"
"Pixie Eclipse","pixie-eclipse","fborg","A","pixie|eclipse-hop-over","modifiers=pixie;stack_depth=1"
"Pixie Eggbeater","pixie-eggbeater","footbagmoves","A","pixie","modifiers=pixie;stack_depth=1"
"Pixie Leg Over","pixie-leg-over","fborg","A","pixie","modifiers=pixie;stack_depth=1"
"Pixie Legover","pixie-legover","footbagmoves","A","pixie","modifiers=pixie;stack_depth=1"
"Pixie Osis","pixie-osis","footbagmoves","A","pixie","modifiers=pixie;stack_depth=1"
"Pixie Paradon","pixie-paradon","fborg","A","pixie","modifiers=pixie;stack_depth=1"
"Pixie Pickup","pixie-pickup","footbagmoves","A","pixie","modifiers=pixie;stack_depth=1"
"Pixie Quantum Butterfly","pixie-quantum-butterfly","footbagmoves","A","pixie|quantum","modifiers=pixie|quantum;stack_depth=2"
"Pixie Same Side Illusion","pixie-same-side-illusion","fborg","A","pixie","modifiers=pixie;stack_depth=1"
"Pixie Symposium Illusion","pixie-symposium-illusion","footbagmoves","A","pixie|symposium","modifiers=pixie|symposium;stack_depth=2"
"Pixie Symposium Mirage","pixie-symposium-mirage","footbagmoves","A","pixie|symposium","modifiers=pixie|symposium;stack_depth=2"
"Pixie Torque","pixie-torque","footbagmoves","A","pixie|blender-torque","modifiers=pixie;stack_depth=1"
"Pixie Whirl","pixie-whirl","footbagmoves","A","pixie|whirl-swirl","modifiers=pixie;stack_depth=1"
"Double Pixie","double-pixie","footbagmoves","A","pixie","modifiers=pixie;stack_depth=2"
