"name","slug","sources","category","ecosystems","signal_trace"
"Pogo (Symposium Whirling)","pogo-symposium-whirling","fborg","D","symposium|whirl-swirl|pogo","doctrine_tokens=pogo"
"Pogo Paradox Blender (Pogo Op Blender)","pogo-paradox-blender-pogo-op-blender","fborg","D","blender-torque|pogo|paradox","doctrine_tokens=pogo"
"Pogo Paradox Da Da Curve (Pogo Op Da Da Curve)","pogo-paradox-da-da-curve-pogo-op-da-da-curve","fborg","D","pogo|paradox","doctrine_tokens=pogo"
"Pogo Paradox Torque (Pogo Op Torque)","pogo-paradox-torque-pogo-op-torque","fborg","D","blender-torque|pogo|paradox","doctrine_tokens=pogo"
"Pogo Paradox Whirling Swirl (Pogo Op Whirling Swirl)","pogo-paradox-whirling-swirl-pogo-op-whirling-swirl","fborg","D","whirl-swirl|pogo|paradox","doctrine_tokens=pogo"
"Pogo far Mirage","pogo-far-mirage","passback","D","pogo","doctrine_tokens=pogo"
"Pogo Nuclear far Double Down","pogo-nuclear-far-double-down","passback","D","dlo-double-down|pogo|blurry-furious","doctrine_tokens=nuclear|pogo"
"Pogo Barrage","pogo-barrage","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo Blender","pogo-blender","stanford","D","blender-torque|pogo","doctrine_tokens=pogo"
"Pogo Clipper","pogo-clipper","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo Da Da Curve","pogo-da-da-curve","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo DLO","pogo-dlo","stanford","D","dlo-double-down|pogo","doctrine_tokens=pogo"
"Pogo Drifter","pogo-drifter","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo Eggbeater","pogo-eggbeater","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo Illusion","pogo-illusion","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo Legover","pogo-legover","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo Mirage","pogo-mirage","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo Motion","pogo-motion","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo ss Clipper","pogo-ss-clipper","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo ss Flail","pogo-ss-flail","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo ss Illusion","pogo-ss-illusion","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo ss Legover","pogo-ss-legover","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo ss Mirage","pogo-ss-mirage","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo ss Pickup","pogo-ss-pickup","stanford","D","pogo","doctrine_tokens=pogo"
"Pogo ss Symposium Mirage","pogo-ss-symposium-mirage","stanford","D","symposium|pogo","doctrine_tokens=pogo"
"Pogo Torque","pogo-torque","stanford","D","blender-torque|pogo","doctrine_tokens=pogo"
"Pogo Whirl","pogo-whirl","stanford","D","whirl-swirl|pogo","doctrine_tokens=pogo"
"Pogo Whirling Swirl","pogo-whirling-swirl","stanford","D","whirl-swirl|pogo","doctrine_tokens=pogo"
