"name","slug","sources","category","ecosystems","signal_trace"
"Pixie Quantum Butterfly","pixie-quantum-butterfly","footbagmoves","A","pixie|quantum","modifiers=pixie|quantum;stack_depth=2"
"Quantum Butterfly (same side)","quantum-butterfly","footbagmoves","A","quantum","paren_kind=directional-qualifier;modifiers=quantum;stack_depth=1"
"Quantum Drifter","quantum-drifter","fborg","A","quantum","modifiers=quantum;stack_depth=1"
"Quantum Illusion","quantum-illusion","footbagmoves","A","quantum","modifiers=quantum;stack_depth=1"
"Quantum Legover","quantum-legover","footbagmoves","A","quantum","modifiers=quantum;stack_depth=1"
"Quantum Mirage","quantum-mirage","footbagmoves","A","quantum","modifiers=quantum;stack_depth=1"
"Quantum Osis","quantum-osis","footbagmoves","A","quantum","modifiers=quantum;stack_depth=1"
"Quantum Pickup (same side)","quantum-pickup","footbagmoves","A","quantum","paren_kind=directional-qualifier;modifiers=quantum;stack_depth=1"
"Quantum Whirl","quantum-whirl","fborg","A","quantum|whirl-swirl","modifiers=quantum;stack_depth=1"
"Pixie Quantum Double Over Down Swirl","pixie-quantum-double-over-down-swirl","footbagmoves","C","pixie|quantum|whirl-swirl|dlo-double-down","stack_depth=3;modifiers=pixie|quantum;directionals=double"
"Quantum Blender","quantum-blender","footbagmoves","A","quantum|blender-torque","modifiers=quantum;stack_depth=1"
"Quantum Double Over Down","quantum-double-over-down","footbagmoves","A","quantum|dlo-double-down","modifiers=quantum;stack_depth=2"
"Quantum Ducking Whirl","quantum-ducking-whirl","footbagmoves","A","ducking|quantum|whirl-swirl","modifiers=ducking|quantum;stack_depth=2"
"Quantum Eggbeater","quantum-eggbeater","footbagmoves","A","quantum","modifiers=quantum;stack_depth=1"
"Quantum Gyro Mirage","quantum-gyro-mirage","footbagmoves","A","gyro-spyro|quantum","modifiers=gyro|quantum;stack_depth=2"
"Quantum Illusion (same side)","quantum-illusion-same-side","footbagmoves","A","quantum","paren_kind=directional-qualifier;modifiers=quantum;stack_depth=1"
"Quantum Legover (same side)","quantum-legover-same-side","footbagmoves","A","quantum","paren_kind=directional-qualifier;modifiers=quantum;stack_depth=1"
"Quantum Mirage (same side)","quantum-mirage-same-side","footbagmoves","A","quantum","paren_kind=directional-qualifier;modifiers=quantum;stack_depth=1"
"Quantum Symposium Mirage","quantum-symposium-mirage","footbagmoves","A","symposium|quantum","modifiers=quantum|symposium;stack_depth=2"
"Quantum Torque","quantum-torque","footbagmoves","A","quantum|blender-torque","modifiers=quantum;stack_depth=1"
"Quantum Weaving Butterfly","quantum-weaving-butterfly","footbagmoves","D","quantum|weaving","doctrine_tokens=weaving"
"Backside Symposium Toe Blizzard (Quantum Symposium Illusion)","backside-symposium-toe-blizzard-quantum-symposium-illusion","fborg","B","symposium|quantum","match=folk-name-with-parenthetical-reading"
"Backside Symposium Toe Blur (Quantum Symposium Mirage)","backside-symposium-toe-blur-quantum-symposium-mirage","fborg","B","symposium|quantum","match=folk-name-with-parenthetical-reading"
"Frantic (pixie-quantum)","frantic-pixie-quantum","fborg","B","pixie|quantum","match=folk-name-with-parenthetical-reading"
"Plasma (Quantum Double Over Down)","plasma-quantum-double-over-down","fborg","B","quantum|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Toe Blizzard (Quantum Illusion)","toe-blizzard-quantum-illusion","fborg","B","quantum","match=folk-name-with-parenthetical-reading"
"Toe Blur (Quantum Mirage)","toe-blur-quantum-mirage","fborg","B","quantum","match=folk-name-with-parenthetical-reading"
"Toe Ripwalk (Quantum Butterfly)","toe-ripwalk-quantum-butterfly","fborg","B","quantum","match=folk-name-with-parenthetical-reading"
"Quantum far Butterfly","quantum-far-butterfly","passback","A","quantum","modifiers=quantum;stack_depth=2"
"Quantum far Double Down","quantum-far-double-down","passback","C","quantum|dlo-double-down","stack_depth=3;modifiers=quantum;directionals=double|far"
"Quantum far Mirage","quantum-far-mirage","passback","A","quantum","modifiers=quantum;stack_depth=2"
"Quantum far Torque","quantum-far-torque","passback","A","quantum|blender-torque","modifiers=quantum;stack_depth=2"
"Quantum near Butterfly","quantum-near-butterfly","passback","A","quantum","modifiers=quantum;stack_depth=2"
"Quantum Blender (Tofu)","quantum-blender-tofu","stanford","B","quantum|blender-torque","match=folk-name-with-parenthetical-reading"
"Quantum Butterfly (Trip Walk)","quantum-butterfly-trip-walk","stanford","B","quantum","match=folk-name-with-parenthetical-reading"
"Quantum Butterfly Swirl (Triptide)","quantum-butterfly-swirl-triptide","stanford","B","quantum|whirl-swirl","match=folk-name-with-parenthetical-reading"
"Quantum DLO (Toe Fog)","quantum-dlo-toe-fog","stanford","B","quantum|dlo-double-down","match=folk-name-with-parenthetical-reading"
"Quantum DOD (Plasma)","quantum-dod-plasma","stanford","B","quantum","match=folk-name-with-parenthetical-reading"
"Quantum Eclipse","quantum-eclipse","stanford","A","quantum|eclipse-hop-over","modifiers=quantum;stack_depth=1"
"Quantum Eggbeater (Boulder Beater)","quantum-eggbeater-boulder-beater","stanford","B","quantum","match=folk-name-with-parenthetical-reading"
"Quantum Flail (Backside Toe Blizzard)","quantum-flail-backside-toe-blizzard","stanford","B","quantum","match=folk-name-with-parenthetical-reading"
"Quantum Guay","quantum-guay","stanford","A","quantum","modifiers=quantum;stack_depth=1"
"Quantum Gyro Mirage (Quagmire)","quantum-gyro-mirage-quagmire","stanford","B","gyro-spyro|quantum","match=folk-name-with-parenthetical-reading"
"Quantum Illusion (Toe Blizzard)","quantum-illusion-toe-blizzard","stanford","B","quantum","match=folk-name-with-parenthetical-reading"
"Quantum Mirage (Toe Blur)","quantum-mirage-toe-blur","stanford","B","quantum","match=folk-name-with-parenthetical-reading"
"Quantum Pickup (Leg Eater)","quantum-pickup-leg-eater","stanford","B","quantum","match=folk-name-with-parenthetical-reading"
"Quantum Reverse Guay","quantum-reverse-guay","stanford","A","quantum","modifiers=quantum;stack_depth=2"
"Quantum Symposium Mirage (Conniption City)","quantum-symposium-mirage-conniption-city","stanford","B","symposium|quantum","match=folk-name-with-parenthetical-reading"
"Quantum Symposium Whirl","quantum-symposium-whirl","stanford","A","symposium|quantum|whirl-swirl","modifiers=quantum|symposium;stack_depth=2"
"Quantum Torque (Quark)","quantum-torque-quark","stanford","B","quantum|blender-torque","match=folk-name-with-parenthetical-reading"
