"name","slug","sources","category","ecosystems","signal_trace"
"Shooting Eggbeater","shooting-eggbeater","footbagmoves","D","shooting","doctrine_tokens=shooting"
"Shooting Gyro Mirage","shooting-gyro-mirage","footbagmoves","D","gyro-spyro|shooting","doctrine_tokens=shooting"
"Shooting (Stepping Paradox Illusion)","shooting-stepping-paradox-illusion","fborg","D","stepping|shooting|paradox","doctrine_tokens=shooting"
"Shooting Star (Shooting Double Over Down)","shooting-star-shooting-double-over-down","fborg","D","dlo-double-down|shooting","doctrine_tokens=shooting"
"Shooting far Double Down","shooting-far-double-down","passback","D","dlo-double-down|shooting","doctrine_tokens=shooting"
"Gyro Shooting Double Down (Gyro Shooting Star)","gyro-shooting-double-down-gyro-shooting-star","stanford","D","gyro-spyro|dlo-double-down|shooting","doctrine_tokens=shooting"
"Shooting Barfly (Porn Star)","shooting-barfly-porn-star","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting Clipper","shooting-clipper","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting Da Da Curve","shooting-da-da-curve","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting DDD (Shooting Star)","shooting-ddd-shooting-star","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting DLO","shooting-dlo","stanford","D","dlo-double-down|shooting","doctrine_tokens=shooting"
"Shooting Ducking Butterfly","shooting-ducking-butterfly","stanford","D","ducking|shooting","doctrine_tokens=shooting"
"Shooting Eggbeater (Red Wetter)","shooting-eggbeater-red-wetter","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting Gyro Mirage (Cyclone)","shooting-gyro-mirage-cyclone","stanford","D","gyro-spyro|shooting","doctrine_tokens=shooting"
"Shooting ss Clipper","shooting-ss-clipper","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting ss Illusion","shooting-ss-illusion","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting ss Legover","shooting-ss-legover","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting ss Mirage","shooting-ss-mirage","stanford","D","shooting","doctrine_tokens=shooting"
"Shooting ss Pickup","shooting-ss-pickup","stanford","D","shooting","doctrine_tokens=shooting"
