"name","slug","sources","category","ecosystems","signal_trace"
"Double Spinning Butterfly","double-spinning-butterfly","passback","A","spinning","modifiers=spinning;stack_depth=2"
"Double Spinning Clipper","double-spinning-clipper","footbagmoves,passback","A","spinning","modifiers=spinning;stack_depth=2"
"Double Spinning Rake","double-spinning-rake","footbagmoves","A","spinning|dragon-rake","modifiers=spinning;stack_depth=2"
"Inspinning Clipper","inspinning-clipper","footbagmoves,passback","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Osis","inspinning-osis","footbagmoves,passback","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Same Side Butterfly","inspinning-same-side-butterfly","fborg","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Same Side Illusion","inspinning-same-side-illusion","fborg","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Inspinning Same Side Mirage","inspinning-same-side-mirage","fborg","A","spinning|inspinning","modifiers=inspinning;stack_depth=1"
"Spinning Butterfly Swirl","spinning-butterfly-swirl","footbagmoves","A","spinning|whirl-swirl","modifiers=spinning;stack_depth=1"
"Spinning Ducking Butterfly","spinning-ducking-butterfly","footbagmoves,passback","A","ducking|spinning","modifiers=ducking|spinning;stack_depth=2"
"Spinning Ducking Clipper","spinning-ducking-clipper","footbagmoves","A","ducking|spinning","modifiers=ducking|spinning;stack_depth=2"
"Spinning Ducking Osis","spinning-ducking-osis","footbagmoves,passback","A","ducking|spinning","modifiers=ducking|spinning;stack_depth=2"
"Spinning Ducking Pdx Mirage","spinning-ducking-pdx-mirage","footbagmoves","A","ducking|spinning","modifiers=ducking|spinning;stack_depth=2"
"Spinning Paradox Blender","spinning-paradox-blender","fborg","A","spinning|blender-torque|paradox","modifiers=paradox|spinning;stack_depth=2"
"Spinning Paradox Illusion","spinning-paradox-illusion","fborg","A","spinning|paradox","modifiers=paradox|spinning;stack_depth=2"
"Spinning Paradox Mirage","spinning-paradox-mirage","fborg","A","spinning|paradox","modifiers=paradox|spinning;stack_depth=2"
"Spinning Paradox Whirl","spinning-paradox-whirl","fborg","A","spinning|whirl-swirl|paradox","modifiers=paradox|spinning;stack_depth=2"
"Spinning Pdx DLO","spinning-pdx-dlo","footbagmoves","A","spinning|dlo-double-down","modifiers=spinning;stack_depth=1"
"Spinning Pdx Illusion","spinning-pdx-illusion","footbagmoves","A","spinning","modifiers=spinning;stack_depth=1"
"Spinning Pdx Mirage","spinning-pdx-mirage","footbagmoves","A","spinning","modifiers=spinning;stack_depth=1"
"Spinning Pdx Whirl","spinning-pdx-whirl","footbagmoves","A","spinning|whirl-swirl","modifiers=spinning;stack_depth=1"
"Spinning Symp Swirl","spinning-symp-swirl","passback","A","spinning|whirl-swirl","modifiers=spinning;stack_depth=1"
