"name","slug","sources","category","ecosystems","signal_trace"
"Stepping Blender (same side)","stepping-blender","footbagmoves","A","stepping|blender-torque","paren_kind=directional-qualifier;modifiers=stepping;stack_depth=1"
"Stepping Clipper (same side)","stepping-clipper","footbagmoves,passback","A","stepping","paren_kind=directional-qualifier;modifiers=stepping;stack_depth=1"
"Stepping Ducking Butterfly (same side)","stepping-ducking-butterfly","footbagmoves","A","ducking|stepping","paren_kind=directional-qualifier;modifiers=ducking|stepping;stack_depth=2"
"Stepping Ducking DLO","stepping-ducking-dlo","footbagmoves","A","ducking|stepping|dlo-double-down","modifiers=ducking|stepping;stack_depth=2"
"Stepping Ducking Far Double Pickup","stepping-ducking-far-double-pickup","footbagmoves","C","ducking|stepping","stack_depth=4;modifiers=ducking|stepping;directionals=double|far"
"Stepping Ducking Mirage","stepping-ducking-mirage","fborg","A","ducking|stepping","modifiers=ducking|stepping;stack_depth=2"
"Stepping Ducking Osis","stepping-ducking-osis","passback","A","ducking|stepping","modifiers=ducking|stepping;stack_depth=2"
"Stepping Ducking Paradox Blender","stepping-ducking-paradox-blender","fborg","C","ducking|stepping|blender-torque|paradox","stack_depth=3;modifiers=ducking|paradox|stepping"
"Stepping Ducking PS Whirl","stepping-ducking-ps-whirl","footbagmoves","A","ducking|stepping|whirl-swirl","modifiers=ducking|stepping;stack_depth=2"
"Stepping Eggbeater","stepping-eggbeater","fborg,footbagmoves","A","stepping","modifiers=stepping;stack_depth=1"
"Stepping far Clipper","stepping-far-clipper","footbagmoves","A","stepping","modifiers=stepping;stack_depth=2"
"Stepping Illusion (same side)","stepping-illusion","footbagmoves","A","stepping","paren_kind=directional-qualifier;modifiers=stepping;stack_depth=1"
"Stepping Legover (same side)","stepping-legover","footbagmoves","A","stepping","paren_kind=directional-qualifier;modifiers=stepping;stack_depth=1"
"Stepping Mirage (same side)","stepping-mirage","footbagmoves","A","stepping","paren_kind=directional-qualifier;modifiers=stepping;stack_depth=1"
"Stepping Pdx Torque","stepping-pdx-torque","footbagmoves","A","stepping|blender-torque","modifiers=stepping;stack_depth=1"
"Stepping Pickup","stepping-pickup","footbagmoves","A","stepping","modifiers=stepping;stack_depth=1"
