"name","slug","sources","category","ecosystems","signal_trace"
"Backside Symposium Smear","backside-symposium-smear","fborg","A","symposium","modifiers=symposium;stack_depth=2"
"Backside Symposium Toe Blizzard","backside-symposium-toe-blizzard","fborg","A","symposium","modifiers=symposium;stack_depth=2"
"Paradox Symposium Mirage","paradox-symposium-mirage","fborg","A","symposium|paradox","modifiers=paradox|symposium;stack_depth=2"
"Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","footbagmoves","C","symposium|whirl-swirl|dragon-rake|paradox","stack_depth=3;modifiers=paradox|symposium|whirling"
"Pixie Symposium Illusion","pixie-symposium-illusion","footbagmoves","A","pixie|symposium","modifiers=pixie|symposium;stack_depth=2"
"Pixie Symposium Mirage","pixie-symposium-mirage","footbagmoves","A","pixie|symposium","modifiers=pixie|symposium;stack_depth=2"
"Spinning Symposium Down Double Down","spinning-symposium-down-double-down","fborg","C","symposium|spinning|dlo-double-down","stack_depth=3;modifiers=spinning|symposium;directionals=double"
"Symposium Double Leg Over","symposium-double-leg-over","fborg","A","symposium","modifiers=symposium;stack_depth=2"
"Symposium Down Double Down","symposium-down-double-down","footbagmoves","A","symposium|dlo-double-down","modifiers=symposium;stack_depth=2"
"Symposium Eggbeater","symposium-eggbeater","footbagmoves","A","symposium","modifiers=symposium;stack_depth=1"
"Symposium Reverse Whirl","symposium-reverse-whirl","fborg","A","symposium|whirl-swirl","modifiers=symposium;stack_depth=2"
"Symposium Torque","symposium-torque","fborg","A","symposium|blender-torque","modifiers=symposium;stack_depth=1"
"Symposium Whirling Swirl","symposium-whirling-swirl","fborg","A","symposium|whirl-swirl","modifiers=symposium|whirling;stack_depth=2"
"Atomic os Symposium Double Over Down","atomic-os-symposium-double-over-down","footbagmoves","C","symposium|atomic|dlo-double-down","stack_depth=3;modifiers=atomic|symposium;directionals=double"
"Atomic Symposium Mirage","atomic-symposium-mirage","footbagmoves","A","symposium|atomic","modifiers=atomic|symposium;stack_depth=2"
"Atomic Symposium Whirl","atomic-symposium-whirl","footbagmoves","A","symposium|atomic|whirl-swirl","modifiers=atomic|symposium;stack_depth=2"
"Blurry Illusioning Paradox Symposium Eggbeater","blurry-illusioning-paradox-symposium-eggbeater","footbagmoves","D","symposium|blurry-furious|paradox","doctrine_tokens=blurry|illusioning"
"Blurry Symposium Whirling XBD Rake","blurry-symposium-whirling-xbd-rake","footbagmoves","D","symposium|whirl-swirl|blurry-furious|dragon-rake","doctrine_tokens=blurry"
