"name","slug","sources","category","ecosystems","signal_trace"
"Barfly Swirl","barfly-swirl","fborg","A","whirl-swirl","stack_depth=0"
"Butterfly Swirl","butterfly-swirl","footbagmoves,passback","A","whirl-swirl","stack_depth=0"
"Far Reverse Whirl","far-reverse-whirl","footbagmoves","A","whirl-swirl","stack_depth=2"
"Gyro Symp Swirl","gyro-symp-swirl","passback","A","gyro-spyro|whirl-swirl","modifiers=gyro;stack_depth=1"
"Gyro Whirl","gyro-whirl","footbagmoves","A","gyro-spyro|whirl-swirl","modifiers=gyro;stack_depth=1"
"Gyro Whirling Swirl","gyro-whirling-swirl","passback","A","gyro-spyro|whirl-swirl","modifiers=gyro|whirling;stack_depth=2"
"Infinity Swirl","infinity-swirl","passback","A","whirl-swirl","stack_depth=0"
"Nemesis Swirl","nemesis-swirl","footbagmoves","A","whirl-swirl","stack_depth=0"
"Paradon Swirl","paradon-swirl","fborg","A","whirl-swirl","stack_depth=0"
"Paradox Symposium Whirling Rake","paradox-symposium-whirling-rake","footbagmoves","C","symposium|whirl-swirl|dragon-rake|paradox","stack_depth=3;modifiers=paradox|symposium|whirling"
"Paradox Whirling Rake","paradox-whirling-rake","footbagmoves","A","whirl-swirl|dragon-rake|paradox","modifiers=paradox|whirling;stack_depth=2"
"Pdx Whirling Swirl","pdx-whirling-swirl","footbagmoves","A","whirl-swirl","modifiers=whirling;stack_depth=1"
"Pixie Whirl","pixie-whirl","footbagmoves","A","pixie|whirl-swirl","modifiers=pixie;stack_depth=1"
"Quantum Whirl","quantum-whirl","fborg","A","quantum|whirl-swirl","modifiers=quantum;stack_depth=1"
"Reverse Swirling Osis","reverse-swirling-osis","footbagmoves","A","whirl-swirl","stack_depth=1"
"Reverse Whirling Rake","reverse-whirling-rake","footbagmoves","A","whirl-swirl|dragon-rake","modifiers=whirling;stack_depth=2"
"Spinning Butterfly Swirl","spinning-butterfly-swirl","footbagmoves","A","spinning|whirl-swirl","modifiers=spinning;stack_depth=1"
"Spinning Paradox Whirl","spinning-paradox-whirl","fborg","A","spinning|whirl-swirl|paradox","modifiers=paradox|spinning;stack_depth=2"
"Spinning Pdx Whirl","spinning-pdx-whirl","footbagmoves","A","spinning|whirl-swirl","modifiers=spinning;stack_depth=1"
"Spinning Symp Swirl","spinning-symp-swirl","passback","A","spinning|whirl-swirl","modifiers=spinning;stack_depth=1"
"Stepping Ducking PS Whirl","stepping-ducking-ps-whirl","footbagmoves","A","ducking|stepping|whirl-swirl","modifiers=ducking|stepping;stack_depth=2"
"Stepping Whirling Swirl","stepping-whirling-swirl","fborg","A","stepping|whirl-swirl","modifiers=stepping|whirling;stack_depth=2"
"Swirlwind","swirlwind","footbagmoves","A","whirl-swirl","stack_depth=0"
"Symp Swirl (op)","symp-swirl","passback","A","whirl-swirl","paren_kind=directional-qualifier;stack_depth=1"
"Symp Whirl","symp-whirl","footbagmoves","A","whirl-swirl","stack_depth=0"
"Symp Whirling Swirl","symp-whirling-swirl","passback","A","whirl-swirl","modifiers=whirling;stack_depth=1"
"Symple Reverse Swirl (far)","symple-reverse-swirl","footbagmoves","A","whirl-swirl","paren_kind=directional-qualifier;stack_depth=2"
"Symple Swirl (far)","symple-swirl","footbagmoves","A","whirl-swirl","paren_kind=directional-qualifier;stack_depth=1"
"Symposium Reverse Whirl","symposium-reverse-whirl","fborg","A","symposium|whirl-swirl","modifiers=symposium;stack_depth=2"
"Symposium Whirling Swirl","symposium-whirling-swirl","fborg","A","symposium|whirl-swirl","modifiers=symposium|whirling;stack_depth=2"
"Weaving Whirl","weaving-whirl","footbagmoves","D","whirl-swirl|weaving","doctrine_tokens=weaving"
"Whirling far Butterfly","whirling-far-butterfly","footbagmoves","A","whirl-swirl","modifiers=whirling;stack_depth=2"
"Whirling pdx Mirage","whirling-pdx-mirage","footbagmoves","A","whirl-swirl","modifiers=whirling;stack_depth=1"
"Whirling Rake","whirling-rake","footbagmoves","A","whirl-swirl|dragon-rake","modifiers=whirling;stack_depth=1"
"Whirlwalk","whirlwalk","footbagmoves","A","whirl-swirl","stack_depth=0"
"Whirlygig","whirlygig","footbagmoves,passback","A","whirl-swirl","stack_depth=0"
"Zulu Whirl","zulu-whirl","footbagmoves","A","whirl-swirl","stack_depth=0"
