"name","slug","sources","category","ecosystems","signal_trace"
"69","69","footbagmoves","A","","stack_depth=0"
"84","84","footbagmoves","A","","stack_depth=0"
"Aeon Flux","aeon-flux","footbagmoves","A","","stack_depth=0"
"Alex Zerbe is the greatest","alex-zerbe-is-the-greatest","footbagmoves","A","","stack_depth=0"
"Alpine Big Apple","alpine-big-apple","footbagmoves","A","","stack_depth=1"
"Alpine Magellan","alpine-magellan","passback","A","","stack_depth=1"
"Alpine Paste","alpine-paste","passback","A","","stack_depth=1"
"Alpine Pigbeater","alpine-pigbeater","passback","A","","stack_depth=1"
"Alpine PLO","alpine-plo","passback","A","","stack_depth=1"
"Alpine Smog","alpine-smog","passback","A","","stack_depth=1"
"Alpine Smudge","alpine-smudge","passback","A","","stack_depth=1"
"Amadeus","amadeus","footbagmoves","A","","stack_depth=0"
"Anoxia","anoxia","footbagmoves","A","","stack_depth=0"
"Apocalypse","apocalypse","footbagmoves","A","","stack_depth=0"
"Arachnophobia","arachnophobia","footbagmoves","A","","stack_depth=0"
"Arch Nemesis","arch-nemesis","footbagmoves","A","","stack_depth=0"
"Arcwalk","arcwalk","footbagmoves","A","","stack_depth=0"
"Atom Bomb","atom-bomb","footbagmoves","A","atomic","stack_depth=0"
"Atomic DLO","atomic-dlo","footbagmoves","A","atomic|dlo-double-down","modifiers=atomic;stack_depth=1"
"Atomic Drifter","atomic-drifter","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Eclipse","atomic-eclipse","fborg","A","atomic|eclipse-hop-over","modifiers=atomic;stack_depth=1"
"Atomic Illusion","atomic-illusion","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Legover (same side)","atomic-legover","footbagmoves","A","atomic","paren_kind=directional-qualifier;modifiers=atomic;stack_depth=1"
"Atomic Osis","atomic-osis","footbagmoves","A","atomic","modifiers=atomic;stack_depth=1"
"Atomic Pickup (same side)","atomic-pickup","footbagmoves,passback","A","atomic","paren_kind=directional-qualifier;modifiers=atomic;stack_depth=1"
"Atomic ss Osis","atomic-ss-osis","footbagmoves","A","atomic","modifiers=atomic;stack_depth=2"
"Atomotion","atomotion","footbagmoves","A","atomic","stack_depth=0"
"Backside Symposium Smear","backside-symposium-smear","fborg","A","symposium","modifiers=symposium;stack_depth=2"
"Backside Symposium Toe Blizzard","backside-symposium-toe-blizzard","fborg","A","symposium","modifiers=symposium;stack_depth=2"
"Barfly Swirl","barfly-swirl","fborg","A","whirl-swirl","stack_depth=0"
"Barfry","barfry","footbagmoves","A","","stack_depth=0"
"Bedwetter","bedwetter","footbagmoves","A","","stack_depth=0"
"Big Apple Sauce","big-apple-sauce","footbagmoves","A","","stack_depth=0"
"Big Papa Smurf","big-papa-smurf","footbagmoves","A","","stack_depth=0"
"Bill & Ted`s Bogus Journey","bill-&-ted`s-bogus-journey","footbagmoves","A","","stack_depth=0"
"Bill & Ted`s Excellent Adventure","bill-&-ted`s-excellent-adventure","footbagmoves","A","","stack_depth=0"
"Blacula","blacula","footbagmoves","A","","stack_depth=0"
"Bladerunner","bladerunner","footbagmoves,passback","A","","stack_depth=0"
"Blaze","blaze","footbagmoves","A","","stack_depth=0"
"Blazing Butterfly","blazing-butterfly","passback","A","","stack_depth=0"
"Bling Blang","bling-blang","footbagmoves","A","","stack_depth=0"
"Blink","blink","passback","A","","stack_depth=0"
"Blister","blister","footbagmoves","A","","stack_depth=0"
"Blizzard","blizzard","footbagmoves","A","","stack_depth=0"
"Blue Widow","blue-widow","footbagmoves","A","","stack_depth=0"
"Boulderbeater","boulderbeater","footbagmoves","A","","stack_depth=0"
"BS Magellan","bs-magellan","passback","A","","stack_depth=0"
"BS Paste","bs-paste","passback","A","","stack_depth=0"
"Bubba","bubba","fborg","A","","stack_depth=0"
"Bubba Beater","bubba-beater","footbagmoves","A","","stack_depth=0"
"Butterfly Swirl","butterfly-swirl","footbagmoves,passback","A","whirl-swirl","stack_depth=0"
"Buttersole","buttersole","footbagmoves","A","","stack_depth=0"
"Carousel","carousel","footbagmoves","A","","stack_depth=0"
"Cascade","cascade","footbagmoves","A","","stack_depth=0"
"Casket","casket","footbagmoves","A","","stack_depth=0"
"Cataclysm","cataclysm","footbagmoves","A","","stack_depth=0"
"Catacomb","catacomb","footbagmoves","A","","stack_depth=0"
"Chainsaw Massacre","chainsaw-massacre","footbagmoves","A","","stack_depth=0"
"Clown Face","clown-face","footbagmoves","A","","stack_depth=0"
"Cold Fusion","cold-fusion","footbagmoves","A","","stack_depth=0"
"Colossus","colossus","footbagmoves","A","","stack_depth=0"
"Compound Fracture","compound-fracture","footbagmoves","A","","stack_depth=0"
"Conniption City","conniption-city","footbagmoves","A","","stack_depth=0"
"Cristal","cristal","footbagmoves","A","","stack_depth=0"
"Croissant","croissant","footbagmoves","A","","stack_depth=0"
"Croxton","croxton","footbagmoves","A","","stack_depth=0"
"Cyborg","cyborg","footbagmoves","A","","stack_depth=0"
"Cyclone","cyclone","footbagmoves","A","","stack_depth=0"
"Dark Avenue","dark-avenue","footbagmoves","A","","stack_depth=0"
"Darkwalk","darkwalk","footbagmoves","A","","stack_depth=0"
"DDD","ddd","passback","A","","stack_depth=0"
"Dellusion","dellusion","footbagmoves","A","","stack_depth=0"
"Desien","desien","footbagmoves","A","","stack_depth=0"
"Diving Butterfly","diving-butterfly","footbagmoves","A","","stack_depth=0"
"Diving Clipper","diving-clipper","passback","A","","stack_depth=0"
"Diving Mirage","diving-mirage","passback","A","","stack_depth=0"
"Diving Osis","diving-osis","footbagmoves,passback","A","","stack_depth=0"
"Diving Smudge","diving-smudge","passback","A","","stack_depth=0"
"Dolomite","dolomite","footbagmoves","A","","stack_depth=0"
"Dominatrix","dominatrix","footbagmoves","A","","stack_depth=0"
"Dorshanatrix","dorshanatrix","footbagmoves","A","","stack_depth=0"
"Dorshatrix","dorshatrix","footbagmoves","A","","stack_depth=0"
"Double Dyno","double-dyno","passback","A","","stack_depth=1"
"Double Helix","double-helix","footbagmoves","A","","stack_depth=1"
"Double Orbit","double-orbit","passback","A","","stack_depth=1"
"Double Over Down","double-over-down","footbagmoves","A","dlo-double-down","stack_depth=1"
"Double Spinning Butterfly","double-spinning-butterfly","passback","A","spinning","modifiers=spinning;stack_depth=2"
"Double Spinning Clipper","double-spinning-clipper","footbagmoves,passback","A","spinning","modifiers=spinning;stack_depth=2"
"Double Spinning Rake","double-spinning-rake","footbagmoves","A","spinning|dragon-rake","modifiers=spinning;stack_depth=2"
"Double Switchover (far)","double-switchover","footbagmoves","A","","paren_kind=directional-qualifier;stack_depth=2"
"Double Whip","double-whip","passback","A","","stack_depth=1"
"Down Double Down","down-double-down","footbagmoves","A","dlo-double-down","stack_depth=1"
"Downward Spiral","downward-spiral","footbagmoves","A","","stack_depth=0"
"Dragonstein","dragonstein","footbagmoves","A","dragon-rake","stack_depth=0"
"Dragster","dragster","footbagmoves","A","","stack_depth=0"
"DSO","dso","passback","A","dlo-double-down","stack_depth=0"
"Ducking Barfly","ducking-barfly","fborg","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Illusion","ducking-illusion","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Legover","ducking-legover","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Pdx Illusion","ducking-pdx-illusion","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Pdx Mirage","ducking-pdx-mirage","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking Pdx Torque","ducking-pdx-torque","passback","A","ducking|blender-torque","modifiers=ducking;stack_depth=1"
"Ducking Pickup","ducking-pickup","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking PS Illusion","ducking-ps-illusion","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
"Ducking PS Mirage","ducking-ps-mirage","footbagmoves","A","ducking","modifiers=ducking;stack_depth=1"
