modifier,add_bonus,add_bonus_rotational,modifier_type,notes
paradox,1,1,body,"+1 universally. Confirmed: paradox mirage=3 (mirage 2+1), paradox whirl=4 (whirl 3+1), paradox torque=5 (torque 4+1)."
spinning,1,1,body,"Spinning contributes +1 ADD as a body-spin modifier. The bonus is the same on rotational and non-rotational bases. On rotational bases (whirl, mirage, torque, blender) the base trick's stall component is already counted in the base ADD value, so the spinning bonus does not stack further. Worked examples: spinning clipper = 3, spinning butterfly = 4, spinning whirl = 4, spinning torque = 5."
inspinning,1,1,body,"Inspinning contributes +1 ADD: any spin is +1. Forward-rotation spin, distinct in direction from spinning's default back-rotation; same ADD weight as spinning."
ducking,1,1,body,"+1 universally. Confirmed: ducking clipper=3, ducking butterfly=4, ducking whirl=4, ducking osis=4."
symposium,1,1,body,"+1 universally. Confirmed: symposium whirl=4, symposium dlo=4, symposium torque=5 (torque 4+1)."
gyro,1,1,body,"+1 universally. Confirmed: gyro torque=mobius=5 (torque 4+1), gyro whirl=4 (whirl 3+1), gyro butterfly=4 (butterfly 3+1)."
stepping,1,1,set,"+1 universally; a set / uptime foot relocation (not a body movement), so classified as a set modifier. Confirmed: stepping whirl=4, stepping osis=4, stepping butterfly=4, stepping drifter=4."
tapping,1,1,body,"+1 universally. Confirmed: tapping whirl=4, tapping clipper=3 (clipper 2+1)."
blazing,1,1,body,+1 universally. Confirmed: blazing legover=3 (legover 2+1).
barraging,2,2,set,"Barraging contributes +2 ADD as a two-dex set. Structurally count-bearing: two dex steps inside the set. Worked examples: barraging + osis = baroque = 5 (osis 3 + 2); barraging + legover = flurry = 4 (legover 2 + 2). Classified as a set modifier to match the two-dex set semantics."
weaving,1,1,body,"+1 universally. Confirmed: weaving clipper=3, weaving butterfly=4."
diving,1,1,body,+1 universally. Confirmed: diving butterfly=4 (butterfly 3+1).
swirling,1,1,body,"Swirling contributes +1 ADD as a body-spin modifier, parallel to spinning. The bonus is the same on rotational and non-rotational bases."
whirling,1,1,body,+1 universally. Confirmed: whirling osis=blender=4 (osis 3+1).
blurry,1,1,set,"Blurry contributes +1 ADD as a set modifier. The bonus is the same on rotational and non-rotational bases. Several named blurry compounds carry deeper structural decompositions where blurry stands for a multi-modifier expansion: Blur = Stepping Paradox Mirage, Ripwalk = Stepping Butterfly. In those cases the named compound's ADD value derives from the expanded decomposition rather than from a flat blurry + base addition. Worked examples under +1: blurry clipper = 3, blurry butterfly = 4, blurry mirage = 3."
atomic,1,1,set,"Atomic = +1 ADD on every base; it has no rotational class (the +2-rotational reading is retired). Any count beyond +1 comes only from a separate conditional X-Dex (+1), which fires solely on a far move after a non-paradox dex on an eligible receiver (mirage, illusion, whirl, torque, drifter) and is recorded only where the notation carries [XDEX]. Worked examples: atomic butterfly = legbeater = 4 (butterfly 3 + 1, butterfly is a non-receiver, no X-Dex); atom smasher = atomic far mirage = 4 (mirage 2 + 1 + far-form X-Dex 1); silo = atomic torque = 5 (near form, no X-Dex). Atomic is the modern uptime outward-dex set; illusioning is a distinct downtime move, not an equivalent name for atomic."
pixie,1,1,set,"+1 universally. Confirmed: pixie mirage=smear=3 (mirage 2+1), pixie butterfly=dimwalk=4 (butterfly 3+1), pixie osis=4 (osis 3+1)."
fairy,1,1,set,"+1 universally. Confirmed: fairy mirage=3 (mirage 2+1), fairy butterfly=4 (butterfly 3+1)."
quantum,1,1,set,"Quantum contributes +1 ADD universally as a set modifier. Worked examples: quantum mirage = 3 (mirage 2 + 1), quantum butterfly = 4 (butterfly 3 + 1). The named set Sailing decomposes as Pixie + Quantum (1 + 1 = 2 ADD)."
nuclear,2,2,set,"Nuclear contributes +2 ADDs as a set modifier. Structurally nuclear = paradox dex (+1) + downtime illusioning dex (+1) = +2 (distinct from atomic, whose second dex is an uptime set; nuclear itself carries no X-Dex). Named exception: Sumo (Nuclear Mirage = 5 ADD) gains its 5th ADD from an X-Dex on the following mirage."
xdex,1,1,body,"X-Dex contributes +1 ADD per instance. Worked example: Atom Smasher = 2 dex + 1 del + 1 X-Dex = 4 ADD. The Freestyle Concepts terminology describes X-Dex as representing the added difficulty of dexterities involving complete circling of the footbag, similar to symposium and paradox. Whether X-Dex acts as a universal prefix modifier or only fires in specific constructions is an open ontology question; current usage is construction-specific."
