source_name,alt_name,add_value,showmove_id,source_url,notation,tags_summary,description,family_hint,category_hint
Around the World Kick,,1,1,http://www.footbag.org/newmoves/showmove/1,,[dex],,atw,compound
Clipper Kick,,1,2,http://www.footbag.org/newmoves/showmove/2,,[xbd],,clipper,dex
Cloud Kick,,1,3,http://www.footbag.org/newmoves/showmove/3,,[uns],,,unusual
Flying Inside,,1,4,http://www.footbag.org/newmoves/showmove/4,,[bod],,,body
Flying Outside,,1,5,http://www.footbag.org/newmoves/showmove/5,,[bod],,,body
Forehead Delay,,1,6,http://www.footbag.org/newmoves/showmove/6,,[uns],,,unusual
Frigidosis,,1,263,http://www.footbag.org/newmoves/showmove/263,,[del],,osis,other
Head Stall,,1,7,http://www.footbag.org/newmoves/showmove/7,,[uns],,,unusual
Inside Delay,,1,8,http://www.footbag.org/newmoves/showmove/8,,[del],,,other
Knee Delay,,1,9,http://www.footbag.org/newmoves/showmove/9,,[del],,,other
Neck Delay,,1,10,http://www.footbag.org/newmoves/showmove/10,,[uns],,,unusual
Outside Delay,,1,11,http://www.footbag.org/newmoves/showmove/11,,[del],,,other
Peak Delay,,1,12,http://www.footbag.org/newmoves/showmove/12,,[uns],,,unusual
Shoulder Delay,,1,13,http://www.footbag.org/newmoves/showmove/13,,[uns],,,unusual
Sole Kick,,1,14,http://www.footbag.org/newmoves/showmove/14,,[uns],,,unusual
Spin,,1,15,http://www.footbag.org/newmoves/showmove/15,,[bod],,,body
Toe Delay,above the toes,1,16,http://www.footbag.org/newmoves/showmove/16,,[del],,,other
Around the World,,2,17,http://www.footbag.org/newmoves/showmove/17,TOE > SAME IN/OUT [DEX] > SAME TOE [DEL],[dex] [del],Circle the footbag in between toe delays. Either in to out or out to in. (Both directions are worth the same amount of adds).,atw,compound
Clipper,,2,18,http://www.footbag.org/newmoves/showmove/18,CLIP [XBD] [DEL],[xbd] [del],Delay the footbag on the inside surface of the foot with the catching leg tucked behind the support leg. Bend the support leg deeply and lean slightly over this leg for balance.,clipper,dex
Bubba,Clipper set Illusion,2,262,http://www.footbag.org/newmoves/showmove/262,CLIP > OP OUT [DEX] > OP TOE [DEL],[dex] [del],,,compound
Cloud Delay,,2,19,http://www.footbag.org/newmoves/showmove/19,,[uns] [del],,,unusual
Double Spin,,2,20,http://www.footbag.org/newmoves/showmove/20,,[bod] [bod],,,body
Dragon,,2,21,http://www.footbag.org/newmoves/showmove/21,,[xbd] [del],,,dex
Dragonfly Kick,,2,22,http://www.footbag.org/newmoves/showmove/22,,[dex] [bod],,,compound
Fairy,,2,23,http://www.footbag.org/newmoves/showmove/23,TOE > SAME OUT [DEX] > OP TOE [DEL],[dex] [del],From a toe delay- circle the footbag from out to in and catch on the toe of the support leg.,,modifier
Flapper,,2,24,http://www.footbag.org/newmoves/showmove/24,,[xbd] [uns],,,unusual
Flying Clipper,,2,25,http://www.footbag.org/newmoves/showmove/25,,[bod] [xbd],,clipper,dex
Heel Delay,,2,27,http://www.footbag.org/newmoves/showmove/27,,[uns] [del],,,unusual
Hop Over,,2,28,http://www.footbag.org/newmoves/showmove/28,,[bod] [del],,,body
Illusion,,2,166,http://www.footbag.org/newmoves/showmove/166,SET > OP OUT [DEX] > OP TOE [DEL],[dex] [del],"From a toe or a clipper delay, set the bag straight up about waist high. As you plant your set leg, bring your support leg up and over the bag from out to in (a reverse miraging motion). Plant the dexterity leg and catch the bag on the toe of the setting foot.",,compound
Knee Clipper,,2,29,http://www.footbag.org/newmoves/showmove/29,,[bod] [xbd],,clipper,dex
Leg Over,,2,30,http://www.footbag.org/newmoves/showmove/30,SET > OP OUT [DEX] > SAME TOE [DEL],[dex] [del],"Pass the support leg over the footbag and catch on a delay. E.g., from a left toe stall, hop off the right leg and bring it over the top of the footbag and catch it on a right toe delay.",legover,compound
Mirage,,2,31,http://www.footbag.org/newmoves/showmove/31,SET > OP IN [DEX] > OP TOE [DEL],[dex] [del],"From a toe delay or a clipper delay, set the bag straight up, and swing the support leg from in to out over the footbag, catching it with the setting leg on a toe delay. The set from a clipper delay is easier once you know how to do a clipper. Note: with a toe-set mirage, the support leg has to first swing under, then back over the bag!",mirage,compound
Pendulum,,2,32,http://www.footbag.org/newmoves/showmove/32,,[del] [dex],,,compound
Pickup,,2,226,http://www.footbag.org/newmoves/showmove/226,SET > OP IN [DEX] > SAME TOE [DEL],[dex] [del],,,compound
Pincher (Squeeze),Squeeze,2,33,http://www.footbag.org/newmoves/showmove/33,,[uns] [del],,,unusual
Pixie,,2,34,http://www.footbag.org/newmoves/showmove/34,TOE > SAME IN [DEX] > OP TOE [DEL],[dex] [del],From a toe delay- circle the footbag from in to out and catch on the toe of the support leg.,,modifier
Probe,,2,35,http://www.footbag.org/newmoves/showmove/35,,[xbd] [del],,,dex
Rake,"actually, more to your side",2,36,http://www.footbag.org/newmoves/showmove/36,,[del] [dex],,,compound
Sole Delay,,2,37,http://www.footbag.org/newmoves/showmove/37,,[uns] [del],,,unusual
Toe Clipper,,2,38,http://www.footbag.org/newmoves/showmove/38,,[bod] [xbd],,clipper,dex
Walk Over,,2,39,http://www.footbag.org/newmoves/showmove/39,,[del] [dex],,,compound
Wrap,,2,40,http://www.footbag.org/newmoves/showmove/40,,[del] [dex],,,compound
Barrage,,3,41,http://www.footbag.org/newmoves/showmove/41,SET > OP IN [DEX] > SAME IN [DEX] > OP TOE [DEL],[dex] [dex] [del],"A double dexterity mirage. Set from either clipper or toe, then quickly plant the setting leg and bring the support leg over the bag from in to out then over again to land to support a toe delay with the original setting foot.",,compound
Butterfly,,3,42,http://www.footbag.org/newmoves/showmove/42,SET > SAME or OP OUT [DEX] > OP CLIP [XBD] [DEL],[dex] [xbd] [del],"A leg over straight to a clipper delay. E.g., from a right toe set the footbag up and slightly towards yourself. Hop off your right leg and pass your left leg over the footbag- delay the footbag with the inside surface of the right foot in a cross body position ie a clipper delay.",butterfly,compound
Butterfly Kick,,3,43,http://www.footbag.org/newmoves/showmove/43,SET > JUMP [BOD] > SAME or OP OUT [DEX] > OP CLIP [XBD],[bod] [dex] [xbd],"A leg over straight to a flying clipper. E.g., from a right toe delay, set the footbag straight up and slightly towards yourself. Hop off the right leg and pass the left leg over the footbag- Hit the footbag with the inside surface of the right foot and then in this case it is easiest to land on the left leg.",butterfly,compound
Flapper Delay,Cross-Body Sole Delay,3,53,http://www.footbag.org/newmoves/showmove/53,SET > FLAP [UNS] [XBD] [DEL],[xbd] [uns] [del],A cross body sole delay. It is easiest to get a flat surface if you point you knee straight down.,,unusual
Double Around the World,,3,44,http://www.footbag.org/newmoves/showmove/44,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL]orTOE > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],[dex] [dex] [del],Circle the footbag twice between toe delays. Pointing your toes down will prevent the circling leg from snagging the footbag as you come around for the second time.,atw,compound
Double Leg Over,,3,45,http://www.footbag.org/newmoves/showmove/45,SET > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],[dex] [dex] [del],A leg over straight after a mirage. The mirage can be set either from a clipper or a toe delay. From the set hop off the support leg then the setting leg and pass both over the footbag and finally catch the footbag with the setting foot on a toe delay.,legover,compound
Double Pickup,,3,48,http://www.footbag.org/newmoves/showmove/48,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],[dex] [dex] [del],"Basically an in to out double around the world set from a clipper delay. E.g., from a left clipper delay, set the bag just above waist height. Quickly plant the left leg and circle the footbag from in to out twice landing on right toe delay.",,compound
Double Switch-Over,,3,47,http://www.footbag.org/newmoves/showmove/47,SET > OP OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],[dex] [dex] [del],"A double dexterity legover. E.g., from a left toe delay, hop off the right leg and circle the footbag from out to in twice ending on a right toe delay.",,compound
Drifter,,3,50,http://www.footbag.org/newmoves/showmove/50,SET > OP IN [DEX] > SAME CLIP [XBD] [DEL],[dex] [xbd] [del],"A miraging clipper delay. From a clipper- quickly plant the setting leg and bring the support leg over the bag from in to out and in one motion- keeping this leg close to the other leg- into a clipper delay on the other side. Or, setting from left toe, quickly plant the left leg and bring the right leg up and around the bag from in to out. Turn slightly in the direction of the dexterity (in this case, to the right) to help bring the right foot back around into the cross body position to end the move on a right foot clipper delay.",clipper,compound
Eclipse,jump,3,51,http://www.footbag.org/newmoves/showmove/51,SET > (jump) [BOD] > SAME or OP INSIDE [DEL] > OP OUT [DEX] > (land),[bod] [del] [dex],A hop-over performed in the air. Jump and imediately initiate an inside delay. Bring the jumping leg over the delaying leg and back down to the ground end in a clipper delay.,,compound
Osis,back or front,3,62,http://www.footbag.org/newmoves/showmove/62,SET > (back or front) SPIN [BOD] > SAME or OP CLIP [XBD] [DEL],[bod] [xbd] [del],"Spin into a clipper delay. It is easiest to set this from a clipper stall on the other foot or from a toe delay with the other foot, straight in front of you (not behind you). E.g., from a right toe set, set straight in front of you, about waist high, and turn to the left so the footbag passes behind your back... Keep your head down with your eyes on the footbag until just before it lands on the inside surface of your right foot. Then turn quickly to the left (counterclockwise) and catch the footbag on a clipper delay.",osis,dex
Reaper,,3,64,http://www.footbag.org/newmoves/showmove/64,CLIP > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL].,[dex] [dex] [del],,,compound
