"name","proposed_slug","source_corpus","provenance","proposed_job_semantic","proposed_add","add_accounting","decomposition","parser_confidence","doctrine_confidence","parent_family","ecosystem","promotion_tier","reason"
"Blazing Illusion","blazing-illusion","stanford","stanford","BLAZING ILLUSION","3","blazing(+1) + illusion(2) = 3","blazing > illusion","high","stable","","(unclassified)","T4","Mechanically derived: blazing(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Blazing Legover","blazing-legover","stanford","stanford","BLAZING LEGOVER","3","blazing(+1) + legover(2) = 3","blazing > legover","high","stable","","(unclassified)","T4","Mechanically derived: blazing(+1) + legover(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Blazing Mirage","blazing-mirage","footbagmoves","footbagmoves","BLAZING MIRAGE","3","blazing(+1) + mirage(2) = 3","blazing > mirage","high","stable","","(unclassified)","T4","Mechanically derived: blazing(+1) + mirage(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Guay","diving-guay","stanford","stanford","DIVING GUAY","3","diving(+1) + guay(2) = 3","diving > guay","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Illusion","diving-illusion","stanford","stanford","DIVING ILLUSION","3","diving(+1) + illusion(2) = 3","diving > illusion","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + illusion(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Legover","diving-legover","stanford","stanford","DIVING LEGOVER","3","diving(+1) + legover(2) = 3","diving > legover","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + legover(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Mirage","diving-mirage","passback","passback","DIVING MIRAGE","3","diving(+1) + mirage(2) = 3","diving > mirage","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + mirage(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Diving Pickup","diving-pickup","stanford","stanford","DIVING PICKUP","3","diving(+1) + pickup(2) = 3","diving > pickup","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + pickup(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Reverse Guay","diving-reverse-guay","stanford","stanford","DIVING REVERSE GUAY","3","diving(+1) + guay(2) = 3","diving > guay","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Miraging far Legover","miraging-legover","passback","passback","MIRAGING LEGOVER","3","miraging(+1) + legover(2) = 3","miraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: miraging(+1) + legover(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Tapping Guay","tapping-guay","stanford","stanford","TAPPING GUAY","3","tapping(+1) + guay(2) = 3","tapping > guay","high","stable","","(unclassified)","T4","Mechanically derived: tapping(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Tapping Legover","tapping-legover","passback","passback","TAPPING LEGOVER","3","tapping(+1) + legover(2) = 3","tapping > legover","high","stable","","(unclassified)","T1","Mechanically derived: tapping(+1) + legover(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Tapping Reverse Guay","tapping-reverse-guay","stanford","stanford","TAPPING REVERSE GUAY","3","tapping(+1) + guay(2) = 3","tapping > guay","high","stable","","(unclassified)","T4","Mechanically derived: tapping(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Illusion","barraging-illusion","passback","passback","BARRAGING ILLUSION","4","barraging(+2) + illusion(2) = 4","barraging > illusion","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + illusion(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Legover","barraging-legover","passback","passback","BARRAGING LEGOVER","4","barraging(+2) + legover(2) = 4","barraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + legover(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Mirage","barraging-mirage","passback","passback","BARRAGING MIRAGE","4","barraging(+2) + mirage(2) = 4","barraging > mirage","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Legover","barraging-legover","footbagmoves","footbagmoves","BARRAGING LEGOVER","4","barraging(+2) + legover(2) = 4","barraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + legover(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Pickup","barraging-pickup","stanford","stanford","BARRAGING PICKUP","4","barraging(+2) + pickup(2) = 4","barraging > pickup","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + pickup(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Blazing Butterfly","blazing-butterfly","passback","passback","BLAZING BUTTERFLY","4","blazing(+1) + butterfly(3) = 4","blazing > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: blazing(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Blazing Drifter","blazing-drifter","stanford","stanford","BLAZING DRIFTER","4","blazing(+1) + drifter(3) = 4","blazing > drifter","high","stable","","(unclassified)","T4","Mechanically derived: blazing(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Butterfly","diving-butterfly","footbagmoves","footbagmoves","DIVING BUTTERFLY","4","diving(+1) + butterfly(3) = 4","diving > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + butterfly(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Diving Drifter","diving-drifter","stanford","stanford","DIVING DRIFTER","4","diving(+1) + drifter(3) = 4","diving > drifter","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + drifter(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Diving Osis","diving-osis","multi","footbagmoves,passback","DIVING OSIS","4","diving(+1) + osis(3) = 4","diving > osis","high","stable","","(unclassified)","T4","Mechanically derived: diving(+1) + osis(3) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"PS Illusion","paradox-symposium-illusion","footbagmoves","footbagmoves","PARADOX SYMPOSIUM ILLUSION","4","paradox(+1) + symposium(+1) + illusion(2) = 4","paradox|symposium > illusion","high","stable","","(unclassified)","T4","Mechanically derived: paradox(+1) + symposium(+1) + illusion(2) = 4; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Surging far Mirage","surging-mirage","passback","passback","SURGING MIRAGE","4","spinning(+1) + stepping(+1) + mirage(2) = 4","spinning|stepping > mirage","high","stable","","(unclassified)","T4","Mechanically derived: spinning(+1) + stepping(+1) + mirage(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging Legover","surging-legover","footbagmoves","footbagmoves","SURGING LEGOVER","4","spinning(+1) + stepping(+1) + legover(2) = 4","spinning|stepping > legover","high","stable","","(unclassified)","T4","Mechanically derived: spinning(+1) + stepping(+1) + legover(2) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Butterfly","barraging-butterfly","footbagmoves","footbagmoves","BARRAGING BUTTERFLY","5","barraging(+2) + butterfly(3) = 5","barraging > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Butterfly (same side)","barraging-butterfly","footbagmoves","footbagmoves","BARRAGING BUTTERFLY","5","barraging(+2) + butterfly(3) = 5","barraging > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Butterfly","barraging-butterfly","passback","passback","BARRAGING BUTTERFLY","5","barraging(+2) + butterfly(3) = 5","barraging > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging far Eggbeater","barraging-eggbeater","passback","passback","BARRAGING EGGBEATER","5","barraging(+2) + eggbeater(3) = 5","barraging > eggbeater","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + eggbeater(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging near Butterfly","barraging-butterfly","passback","passback","BARRAGING BUTTERFLY","5","barraging(+2) + butterfly(3) = 5","barraging > butterfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + butterfly(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Surging ss Osis","surging-osis","footbagmoves","footbagmoves","SURGING OSIS","5","spinning(+1) + stepping(+1) + osis(3) = 5","spinning|stepping > osis","high","stable","","(unclassified)","T4","Mechanically derived: spinning(+1) + stepping(+1) + osis(3) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging Illusion","terraging-illusion","stanford","stanford","TERRAGING ILLUSION","5","terraging(+3) + illusion(2) = 5","terraging > illusion","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + illusion(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging Legover","terraging-legover","multi","footbagmoves|passback","TERRAGING LEGOVER","5","terraging(+3) + legover(2) = 5","terraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + legover(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging ss Illusion","terraging-illusion","stanford","stanford","TERRAGING ILLUSION","5","terraging(+3) + illusion(2) = 5","terraging > illusion","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + illusion(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging ss Legover","terraging-legover","stanford","stanford","TERRAGING LEGOVER","5","terraging(+3) + legover(2) = 5","terraging > legover","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + legover(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Terraging ss Mirage","terraging-mirage","stanford","stanford","TERRAGING MIRAGE","5","terraging(+3) + mirage(2) = 5","terraging > mirage","high","stable","","(unclassified)","T4","Mechanically derived: terraging(+3) + mirage(2) = 5; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Barraging Barfly","barraging-barfly","footbagmoves","footbagmoves","BARRAGING BARFLY","6","barraging(+2) + barfly(4) = 6","barraging > barfly","high","stable","","(unclassified)","T4","Mechanically derived: barraging(+2) + barfly(4) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Pdx. Fusion","paradox-fusion","passback","passback","PARADOX. FUSION","6","paradox(+1) + fusion(5) = 6","paradox > fusion","high","stable","","(unclassified)","T4","Mechanically derived: paradox(+1) + fusion(5) = 6; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Guay","atomic-guay","stanford","stanford","ATOMIC GUAY","3","atomic(+1) + guay(2) = 3","atomic > guay","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Pickup (same side)","atomic-pickup","multi","footbagmoves,passback","ATOMIC PICKUP","3","atomic(+1) + pickup(2) = 3","atomic > pickup","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + pickup(2) = 3; doctrine-stable; all modifier weights known; ADD corroborated by source claim"
"Atomic Reverse Guay","atomic-reverse-guay","stanford","stanford","ATOMIC REVERSE GUAY","3","atomic(+1) + guay(2) = 3","atomic > guay","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + guay(2) = 3; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic Eggbeater","atomic-eggbeater","footbagmoves","footbagmoves","ATOMIC EGGBEATER","4","atomic(+1) + eggbeater(3) = 4","atomic > eggbeater","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + eggbeater(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
"Atomic far Eggbeater","atomic-eggbeater","passback","passback","ATOMIC EGGBEATER","4","atomic(+1) + eggbeater(3) = 4","atomic > eggbeater","high","stable","","atomic","T2","Mechanically derived: atomic(+1) + eggbeater(3) = 4; doctrine-stable; all modifier weights known; no source ADD to corroborate"
