"name","slug","source_corpus","ecosystem","deferral_bucket","failure_class","doctrine_confidence","reason"
"84 / Wiggle Walk","84-wiggle-walk","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Aeon Flux / Nucleosis","aeon-flux-nucleosis","footbagmoves","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Arctic Butterfly (Arc Walk)","arctic-butterfly-arc-walk","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Barraging far Osis","barraging-far-osis","passback","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'barraging-osis' — collapse, not a new trick"
"Barraging Legover (Flurry)","barraging-legover-flurry","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Big Apple Sauce / Chilly Pilly Sauce","big-apple-sauce-chilly-pilly-sauce","footbagmoves","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Blazing Mirage (Blaze)","blazing-mirage-blaze","stanford","(unclassified)","alias-collapse","","stable","Alias / compression candidate — collapse to canon, do not promote"
"Bubba Butterfly (Mxyzptlk)","bubba-butterfly-mxyzptlk","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Bubba Flail (Massacre)","bubba-flail-massacre","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Bubba Legover (Bubba Beater)","bubba-legover-bubba-beater","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Bubba PS Eggbeater (Chainsaw Massacre)","bubba-ps-eggbeater-chainsaw-massacre","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"Crossbody Sole Stall (Flapper)","crossbody-sole-stall-flapper","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"DATW/Double ATW","datw-double-atw","passback","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Diving DDD (Down River)","diving-ddd-down-river","stanford","(unclassified)","alias-collapse","ambiguous-terminal-mechanic","stable","Alias / compression candidate — collapse to canon, do not promote"
"DOD Osis (Motion)","dod-osis-motion","stanford","(unclassified)","alias-collapse","unknown-modifier-token","policy-dependent","Alias / compression candidate — collapse to canon, do not promote"
"Double Butterfly (Paradon)","double-butterfly-paradon","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Drifter (High Plains Drifter)","double-drifter-high-plains-drifter","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Illusion (Delusion)","double-illusion-delusion","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Mirage (Barrage)","double-mirage-barrage","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Twirl (Dwirl)","double-twirl-dwirl","stanford","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Double Wauxpin (Paradauxpin)","double-wauxpin-paradauxpin","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"double-dex Drifter/(midtime) Barraging far Clipper","double-dex-drifter-midtime-barraging-far-clipper","passback","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Ego / Tamboura","ego-tamboura","footbagmoves","(unclassified)","alias-collapse","unknown-modifier-token","stable","Alias / compression candidate — collapse to canon, do not promote"
"Far Butterfly (Infinity)","far-butterfly-infinity","stanford","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'butterfly' — collapse, not a new trick"
"Far Clipper","far-clipper","stanford","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'clipper' — collapse, not a new trick"
"Far Double Pickup (Reverse Reaper)","far-double-pickup-reverse-reaper","stanford","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'double-pickup' — collapse, not a new trick"
"Far Double Switchover (Reaper)","far-double-switchover-reaper","stanford","(unclassified)","alias-collapse","folk-name-opacity","stable","Alias / compression candidate — collapse to canon, do not promote"
"Far Dyno","far-dyno","footbagmoves","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'dyno' — collapse, not a new trick"
"Far Guay","far-guay","stanford","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'guay' — collapse, not a new trick"
"Far Legover","far-legover","stanford","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'legover' — collapse, not a new trick"
"Far Osis","far-osis","stanford","(unclassified)","alias-collapse","","stable","Positional/directional variant resolving to existing canonical 'osis' — collapse, not a new trick"
