equivalence_group,base_id,normalized_formula,classification,existing_matched_object
EQ001,SIN-SIN-SIN,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > SAME TOE [DEL],B,triple_around_the_world|pixie_double_pickup_same_side
EQ002,SIN-SIN-SIN,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ003,SIN-SIN-SOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ004,SIN-SIN-SOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ005,SIN-SIN-OIN,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ006,SIN-SIN-OIN,TOE > SAME IN [DEX] > SAME IN [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ007,SIN-SIN-OOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],D,
EQ008,SIN-SIN-OOUT,TOE > SAME IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
EQ009,SIN-SOUT-SIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > SAME TOE [DEL],D,
EQ010,SIN-SOUT-SIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME IN [DEX] > OP TOE [DEL],D,
EQ011,SIN-SOUT-SOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > SAME TOE [DEL],D,
EQ012,SIN-SOUT-SOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > SAME OUT [DEX] > OP TOE [DEL],D,
EQ013,SIN-SOUT-OIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > SAME TOE [DEL],D,
EQ014,SIN-SOUT-OIN,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP IN [DEX] > OP TOE [DEL],D,
EQ015,SIN-SOUT-OOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > SAME TOE [DEL],D,
EQ016,SIN-SOUT-OOUT,TOE > SAME IN [DEX] > SAME OUT [DEX] > OP OUT [DEX] > OP TOE [DEL],D,
