atlas_coord,fiber,dex1,dex2,grammar_status,leg,direction,receiver,carriage,repeat,primary_family,assigned_family,boundary_reason
toe:toe/S.IN.S|S.IN.S,toe:toe,S.IN.S,S.IN.S,valid,same-leg,parallel,preserved,steady,repeated,same-leg / parallel / preserved,same-leg / parallel / preserved,
toe:toe/S.IN.S|S.IN.O,toe:toe,S.IN.S,S.IN.O,valid,same-leg,parallel,changed,mid-cross,distinct,same-leg / parallel / changed,same-leg / parallel / changed,
toe:toe/S.IN.S|S.OUT.S,toe:toe,S.IN.S,S.OUT.S,valid,same-leg,reversed,preserved,steady,distinct,same-leg / reversed / preserved,same-leg / reversed / preserved,
toe:toe/S.IN.S|S.OUT.O,toe:toe,S.IN.S,S.OUT.O,valid,same-leg,reversed,changed,mid-cross,distinct,same-leg / reversed / changed,same-leg / reversed / changed,
toe:toe/S.IN.S|O.IN.S,toe:toe,S.IN.S,O.IN.S,valid,alternating-leg,parallel,preserved,steady,distinct,alternating-leg / parallel / preserved,alternating-leg / parallel / preserved,
toe:toe/S.IN.S|O.IN.O,toe:toe,S.IN.S,O.IN.O,valid,alternating-leg,parallel,changed,mid-cross,distinct,alternating-leg / parallel / changed,alternating-leg / parallel / changed,
toe:toe/S.IN.S|O.OUT.S,toe:toe,S.IN.S,O.OUT.S,valid,alternating-leg,reversed,preserved,steady,distinct,alternating-leg / reversed / preserved,alternating-leg / reversed / preserved,
toe:toe/S.IN.S|O.OUT.O,toe:toe,S.IN.S,O.OUT.O,valid,alternating-leg,reversed,changed,mid-cross,distinct,alternating-leg / reversed / changed,alternating-leg / reversed / changed,
toe:toe/S.IN.O|S.IN.S,toe:toe,S.IN.O,S.IN.S,valid,same-leg,parallel,preserved,mid-cross,distinct,same-leg / parallel / preserved,same-leg / parallel / preserved,
toe:toe/S.IN.O|S.IN.O,toe:toe,S.IN.O,S.IN.O,valid,same-leg,parallel,changed,steady,repeated,same-leg / parallel / changed,same-leg / parallel / changed,
toe:toe/S.IN.O|S.OUT.S,toe:toe,S.IN.O,S.OUT.S,valid,same-leg,reversed,preserved,mid-cross,distinct,same-leg / reversed / preserved,same-leg / reversed / preserved,
toe:toe/S.IN.O|S.OUT.O,toe:toe,S.IN.O,S.OUT.O,valid,same-leg,reversed,changed,steady,distinct,same-leg / reversed / changed,same-leg / reversed / changed,
toe:toe/S.IN.O|O.IN.S,toe:toe,S.IN.O,O.IN.S,valid,alternating-leg,parallel,preserved,mid-cross,distinct,alternating-leg / parallel / preserved,alternating-leg / parallel / preserved,
toe:toe/S.IN.O|O.IN.O,toe:toe,S.IN.O,O.IN.O,valid,alternating-leg,parallel,changed,steady,distinct,alternating-leg / parallel / changed,alternating-leg / parallel / changed,
toe:toe/S.IN.O|O.OUT.S,toe:toe,S.IN.O,O.OUT.S,valid,alternating-leg,reversed,preserved,mid-cross,distinct,alternating-leg / reversed / preserved,alternating-leg / reversed / preserved,
toe:toe/S.IN.O|O.OUT.O,toe:toe,S.IN.O,O.OUT.O,valid,alternating-leg,reversed,changed,steady,distinct,alternating-leg / reversed / changed,alternating-leg / reversed / changed,
toe:toe/S.OUT.S|S.IN.S,toe:toe,S.OUT.S,S.IN.S,valid,same-leg,reversed,preserved,steady,distinct,same-leg / reversed / preserved,same-leg / reversed / preserved,
toe:toe/S.OUT.S|S.IN.O,toe:toe,S.OUT.S,S.IN.O,valid,same-leg,reversed,changed,mid-cross,distinct,same-leg / reversed / changed,same-leg / reversed / changed,
toe:toe/S.OUT.S|S.OUT.S,toe:toe,S.OUT.S,S.OUT.S,valid,same-leg,parallel,preserved,steady,repeated,same-leg / parallel / preserved,same-leg / parallel / preserved,
toe:toe/S.OUT.S|S.OUT.O,toe:toe,S.OUT.S,S.OUT.O,valid,same-leg,parallel,changed,mid-cross,distinct,same-leg / parallel / changed,same-leg / parallel / changed,
