slug,name,add,contact_count,scored_event_count,classification
clipper_stall,"clipper stall",2,2,0,notation-gap
pendulum,pendulum,2,2,0,notation-gap
toe_stall,"toe stall",1,2,0,notation-gap
ducking_osis,"ducking osis",4,3,4,parse-residue-embedded-name
weaving_osis,"weaving osis",4,3,4,parse-residue-embedded-name
zulu_osis,"zulu osis",4,3,4,parse-residue-embedded-name
backside_symposium_smear,"backside symposium smear",5,6,5,doctrine-question-symp-encoding
clipper_ducking_symposium_whirl,"clipper ducking symposium whirl",5,5,5,doctrine-question-symp-encoding
clipper_symposium_whirl,"clipper symposium whirl",4,4,4,doctrine-question-symp-encoding
paradox_symposium_whirling_rake,"paradox symposium whirling rake",5,5,5,doctrine-question-symp-encoding
reverse_swirling_paradox_symposium_whirl,"Reverse Swirling Paradox Symposium Whirl",6,5,6,doctrine-question-symp-encoding
reverse_swirling_symposium_mirage,"reverse swirling symposium mirage",4,5,4,doctrine-question-symp-encoding
surging_ducking_paradox_symposium_whirling_rake,"Surging Ducking Paradox Symposium Whirling Rake",8,8,8,doctrine-question-symp-encoding
symposium_reverse_swirling_pickup,"symposium reverse swirling pickup",4,5,4,doctrine-question-symp-encoding
symposium_reverse_whirling_swirl,"symposium reverse whirling swirl",5,5,5,doctrine-question-symp-encoding
toe_symposium_swirl,"toe symposium swirl",4,4,4,doctrine-question-symp-encoding
aeon_flux,"aeon flux",5,4,5,explained-known-extension
anoxia,anoxia,6,5,6,explained-known-extension
armageddon,armageddon,6,5,6,explained-known-extension
atom_bomb,"atom bomb",6,4,6,explained-known-extension
atom_smasher,"atom smasher",4,4,4,explained-known-extension
avalanche,avalanche,5,5,5,explained-known-extension
backside_magellan,"backside magellan",4,5,4,explained-known-extension
backside_paste,"backside paste",4,5,4,explained-known-extension
barfry,barfry,5,4,5,explained-known-extension
blue_widow,"blue widow",7,5,7,explained-known-extension
blur,blur,4,4,4,explained-known-extension
blurry_drifter,"Blurry Drifter",5,4,5,explained-known-extension
blurry_symposium_whirl,"Blurry Symposium Whirl",6,4,6,explained-known-extension
blurry_torque,"blurry torque",6,5,6,explained-known-extension
blurry_whirl,"blurry whirl",5,4,5,explained-known-extension
blurry_whirling_swirl,"blurry whirling swirl",6,5,6,explained-known-extension
chainsaw_massacre,"chainsaw massacre",7,5,7,explained-known-extension
cold_fusion,"cold fusion",6,5,6,explained-known-extension
ducking_paradox_blender,"ducking paradox blender",6,5,6,explained-known-extension
ducking_paradox_drifter,"ducking paradox drifter",5,4,5,explained-known-extension
ducking_paradox_flail,"ducking paradox flail",5,4,5,explained-known-extension
ducking_paradox_illusion,"ducking paradox illusion",4,4,4,explained-known-extension
ducking_paradox_mirage,"ducking paradox mirage",4,4,4,explained-known-extension
ducking_paradox_symposium_illusion,"ducking paradox symposium illusion",5,4,5,explained-known-extension
ducking_paradox_symposium_mirage,"ducking paradox symposium mirage",5,4,5,explained-known-extension
ducking_paradox_symposium_whirl,"ducking paradox symposium whirl",6,4,6,explained-known-extension
ducking_paradox_torque,"ducking paradox torque",6,5,6,explained-known-extension
ego,ego,6,5,6,explained-known-extension
fog,fog,5,5,5,explained-known-extension
food_processor,"food processor",6,5,6,explained-known-extension
fury,fury,5,5,5,explained-known-extension
gangsta_party,"gangsta party",7,6,7,explained-known-extension
gary_coleman,"gary coleman",6,4,6,explained-known-extension
gauntlet,gauntlet,7,6,7,explained-known-extension
