"trick_slug","symbolic_group_id","membership_reason","confidence","source"
"aeon_flux","osis-rotational-topology","base_trick=osis","high","topology heuristic"
"archnemesis","furious-family","modifier_link=furious","high","freestyle_trick_modifier_links"
"armageddon","no-plant-while-symposium","modifier_link=symposium","high","execution-pattern rule"
"armageddon","paradox-family","modifier_link=paradox","high","freestyle_trick_modifier_links"
"armageddon","symposium-family","modifier_link=symposium","high","freestyle_trick_modifier_links"
"around_the_world","atw-leg-circle-topology","base_trick=around_the_world","high","topology heuristic"
"around_the_world","leggy-circle","base_trick=around_the_world","high","base_trick mapping"
"around_the_world_heel","atw-leg-circle-topology","base_trick=around_the_world","high","topology heuristic"
"around_the_world_heel","leggy-circle","base_trick=around_the_world","high","base_trick mapping"
"around_the_world_kick","atw-leg-circle-topology","base_trick=around_the_world","high","topology heuristic"
"around_the_world_kick","leggy-circle","base_trick=around_the_world","high","base_trick mapping"
"around_the_world_kick","stall-1add-topology","1-ADD primitive contact/stall","high","topology heuristic"
"assassin","ducking-family","modifier_link=ducking","high","freestyle_trick_modifier_links"
"assassin","hippy-in-dex","base_trick=mirage","high","base_trick mapping"
"assassin","mirage-topology","base_trick=mirage","high","topology heuristic"
"assassin","pixie-family","modifier_link=pixie","high","freestyle_trick_modifier_links"
"atom_smasher","hippy-in-dex","base_trick=mirage","high","base_trick mapping"
"atom_smasher","mirage-topology","base_trick=mirage","high","topology heuristic"
"atomic_barrage","atomic-family","modifier_link=atomic","high","freestyle_trick_modifier_links"
"atomic_barrage","double-dex-topology","barrage/barfly canonical double-dex pattern","high","topology heuristic"
"atomic_blender","atomic-family","modifier_link=atomic","high","freestyle_trick_modifier_links"
"atomic_blender","blender-rotational-topology","base_trick=blender","high","topology heuristic"
"atomic_butterfly","atomic-family","modifier_link=atomic","high","freestyle_trick_modifier_links"
"atomic_butterfly","butterfly-wing-topology","base_trick=butterfly","high","topology heuristic"
"atomic_butterfly","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
"atomic_butterfly","wing-motion-dex","base_trick=butterfly","high","base_trick mapping"
"atomic_clipper","clipper-ending","compound terminates in clipper_stall via wing-motion or canonical-name pattern","medium","canonical-name heuristic"
