"symbolic_group_id","display_name","classification_axis","description","representative_examples","confidence_level","source_basis","review_status"
"spinning-family","Spinning modifier family","modifier","+1 flat per pt10; rotational body modifier.","spinning_whirl, spinning_osis, spinning_clipper, spinning_torque, spender, montage","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"paradox-family","Paradox modifier family","modifier","+1 universal body modifier; in-then-out dex pair structure.","paradox_mirage, paradox_whirl, paradox_blender, paradox_drifter, paradox_symposium_whirl","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"pixie-family","Pixie modifier family","modifier","+1 universal set modifier; compact dex variant.","smear, dimwalk, smoke, phoenix, paste, pigbeater, smudge, magellan, parkwalk","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"ducking-family","Ducking modifier family","modifier","+1 body modifier; duck head movement.","ducking_whirl, ducking_osis, ducking_butterfly, ducking_clipper, mind_bender, phoenix, montage","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"diving-family","Diving modifier family","modifier","+1 body modifier; dive head movement.","hatchet, red-ribbon","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"symposium-family","Symposium modifier family","modifier","+1 no-plant-while body modifier.","matador, mullet, montage, spinal_tap, symposium_whirl, symposium_mirage, superfly","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"stepping-family","Stepping modifier family","modifier","+1 body modifier; step action between dexes.","ripwalk, sidewalk, stepping_osis, stepping_whirl, surreal, blur, grave_digger, surge","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"tapping-family","Tapping modifier family","modifier","+1 foot-pattern modifier; distinct from stepping per pt3.","tap, spinal_tap, tapping_whirl","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"atomic-family","Atomic modifier family","modifier","+1 non-rotational / +2 rotational set modifier.","scrambled_eggbeater, atomic_butterfly, atom_smasher, atomic_torque, eggbeater","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"furious-family","Furious modifier family","modifier","+1 non-rotational / +2 rotational set primitive (parallel to atomic).","fury, nemesis","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"quantum-family","Quantum modifier family","modifier","+1 universal set modifier per pt10.","tripwalk, legeater, plasma","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"nuclear-family","Nuclear modifier family","modifier","+2 set modifier; paradox+atomic structure per pt10.","matador, sumo, hurl, barfry","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"gyro-family","Gyro modifier family","modifier","+1 body-axial rotation modifier.","mobius, vortex","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"whirling-family","Whirling modifier family","modifier","+1 rotation modifier; flat per pt10.","whirling_swirl, blender (whirling-osis)","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"barraging-family","Barraging modifier family","modifier","+1 universal body modifier.","flurry (barraging_legover; data-debt), barraging_osis (deferred)","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"blurry-family","Blurry modifier family","modifier","+1 flat per pt11; set modifier.","blur, blurry_whirl, blurry_torque, blurriest, food_processor","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
"miraging-family","Miraging modifier family","modifier","+1 body modifier; underlies torque/drifter/DLO canonical decompositions.","torque (miraging-osis), drifter (miraging-clipper), DLO (miraging-legover)","high","freestyle_trick_modifiers + SCALE pilot-cohort memory + SYMBOLIC_FAMILY_REGISTRY","observational"
