"ifpa_trick_family","ifpa_family_size","active_pilot_count","distinct_topology_groups_spanned","primary_topology_group","members_in_primary_topology","topology_coherence_score","cross_cutting_topologies","sample_members","diagnostic_notes"
"mirage","110","0","2","mirage-topology","54","0.491","double-dex-topology","mirage, smear, blur, atom_smasher, paradox_mirage","scattered across multiple topologies; no pilot members"
"whirl","85","1","1","whirl-rotational-topology","42","0.494","","whirl, symposium_whirl, ducking_whirl, stepping_whirl, paradox_whirl","scattered across multiple topologies"
"legover","69","0","3","legover-topology","33","0.478","double-dex-topology, stall-1add-topology","legover, eggbeater, double_leg_over, flurry, merkon","scattered across multiple topologies; no pilot members"
"butterfly","68","1","2","butterfly-wing-topology","44","0.647","double-dex-topology","butterfly, dimwalk, parkwalk, ripwalk, ducking_butterfly",""
"osis","57","0","4","osis-rotational-topology","23","0.404","torque-rotational-topology, blender-rotational-topology, double-dex-topology","osis, torque, blender, spinning_osis, ducking_osis","scattered across multiple topologies; no pilot members"
"swirl","48","0","2","swirl-rotational-topology","36","0.75","double-dex-topology","swirl, whirling_swirl, stepping_whirling_swirl, butterfly_swirl, paradon_swirl","no pilot members"
"illusion","45","0","2","illusion-topology","28","0.622","double-dex-topology","illusion, flail, smudge, blizzard, spinning_paradox_illusion","no pilot members"
"pickup","40","0","2","pickup-topology","25","0.625","double-dex-topology","pickup, paste, scrambled_eggbeater, legeater, double_pickup","no pilot members"
"inside_stall","32","0","1","stall-1add-topology","1","0.031","","guay, inside_stall, spinning_guay, gyro_guay, ducking_guay","scattered across multiple topologies; no pilot members"
"torque","32","0","1","torque-rotational-topology","24","0.75","","paradox_torque, mobius, blurry_torque, atomic_torque, spinning_torque","no pilot members"
"clipper_stall","31","0","2","drifter-miraging-clipper-topology","8","0.258","double-dex-topology","drifter, ducking_clipper, spinning_clipper, clipper_stall, high_plains_drifter","scattered across multiple topologies; no pilot members"
"blender","27","1","1","blender-rotational-topology","18","0.667","","paradox_blender, food_processor, spender, mind_bender, spinning_paradox_blender",""
"double_leg_over","27","0","1","double-dex-topology","1","0.037","","fog, smog, haze, paradox_double_leg_over, predator","scattered across multiple topologies; no pilot members"
"double_over_down","21","0","0","(none)","0","0.0","","double_over_down, down_diver, pixie_double_over_down, double_over_down_swirl, fairy_double_over_down","scattered across multiple topologies; no pilot members"
"drifter","21","0","1","drifter-miraging-clipper-topology","14","0.667","","paradox_drifter, tombstone, vortex, smoke, morpheus","no pilot members"
"eggbeater","17","0","0","(none)","0","0.0","","bedwetter, quantum_eggbeater, fairy_symposium_eggbeater, spinning_symposium_eggbeater, gyro_eggbeater","scattered across multiple topologies; no pilot members"
"barfly","15","0","2","barfly-double-loop-topology","14","0.933","double-dex-topology","barfly, blurriest, superfly, venom, nemesis","no pilot members"
"clipper","15","0","1","stall-1add-topology","1","0.067","","clipper, flying_clipper, pixie_clipper, diving_clipper, stepping_clipper","scattered across multiple topologies; no pilot members"
"eclipse","12","0","0","(none)","0","0.0","","eclipse, atomic_eclipse, miraging_eclipse, pixie_eclipse, fairy_eclipse","scattered across multiple topologies; no pilot members"
"rev_whirl","12","0","1","whirl-rotational-topology","1","0.083","","rev_whirl, surgery, symposium_reverse_whirl, stepping_rev_whirl, spinning_rev_whirl","scattered across multiple topologies; no pilot members"
"flail","11","0","0","(none)","0","0.0","","inspinning_flail, pixie_flail, atomic_flail, fairy_flail, gyro_flail","scattered across multiple topologies; no pilot members"
"butterfly_swirl","10","0","1","double-dex-topology","1","0.1","","spinning_butterfly_swirl, gyro_butterfly_swirl, ducking_butterfly_swirl, stepping_butterfly_swirl, fairy_butterfly_swirl","scattered across multiple topologies; no pilot members"
"paradon","10","0","0","(none)","0","0.0","","paradon, dolomite, fairy_paradon, symposium_paradon, pixie_dolomite","scattered across multiple topologies; no pilot members"
"barrage","9","0","1","double-dex-topology","8","0.889","","barrage, paradox_barrage, blurrage, pixie_barrage, atomic_barrage","no pilot members"
"toe_stall","8","0","1","stall-1add-topology","1","0.125","","toe_stall, inspinning_toe_stall, spinning_toe_stall, ducking_toe_stall, diving_toe_stall","scattered across multiple topologies; no pilot members"
"dada_curve","7","0","0","(none)","0","0.0","","dada_curve, paradox_da_da_curve, pixie_dada_curve, gyro_dada_curve, shooting_da_da_curve","scattered across multiple topologies; no pilot members"
"dyno","6","0","0","(none)","0","0.0","","dyno, pixie_dyno, stepping_dyno, fairy_dyno, miraging_dyno","scattered across multiple topologies; no pilot members"
"rake","6","0","0","(none)","0","0.0","","rake, whirling_rake, reverse_whirling_rake, paradox_whirling_rake, paradox_symposium_whirling_rake","scattered across multiple topologies; no pilot members"
"rev_swirl","6","0","1","swirl-rotational-topology","1","0.167","","rev_swirl, atomic_reverse_swirl, butterfly_reverse_swirl, barfly_reverse_swirl, paradon_reverse_swirl","scattered across multiple topologies; no pilot members"
"down_double_down","5","0","0","(none)","0","0.0","","down_double_down, scorpions_tail, spinning_symposium_down_double_down, shaft, archnemesis","scattered across multiple topologies; no pilot members"
"around_the_world","4","0","1","atw-leg-circle-topology","3","0.75","","around_the_world, double_around_the_world, triple_around_the_world, around_the_world_heel","no pilot members"
"cross_body_sole_stall","4","0","1","unusual-surface-topology","1","0.25","","cross_body_sole_stall, ricochet, butterfly_flapper, symposium_whirling_flapper","scattered across multiple topologies; no pilot members"
"motion","4","0","0","(none)","0","0.0","","motion, locomotion, motion_sickness, pogo_motion","scattered across multiple topologies; no pilot members"
"orbit","4","0","1","stall-1add-topology","1","0.25","","orbit, double_orbit, triple_orbit, orbit_kick","scattered across multiple topologies; no pilot members"
"dod","3","0","0","(none)","0","0.0","","fusion, id, cold_fusion","scattered across multiple topologies; no pilot members"
"double_pickup","3","0","0","(none)","0","0.0","","fairy_double_pickup, gyro_double_pickup, stepping_ducking_double_pickup","scattered across multiple topologies; no pilot members"
"pixie","3","0","0","(none)","0","0.0","","trixie, symposium_pixie, double_pixie","scattered across multiple topologies; no pilot members"
"twirl","3","0","0","(none)","0","0.0","","symposium_twirl, fairy_twirl, tapping_twirl","scattered across multiple topologies; no pilot members"
"whirling_swirl","3","0","0","(none)","0","0.0","","paradox_whirling_swirl, gyro_whirling_swirl, pogo_whirling_swirl","scattered across multiple topologies; no pilot members"
"blizzard","2","0","0","(none)","0","0.0","","paradox_blizzard, symposium_blizzard","scattered across multiple topologies; no pilot members"
"butterfly_kick","2","0","1","butterfly-wing-topology","1","0.5","","butterfly_kick, spinning_butterfly_kick","no pilot members"
"double_switch_over","2","0","0","(none)","0","0.0","","pixie_double_switch_over, stepping_double_switch_over","scattered across multiple topologies; no pilot members"
"flurry","2","0","0","(none)","0","0.0","","flurricane, paradox_flurry","scattered across multiple topologies; no pilot members"
"inside_around_the_world","2","0","0","(none)","0","0.0","","inside_around_the_world, inside_double_around_the_world","scattered across multiple topologies; no pilot members"
"magellan","2","0","0","(none)","0","0.0","","backside_magellan, stepping_ducking_magellan","scattered across multiple topologies; no pilot members"
"mobius","2","0","0","(none)","0","0.0","","fairy_mobius, pixie_mobius","scattered across multiple topologies; no pilot members"
"paste","2","0","0","(none)","0","0.0","","backside_paste, stepping_ducking_paste","scattered across multiple topologies; no pilot members"
"reverse_drifter","2","0","1","drifter-miraging-clipper-topology","2","1.0","","royale, reverse_drifter","perfectly coherent (single topology); no pilot members"
"ripstein","2","0","0","(none)","0","0.0","","ripstein, fairy_ripstein","scattered across multiple topologies; no pilot members"
"spin","2","0","1","stall-1add-topology","1","0.5","","spin, triple_spin","no pilot members"
"superfly","2","0","0","(none)","0","0.0","","stepping_superfly, spinning_superfly","scattered across multiple topologies; no pilot members"
"2_bag_juggling","1","0","0","(none)","0","0.0","","2_bag_juggling","singleton family; no pilot members"
"3_bag_juggling","1","0","0","(none)","0","0.0","","3_bag_juggling","singleton family; no pilot members"
"around_the_world_kick","1","0","2","atw-leg-circle-topology","1","1.0","stall-1add-topology","around_the_world_kick","singleton family; no pilot members"
"bullwhip","1","0","0","(none)","0","0.0","","bullwhip","singleton family; no pilot members"
"cloud_kick","1","0","1","stall-1add-topology","1","1.0","","cloud_kick","singleton family; no pilot members"
"cloud_stall","1","0","0","(none)","0","0.0","","cloud_stall","singleton family; no pilot members"
"double_around_the_world","1","0","0","(none)","0","0.0","","double_around_the_world_heel","singleton family; no pilot members"
"double_kick","1","0","1","stall-1add-topology","1","1.0","","double_kick","singleton family; no pilot members"
"double_knee","1","0","1","stall-1add-topology","1","1.0","","double_knee","singleton family; no pilot members"
"double_spin","1","0","0","(none)","0","0.0","","double_spin","singleton family; no pilot members"
"dragon","1","0","0","(none)","0","0.0","","dragon","singleton family; no pilot members"
"dragonfly_kick","1","0","0","(none)","0","0.0","","dragonfly_kick","singleton family; no pilot members"
"fairy","1","0","0","(none)","0","0.0","","double_fairy","singleton family; no pilot members"
"fairy_kick","1","0","1","stall-1add-topology","1","1.0","","fairy_kick","singleton family; no pilot members"
"flying_inside","1","0","1","stall-1add-topology","1","1.0","","flying_inside","singleton family; no pilot members"
"flying_outside","1","0","1","stall-1add-topology","1","1.0","","flying_outside","singleton family; no pilot members"
"forehead_stall","1","0","1","stall-1add-topology","1","1.0","","forehead_stall","singleton family; no pilot members"
"head_stall","1","0","1","stall-1add-topology","1","1.0","","head_stall","singleton family; no pilot members"
"heel_stall","1","0","0","(none)","0","0.0","","heel_stall","singleton family; no pilot members"
"high_plains_drifter","1","0","0","(none)","0","0.0","","paradox_high_plains_drifter","singleton family; no pilot members"
"hop_over","1","0","0","(none)","0","0.0","","hop_over","singleton family; no pilot members"
"illusioning_kick","1","0","1","stall-1add-topology","1","1.0","","illusioning_kick","singleton family; no pilot members"
"jani_walker","1","0","0","(none)","0","0.0","","jani_walker","singleton family; no pilot members"
"knee_clipper","1","0","0","(none)","0","0.0","","knee_clipper","singleton family; no pilot members"
"knee_stall","1","0","1","stall-1add-topology","1","1.0","","knee_stall","singleton family; no pilot members"
"leg_over_flapper_stall","1","0","0","(none)","0","0.0","","leg_over_flapper_stall","singleton family; no pilot members"
"miraging_kick","1","0","1","stall-1add-topology","1","1.0","","miraging_kick","singleton family; no pilot members"
"neck_stall","1","0","1","stall-1add-topology","1","1.0","","neck_stall","singleton family; no pilot members"
"outside_around_the_world","1","0","0","(none)","0","0.0","","outside_around_the_world","singleton family; no pilot members"
"outside_stall","1","0","1","stall-1add-topology","1","1.0","","outside_stall","singleton family; no pilot members"
"paradox_illusion","1","0","0","(none)","0","0.0","","avalanche","singleton family; no pilot members"
"paradox_mirage","1","0","0","(none)","0","0.0","","spike_hammer","singleton family; no pilot members"
"peak_stall","1","0","1","stall-1add-topology","1","1.0","","peak_stall","singleton family; no pilot members"
"pendulum","1","0","0","(none)","0","0.0","","pendulum","singleton family; no pilot members"
"pigbeater","1","0","0","(none)","0","0.0","","stepping_ducking_pigbeater","singleton family; no pilot members"
"pixie_kick","1","0","1","stall-1add-topology","1","1.0","","pixie_kick","singleton family; no pilot members"
"plasma","1","0","0","(none)","0","0.0","","plasma","singleton family; no pilot members"
"pogo_barfly","1","0","0","(none)","0","0.0","","pogo_barfly","singleton family; no pilot members"
"pogo_paradox_barrage","1","0","1","double-dex-topology","1","1.0","","pogo_paradox_barrage","singleton family; no pilot members"
"pogo_voodoo","1","0","0","(none)","0","0.0","","pogo_voodoo","singleton family; no pilot members"
"refraction","1","0","0","(none)","0","0.0","","refraction","singleton family; no pilot members"
"shoulder_stall","1","0","1","stall-1add-topology","1","1.0","","shoulder_stall","singleton family; no pilot members"
"smog","1","0","0","(none)","0","0.0","","stepping_ducking_smog","singleton family; no pilot members"
