event_id,discipline,discipline_name,placement,player_raw,team_raw,score_text,source_type,data_source,result_row_id
1982_worlds,Open Sgls Net,Open Sgls Net,1,Kenny Shults,,,FBW,PRE1997,b83a963033
1982_worlds,Open Sgls Net,Open Sgls Net,2,Billy Hayne,,,FBW,PRE1997,877c97aef7
1982_worlds,Open Sgls Net,Open Sgls Net,3,Bruce Guettich,,,FBW,PRE1997,37989f1a5c
1982_worlds,Open Dbls Net,Open Dbls Net,1,,Mag Hughes/Billy Hayne,,FBW,PRE1997,9313635c5c
1982_worlds,Open Dbls Net,Open Dbls Net,2,,Kenny Shults/Walt Mason,,FBW,PRE1997,334795941e
1982_worlds,Open Dbls Net,Open Dbls Net,3,,Fred Kipley/Gary Preston,,FBW,PRE1997,b0d6bf4c8f
1982_worlds,Women's Sgls Net,Women's Sgls Net,1,Cheryl Hughes,,,FBW,PRE1997,609f3f30fb
1982_worlds,Women's Sgls Net,Women's Sgls Net,2,Carolyn Ramondie,,,FBW,PRE1997,a3c659f467
1982_worlds,Women's Sgls Net,Women's Sgls Net,3,Karen Gunther,,,FBW,PRE1997,69ca6270c5
1982_worlds,Women's Dbls Net,Women's Dbls Net,1,,Carolyn Ramondie/Lori Jean Tarr,,FBW,PRE1997,0f4334650b
1982_worlds,Women's Dbls Net,Women's Dbls Net,2,,Rita Buckley/Alex Frazier,,FBW,PRE1997,315223983f
1982_worlds,Women's Dbls Net,Women's Dbls Net,3,,Karen Uppinghouse/Cheryl Hughes,,FBW,PRE1997,14aed77b21
1982_worlds,Mixed Dbls Net,Mixed Dbls Net,1,,Mag Hughes/Alex Frazier,,FBW,PRE1997,4c06cfa01a
1982_worlds,Mixed Dbls Net,Mixed Dbls Net,2,,Billy Hayne/Cheryl Hughes,,FBW,PRE1997,6b4eb67eec
1982_worlds,Mixed Dbls Net,Mixed Dbls Net,3,,Greg Cortopassi/Rita Buckley,,FBW,PRE1997,550ca7ceb6
1982_worlds,Open Sgls Consecutive,Open Sgls Consecutive,1,Kenny Shults,,,FBW,PRE1997,590eadc6cb
1982_worlds,Open Sgls Consecutive,Open Sgls Consecutive,2,Andy Linder,,,FBW,PRE1997,079c2f8370
1982_worlds,Open Sgls Consecutive,Open Sgls Consecutive,3,Gary Laut,,,FBW,PRE1997,5a70962dc8
1982_worlds,Open Golf,Open Golf,1,Mike Harding,,,FBW,PRE1997,4a28098dc0
1982_worlds,Open Golf,Open Golf,2,Kenny Shults,,,FBW,PRE1997,a8e4d54e96
1982_worlds,Open Golf,Open Golf,3,Greg Cortopassi,,,FBW,PRE1997,9e1a4ac3b3
1983_worlds_nhsa,Open Sgls Net,Open Sgls Net,1,Mag Hughes,,,FBW,PRE1997,98a0e0aebf
1983_worlds_nhsa,Open Sgls Net,Open Sgls Net,2,Kenny Shults,,,FBW,PRE1997,ff052ef614
1983_worlds_nhsa,Open Sgls Net,Open Sgls Net,3,Dave Robinson,,,FBW,PRE1997,6f121bebd8
1983_worlds_nhsa,Open Dbls Net,Open Dbls Net,1,,Mag Hughes/Billy Hayne,,FBW,PRE1997,14b96b52ca
1983_worlds_nhsa,Open Dbls Net,Open Dbls Net,2,,Greg Cortopassi/Bruce Guettich,,FBW,PRE1997,e66d08c1e2
1983_worlds_nhsa,Open Dbls Net,Open Dbls Net,3,,Kevin Courtney/Dave Robinson,,FBW,PRE1997,f25ed8fc0d
1983_worlds_nhsa,Mixed Dbls Net,Mixed Dbls Net,1,,Lori Jean Tarr/Bruce Guettich,,FBW,PRE1997,4242fb6a3f
1983_worlds_nhsa,Mixed Dbls Net,Mixed Dbls Net,2,,Shannon Aubin/Dave Robinson,,FBW,PRE1997,bd781aaad0
1983_worlds_nhsa,Mixed Dbls Net,Mixed Dbls Net,3,,Tricia George/Tim Fitzgerald,,FBW,PRE1997,5874e1bf64
1983_worlds_nhsa,Open Sgls Freestyle,Open Sgls Freestyle,1,Jack Schoolcraft,,,FBW,PRE1997,79878edcf8
