event_id,event_name,year,event_type,location,start_date,end_date,city,region,country,host_club,status,validation_status,num_placements,source_types,data_source
1980_worlds,1980 NHSA (Mike Marshall Memorial),1980,NHSA_NATIONALS,,1980,,,,,,historical,CONFIRMED_MULTI_SOURCE,8,FBW|OLD_RESULTS,PRE1997
1981_worlds,1981 NHSA (Mike Marshall Memorial),1981,NHSA_NATIONALS,,1981,,,,,,historical,CONFIRMED_MULTI_SOURCE,15,FBW|OLD_RESULTS,PRE1997
1982_worlds,1982 NHSA,1982,NHSA_NATIONALS,,1982,,,,,,historical,CONFIRMED_MULTI_SOURCE,53,FBW|OLD_RESULTS,PRE1997
1983_worlds_nhsa,1983 NHSA,1983,NHSA_NATIONALS,,1983,,,,,,historical,CONFIRMED_MULTI_SOURCE,54,FBW|OLD_RESULTS,PRE1997
1983_worlds_wfa,1983 WFA,1983,WFA_NATIONALS,,1983,,,,,,historical,CONFIRMED_MULTI_SOURCE,53,FBW|OLD_RESULTS,PRE1997
1984_worlds,1984,1984,WORLD_CHAMPIONSHIPS,,1984,,,,,,historical,CONFIRMED_MULTI_SOURCE,61,FBW|OLD_RESULTS,PRE1997
1984_wfa_nationals,1984 WFA National Championships,1984,WFA_NATIONALS,,1984,,,,,,historical,CONFIRMED_MULTI_SOURCE,36,FBW|OLD_RESULTS,PRE1997
1985_worlds,1985,1985,WORLD_CHAMPIONSHIPS,,1985,,,,,,historical,CONFIRMED_MULTI_SOURCE,64,FBW|OLD_RESULTS,PRE1997
1985_wfa_nationals,1985 WFA National Championships,1985,WFA_NATIONALS,,1985,,,,,,historical,CONFIRMED_MULTI_SOURCE,38,FBW|OLD_RESULTS,PRE1997
1986_worlds_golden,1986 WFA World Championships,1986,WFA_WORLD_CHAMPIONSHIPS,"Golden, Colorado",1986,,,,,,historical,CONFIRMED_MULTI_SOURCE,39,FBW|OLD_RESULTS,PRE1997
1987_worlds_golden,1987 WFA World Championships,1987,WFA_WORLD_CHAMPIONSHIPS,"Golden, Colorado",1987,,,,,,historical,CONFIRMED_MULTI_SOURCE,14,FBW,PRE1997
1989_worlds_golden,1989 WFA World Championships,1989,WFA_WORLD_CHAMPIONSHIPS,"Golden, Colorado",1989,,,,,,historical,CONFIRMED_MULTI_SOURCE,30,FBW|IFAB,PRE1997
1990_worlds,1990 WFA World Championships,1990,WFA_WORLD_CHAMPIONSHIPS,,1990,,,,,,historical,SINGLE_SOURCE,29,FBW,PRE1997
1991_worlds,1991 WFA World Championships,1991,WFA_WORLD_CHAMPIONSHIPS,,1991,,,,,,historical,SINGLE_SOURCE,29,FBW,PRE1997
1992_worlds,1992 WFA World Championships,1992,WFA_WORLD_CHAMPIONSHIPS,,1992,,,,,,historical,SINGLE_SOURCE,29,FBW,PRE1997
1993_worlds,1993 IFAB World Championships,1993,IFAB_WORLD_CHAMPIONSHIPS,,1993,,,,,,historical,SINGLE_SOURCE,29,FBW,PRE1997
1994_worlds_palo_alto,1994 IFAB World Championships,1994,IFAB_WORLD_CHAMPIONSHIPS,"Palo Alto, California",1994,,,,,,historical,CONFIRMED_MULTI_SOURCE,30,FBW|IFAB,PRE1997
1996_worlds,1996 World Footbag Championships,1996,IFAB_WORLD_CHAMPIONSHIPS,"Montreal, Quebec, Canada",1996,,,,,,historical,VERIFIED,29,verified_new,PRE1997
montreal_1995_footbag_champs,1995 Montreal Footbag Championships,1995,OTHER,"Parc Beaubien, Montreal, Quebec, Canada",1995,,,,,,historical,VERIFIED,12,verified_new,PRE1997
1980_worlds_memphis,1980 World Footbag Championships,1980,worlds,"Memphis, Tennessee",,,Memphis,,Tennessee,,completed,N/A,10,MIRROR,POST1997
1980_western_states,Western States Footbag Championships 1980,1980,mixed,"Corvallis, Oregon, United States",,,Corvallis,Oregon,United States,,completed,N/A,12,MIRROR,POST1997
1980_worlds_oregon_city_2,World Championships 1980 (NHSA),1980,net,"Oregon City, Oregon, United States",,,Oregon City,Oregon,United States,NHSA,completed,N/A,17,MIRROR,POST1997
1980_worlds_memphis_2,World Footbag Championships 1980 (IFAB),1980,mixed,"Memphis, Tennessee, United States",,,Memphis,Tennessee,United States,,completed,N/A,11,MIRROR,POST1997
1981_worlds_oregon_city,World Championships 1981 (NHSA),1981,net,"Oregon City, Oregon, United States",,,Oregon City,Oregon,United States,NHSA,completed,N/A,22,MIRROR,POST1997
1981_worlds_san_dimas,World Footbag Championships 1981 (IFAB/FBW),1981,mixed,"San Dimas, California, United States",,,San Dimas,California,United States,,completed,N/A,10,MIRROR,POST1997
1982_worlds_oregon_city,World Championships 1982 (NHSA),1982,mixed,"Oregon City, Oregon, United States",,,Oregon City,Oregon,United States,NHSA,completed,N/A,31,MIRROR,POST1997
1982_worlds_san_francisco,World Footbag Championships 1982 (IFAB),1982,net,"San Francisco, California, United States",,,San Francisco,California,United States,,completed,N/A,7,MIRROR,POST1997
1983_worlds_boulder,World Championships 1983 (NHSA),1983,mixed,"Boulder, Colorado, United States",,,Boulder,Colorado,United States,NHSA,completed,N/A,39,MIRROR,POST1997
1983_worlds_boulder_2,World Championships 1983 (WFA),1983,mixed,"Boulder, Colorado, United States",,,Boulder,Colorado,United States,WFA,completed,N/A,25,MIRROR,POST1997
1983_worlds_oregon_city,World Footbag Championships 1983 (IFAB),1983,net,"Oregon City, Oregon, United States",,,Oregon City,Oregon,United States,,completed,N/A,7,MIRROR,POST1997
1984_worlds_boulder,World Championships 1984,1984,mixed,"Boulder, Colorado, United States",,,Boulder,Colorado,United States,WFA,completed,N/A,60,MIRROR,POST1997
1984_worlds_oregon_city,World Footbag Championships 1984 (IFAB),1984,net,"Oregon City, Oregon, United States",,,Oregon City,Oregon,United States,,completed,N/A,4,MIRROR,POST1997
1985_eastregion,East Coast Championships - 3rd Annual - 1985,1985,mixed,"Long Branch, New Jersey, United States",1985-09-14,1985-09-15,Long Branch,New Jersey,United States,,completed,N/A,27,MIRROR,POST1997
1985_worlds_golden,World Championships 1985,1985,mixed,"Golden, Colorado, United States",,,Golden,Colorado,United States,WFA,completed,N/A,50,MIRROR,POST1997
1986_eastregion,East Coast Footbag Championships - 4th Annual - 1986,1986,mixed,"Long Branch, New Jersey, United States",1986-09-30,1986-09-30,Long Branch,New Jersey,United States,,completed,N/A,32,MIRROR,POST1997
1990_eastregion,East Coast Footbag Championships - 8th Annual - 1990,1990,mixed,"Beachwood, New Jersey, United States",1990-08-31,1990-08-31,Beachwood,New Jersey,United States,,completed,N/A,33,MIRROR,POST1997
1991_eastregion,East Coast Footbag Championships - 1991 - 9th Annual,1991,mixed,"Beachwood, New Jersey, United States",1991-10-05,1991-10-06,Beachwood,New Jersey,United States,,completed,N/A,36,MIRROR,POST1997
1997_worlds_vancouver,11th Annual Vancouver Open (and Worlds Warm-Up),1997,net,"Vancouver, British Columbia, Canada",1997-08-02,1997-08-03,Vancouver,British Columbia,Canada,,completed,N/A,32,MIRROR,POST1997
1997_midwest,13th Annual MIDWEST REGIONAL FOOTBAG CHAMPIONSHIPS,1997,mixed,"Mt. Prospect, Illinois, United States",1997-06-13,1997-06-15,Mt. Prospect,Illinois,United States,,completed,N/A,50,MIRROR,POST1997
1997_emeraldcity,14th Annual Emerald City Open Footbag Championships,1997,net,"Seattle, Washington, United States",1997-06-07,1997-06-08,Seattle,Washington,United States,,completed,N/A,50,MIRROR,POST1997
1997_seattle_fall_indoor,1997 Seattle Fall Indoor Tournament,1997,mixed,"Seattle, Washington, United States",1997-11-08,1997-11-09,Seattle,Washington,United States,,completed,N/A,16,MIRROR,POST1997
1997_air_a_zona,Air-A-Zona State Footbag Championships,1997,net,"Scottsdale, Arizona, United States",1997-01-18,1997-01-19,Scottsdale,Arizona,United States,,completed,N/A,12,MIRROR,POST1997
1997_auburn_u_f,Auburn U.F.O. Fall Festival,1997,mixed,"Auburn, Alabama, United States",1997-11-08,1997-11-09,Auburn,Alabama,United States,,completed,N/A,20,MIRROR,POST1997
1997_bedford_australia_indoor,Bedford (Australia) Indoor Footbag Championships,1997,net,"Perth, Western Australia, Australia",1997-06-08,1997-06-08,Perth,Western Australia,Australia,,completed,N/A,5,MIRROR,POST1997
1997_california_state,California State Footbag Championships,1997,mixed,"Santa Rosa, California, United States",1997-07-05,1997-07-06,Santa Rosa,California,United States,,completed,N/A,35,MIRROR,POST1997
1997_eugene_celebration,Eugene Celebration Footbag Tournament,1997,net,"Eugene, Oregon, United States",1997-09-20,1997-09-21,Eugene,Oregon,United States,,completed,N/A,10,MIRROR,POST1997
1997_finnish,FOOTBAG SM 97 / Finnish Footbag Championships '97,1997,mixed,"Helsinki, Uusimaa, Finland",1997-11-29,1997-11-29,Helsinki,Uusimaa,Finland,,completed,N/A,12,MIRROR,POST1997
1997_funtastik_summer,Funtastik Summer Classic,1997,mixed,"Harrisburg, Pennsylvania, United States",1997-08-30,1997-09-01,Harrisburg,Pennsylvania,United States,,completed,N/A,38,MIRROR,POST1997
1997_heartoffootbag,HEART OF FOOTBAG Freestyle Tournament,1997,freestyle,"Portland, Oregon, United States",1997-02-15,1997-02-16,Portland,Oregon,United States,,completed,N/A,34,MIRROR,POST1997
1997_montreal,Montreal International Footbag Championships,1997,mixed,"Montreal, Quebec, Canada",1997-07-19,1997-07-20,Montreal,Quebec,Canada,,completed,N/A,27,MIRROR,POST1997
1997_new_york_explosion,New York Footbag EXPLOSION,1997,freestyle,"New York, United States",1997-06-28,1997-06-29,New York,,United States,,completed,N/A,11,MIRROR,POST1997
1997_southern_california,Southern California Footbag Championships,1997,freestyle,"Hermosa Beach, California, United States",1997-04-05,1997-04-06,Hermosa Beach,California,United States,,completed,N/A,6,MIRROR,POST1997
1997_state_games_oregon,State Games of Oregon Footbag Tournament,1997,net,"Gresham, Oregon, United States",1997-07-12,1997-07-13,Gresham,Oregon,United States,,completed,N/A,26,MIRROR,POST1997
1997_eastregion,The 15th Annual EAST COAST FOOTBAG CHAMPIONSHIPS,1997,mixed,"College Park, Maryland, United States",1997-04-26,1997-04-27,College Park,Maryland,United States,,completed,N/A,30,MIRROR,POST1997
1997_worlds_portland,The 18th Annual WORLD FOOTBAG CHAMPIONSHIPS,1997,worlds,"Portland, Oregon, United States",1997-08-11,1997-08-17,Portland,Oregon,United States,Sole Purpose Footbag Club,completed,N/A,84,MIRROR,POST1997
1997_ultimate_chaos_outdoor,The Ultimate Chaos Outdoor Footbag Flying Disc Festival,1997,mixed,"Carbondale, Illinois, United States",1997-09-27,1997-09-28,Carbondale,Illinois,United States,,completed,N/A,19,MIRROR,POST1997
1997_university_oregon,University of Oregon Footbag Tournament,1997,mixed,"Eugene, Oregon, United States",1997-04-19,1997-04-20,Eugene,Oregon,United States,,completed,N/A,33,MIRROR,POST1997
1997_westregion,Western Regional Footbag Championships,1997,mixed,"Palo Alto, California, United States",1997-05-24,1997-05-26,Palo Alto,California,United States,,completed,N/A,42,MIRROR,POST1997
1998_vancouver,12th Annual Vancouver Open Footbag Net Tournament,1998,net,"Vancouver, British Columbia, Canada",1998-08-22,1998-08-23,Vancouver,British Columbia,Canada,,completed,N/A,34,MIRROR,POST1997
