person_id,person_name,country,first_year,last_year,event_count,placement_count,bap_member,bap_nickname,bap_induction_year,fbhof_member,fbhof_induction_year,freestyle_sequences,freestyle_max_add,freestyle_unique_tricks,freestyle_diversity_ratio,signature_trick_1,signature_trick_2,signature_trick_3
8bbe4128-d9c1-5a88-b7a1-6ef0ed282f9c,"""Rame"", Wichita Ks",,,,,,,,,,,,,,,,,
3aa6e4f8-389b-56ad-acc7-a254c3d27487,(scratched) Michael Stefanelli,,,,,,,,,,,,,,,,,
3ff1a7f3-2b7e-5a02-8d96-422ac6f0b19a,*,,,,,,,,,,,,,,,,,
d0eb63d0-3e59-5d51-a114-7856e49d9600,A GRAVEL,,,,,,,,,,,,,,,,,
f26c8661-e93f-5f0f-a5b5-25765c5aef9e,A Inteman,,,,,,,,,,,,,,,,,
522dd02b-74c4-512e-babc-d91722c16161,A Intemann,,,,,,,,,,,,,,,,,
01419344-6968-5902-ac1c-5154b86990e4,A Jolicour,,,,,,,,,,,,,,,,,
dfb6e564-170b-5e8f-9ae9-01c814009f90,A Lasken,,,,,,,,,,,,,,,,,
19ee10c8-f691-5869-9a19-90edf8ee6187,A Noller-prizes,,,,,,,,,,,,,,,,,
81a9f9d9-030e-5b86-81ec-66aa82861e65,A Smith,,,,,,,,,,,,,,,,,
f8e083bc-63ea-5703-a595-99e31a5d0ab2,A. Dukes,,,,,,,,,,,,,,,,,
267a554e-8cf3-5421-ad2a-65a59ea954ba,A. Fritch,,,,,,,,,,,,,,,,,
a4289ba2-ac89-516f-bcfb-7d17921fc4ee,A. Intemann,,,,,,,,,,,,,,,,,
20857b3c-506a-57e4-90a0-fd36d4044d3a,A. Ronald,,,,,,,,,,,,,,,,,
f7454cc8-548c-53f2-958f-691d564474ec,A. Smirnov,,,,,,,,,,,,,,,,,
b5a0550c-595c-5fad-a2c3-8f3c098981f2,A. Wolff,,,,,,,,,,,,,,,,,
a6940a59-0d20-51f8-9a4e-5a41bdb80d64,A.Dick,,,,,,,,,,,,,,,,,
a9442394-8c58-508f-9a4c-84f1961af24d,A.Dukes,,,,,,,,,,,,,,,,,
2fb63bcd-93f7-57ba-baaf-2c257eaf1c68,A.Ellis,,,,,,,,,,,,,,,,,
abc5f306-2435-5d98-bf54-533ca19b5694,A.J. Shultz,,,,,,,,,,,,,,,,,
0392abaa-3b5b-5648-810c-2d2a363b5ae5,A.Marment,,,,,,,,,,,,,,,,,
c31208e3-86bf-5819-9b16-ddc9ae425eb6,A.Norton,,,,,,,,,,,,,,,,,
287ab7ee-f4e5-5ecd-8d03-176c714a785a,AB) and,,,,,,,,,,,,,,,,,
bdf9b692-3202-51e6-8a0f-379457f4bcfc,AB) or,,,,,,,,,,,,,,,,,
840afecd-c646-5a4d-b09f-5cd9c3426c08,AJ Schultz,,,,,,,,,,,,,,,,,
071ff943-073b-5edb-b2b1-ae6bb1676176,AJ Shultz,United States,1999,2007,5,7,0,,,0,,,,,,,,
dfde705c-e16a-58f0-ad41-eba1592bcd6a,AQAF),,,,,,,,,,,,,,,,,
aa357e60-7c05-5e41-965e-6fab11984b3f,"AZ, USA)",,,,,,,,,,,,,,,,,
b7a11079-a08c-5010-9f3f-35e35e46e966,Aaro Wichmann,Finland,2002,2005,4,4,0,,,0,,,,,,,,
73614fd1-a928-581c-b045-5d467e4f5334,Aaron,,,,,,,,,,,,,,,,,
eea1063c-fcc1-5849-9e35-592bdf13fd7b,Aaron De Glanville,United States,1997,1998,4,5,0,,,0,,,,,,,,
ee4a31bf-24fa-5566-b19b-7f7a40e12d22,Aaron Dean,United States,1999,1999,2,3,0,,,0,,,,,,,,
58b8b504-077c-5a37-9e96-0bb405506e02,Aaron Finger,United States,1998,1999,2,2,0,,,0,,,,,,,,
3f12f7d5-75dc-5467-8aab-1c864defb1e8,Aaron Grauer,United States,1999,1999,1,2,0,,,0,,,,,,,,
0bf96614-8396-5c18-bdb0-501af1fa9c81,Aaron Gregg,United States,1997,1997,4,9,0,,,0,,,,,,,,
8ffa68e5-3262-5384-b63f-af4d653b0606,Aaron Hunsberger,,,,,,,,,,,,,,,,,
1018fba6-1fb7-5b2a-8a0e-0dcde74d1e26,Aaron Hunsburger,United States,2005,2010,3,4,0,,,0,,,,,,,,
766ba8a6-f9b8-5be2-b501-6a034451d8ac,Aaron Orton,United States,2007,2007,1,2,0,,,0,,,,1,1.0,blender,,
aef45333-50d3-5e29-8482-2f76c6ca90f9,Aaron Saucedo,,,,2,2,0,,,0,,,,,,,,
fea8f5a0-4e10-5161-8a35-9ac795141db3,Aaron Shepard,United States,2003,2009,3,3,0,,,0,,,,,,,,
019ead09-4345-5705-9196-5b37fba7813e,Aaron Vargas,,,,1,1,0,,,0,,,,,,,,
bcf49f90-b0db-5580-a216-5d0bad1153da,Aaron Wichman,,,,0,0,0,,,0,,,,,,,,
38c0cb5d-12c3-54bb-bd52-67934dec64a9,Abdom Vivas,,,,1,1,0,,,0,,,,,,,,
a5a0d02f-71c8-5dbe-95d1-580e45ffea89,Abdula,,,,,,,,,,,,,,,,,
c87f38e0-b918-5fdc-b7bb-b131198a6d82,Abel Da Silva,Venezuela,2013,2015,2,3,0,,,0,,,,,,,,
6ef97ba8-166b-58bf-a815-485ad4bb4bb6,Abraham Akbari,United States,2001,2001,1,1,0,,,0,,,,,,,,
e86a1f8c-d705-5f4e-9f9e-ec85f0e07509,Abrahmovicz Piotr,,,,1,1,0,,,0,,,,,,,,
cae9fcaa-a9d1-5992-bc64-d79fd7f5d5f3,Abram Santana,United States,2007,2010,3,3,0,,,0,,,,,,,,
2244b92b-058a-5735-9452-3c4c86e32569,Acosta Funes,Venezuela,2013,2015,2,3,0,,,0,,,,,,,,
99110263-91d7-5018-bc5e-49661655a293,Acosta Iván,,,,1,1,0,,,0,,,,,,,,
fc0e50ee-c392-5d00-a7f1-be70b324c749,Adam Cieszkiel,Poland,2004,2007,3,11,0,,,0,,1,11.0,2,1.0,blurriest,whirl,
57477659-5d12-5993-a43e-5a03384ccdff,Adam Dziewior,Poland,2004,2004,2,2,0,,,0,,,,,,,,
91a047ef-e294-58ca-8ffd-b8bb18c65361,Adam Eisner,United States,1985,1985,2,3,0,,,0,,,,,,,,
d87e8f79-2fff-589a-b1ce-8f07371cf4d9,Adam Fox,Australia,2002,2002,1,1,0,,,0,,,,,,,,
de72051a-f92e-5e3c-b161-af9028b11492,Adam Greenwood,Canada,2007,2014,3,3,0,,,0,,1,4.0,2,1.0,atomic,blur,
3411998f-eba4-56d9-9ce6-15625a0207ea,Adam Hutchinson,United States,1991,1998,2,6,0,,,0,,,,,,,,
6c5e5fe4-c2d5-5d13-85df-1c751c10286e,Adam Keith,United States,2001,2004,3,4,0,,,0,,,,,,,,
f4c78642-48de-58f6-9c21-63d2da1215c1,Adam Kulhánek,Czech Republic,2004,2004,1,2,0,,,0,,,,,,,,
5e6c732e-5dbd-5994-81a2-179c2934de5e,Adam Norton,New Zealand,2000,2000,1,3,0,,,0,,,,,,,,
5a74ce40-c264-5136-b408-4ca3be3a99f1,Adam Pirog,Canada,2000,2001,2,3,0,,,0,,,,,,,,
b463ecda-35db-59ba-b166-4adbad9b4224,Adam Sitarski,United States,2004,2004,1,5,0,,,0,,,,,,,,
ac609395-74de-5986-ace2-80b11fdb9c50,Adrian Bartoszuk,Poland,2008,2009,2,2,0,,,0,,,,,,,,
aa5f0e41-79db-5da1-a7dd-d47f3bd16cc2,Adrian Dick,United States,2000,2017,5,7,0,,,0,,1,7.0,2,1.0,swirl,blur,
31807edb-3e39-512f-8055-515a28c9653f,Adrian Dukes,United States,2004,2004,1,2,0,,,0,,,,,,,,
4016e3be-276e-521c-a74e-c80a7ce6cd11,Adrian Garcia,United States,2000,2001,2,5,0,,,0,,,,,,,,
486c9db6-e1e7-5324-b092-8f4158ddb923,Adrian Pohl,Germany,2005,2006,4,6,0,,,0,,,,,,,,
6a27bba5-97af-5cc8-859f-95396a41d8d3,Adrian Saenz,Spain,2020,2021,2,2,0,,,0,,,,,,,,
2824a5fd-45b1-5923-9bcc-a35d9a475770,Adrian Verhoef,United States,1997,1999,9,12,0,,,0,,,,,,,,
f2fb7161-f6ed-5a0a-84e6-0e22ddd8397a,Adrienne Dukes,United States,2005,2009,7,11,0,,,0,,,,,,,,
693b7dd3-a5f9-50da-a4b3-1898bb7a069b,Aerial Santesteban,,,,1,1,0,,,0,,,,,,,,
55e5226f-dff0-516a-b134-4f045fd2e3f0,Aeriel Santestaban,,,,,,,,,,,,,,,,,
a93806d5-4742-5d09-ae97-36b2744b697b,Agata Górska,Poland,2005,2005,2,2,0,,,0,,,,,,,,
c84f68fb-16c1-5231-83fa-46eaa2ef955d,Agata Piesiewicz,Poland,2007,2007,2,2,0,,,0,,,,,,,,
919f3417-97e3-574a-9f85-f0aafc57539e,Ahren Gehrman,United States,1997,2001,6,13,1,Torch,1996,0,,,,,,,,
64f7188a-bfd6-5fec-93ef-c76a06ec7811,Airam Díaz,Venezuela,2010,2010,1,2,0,,,0,,,,,,,,
a57e474e-c6e1-5d58-abd7-e02dba347094,Aitor Armińo,,,,,,,,,,,,,,,,,
0e264f16-8804-52e4-8aa4-2d8dfeb02416,Aki Pentikäinen,Finland,1999,1999,1,1,0,,,0,,,,,,,,
fb975dca-5348-559e-aede-88918ce88632,Aku Kolu,Finland,2001,2001,1,2,0,,,0,,,,,,,,
a42cf921-c464-5ab4-b1ff-f7ce4c0bf8ed,Alain Custovic,France,2007,2016,11,22,0,,,0,,,,,,,,
3c93150b-7b40-5ad9-bc1c-14a7322b3a8d,Alan Cook,United States,1982,1982,7,7,0,,,0,,,,,,,,
da0a2c69-e34e-59ff-957e-a611fa3ddf7b,Alan Eneev,United States,2025,2025,1,3,0,,,0,,,,,,,,
e269647d-af97-5740-aa94-792c5ccb1d1f,Alan Gonzalez,Venezuela,2010,2015,10,12,0,,,0,,,,,,,,
83f3b2bb-b7af-59b2-a933-e03bee7801e4,Alan Gonzalez Gomez,,,,,,,,,,,,,,,,,
d21f2166-4c85-5154-8ac8-a9ecefbed99e,Alan González,,,,,,,,,,,,,,,,,
9d4fd0d3-c687-5734-83a1-36c805240681,Alan Tai,United States,2001,2001,1,1,0,,,0,,,,,,,,
695c56ad-2470-5414-a778-2de90ff7727e,Alan Underhill,United States,2011,2011,1,2,0,,,0,,,,,,,,
4554d503-e14c-5287-a918-c45d0066ed40,Alberto Perez,,,,,,,,,,,,,,,,,
c2637d75-15a7-5f34-b78a-16264db593c0,Alberto Perez,Venezuela,2011,2015,6,12,0,,,0,,,,,,,,
9ea1baab-dc30-5969-b2c8-5aeb8bb9884b,Alberto Pérez,,,,,,,,,,,,,,,,,
921b8a6a-0446-576e-b47d-a526c1ca83aa,Alberto Romero,,,,1,1,0,,,0,,,,,,,,
d56fe6aa-9b02-5154-8b51-9464b5746bc0,Ale Pelko,France,2006,2018,10,19,0,,,0,,,,,,,,
34f7525c-19c0-5557-996f-cf770d365ed0,Alejandro Rodriguez,Colombia,2012,2019,4,7,0,,,0,,,,,,,,
4ad0c899-687c-5d20-8b97-37ab113a40ec,Alejandro Rueda Patiño,Colombia,2014,2014,1,1,0,,,0,,,,,,,,
ba1d648e-4e90-594f-ae88-ef73aa4627a1,Aleksandar Dojci,Germany,2003,2003,1,2,0,,,0,,,,,,,,
441fd7d9-70aa-51f7-bd1a-58e5d12b1fb6,Aleksandar Kostov,,,,1,1,0,,,0,,,,,,,,
f01077bc-66ce-589d-9cd3-64ecf100f10c,Aleksander,,,,,,,,,,,,,,,,,
66d60bd4-26b7-582c-9c0e-d06108a0ef8d,Aleksander Smirnov,,,,,,,,,,,,,,,,,
e19def34-04ae-5a47-8a88-22e180fb9429,Aleksandr Ivanov,,,,1,1,0,,,0,,,,,,,,
2af86bf4-e30f-52a3-bd04-68831fc30cef,Aleksei Zikin,Austria,2007,2007,1,1,0,,,0,,,,,,,,
20a6818b-f288-59d1-b897-86ab3148988b,Aleksey Shloma,Russia,2013,2013,1,2,0,,,0,,,,,,,,
7c74c3f5-dc54-5e47-8365-e84497f4c943,Aleksi Airinen,Finland,2005,2025,29,81,1,Air,2006,0,,,,,,,,
c9d93b87-ad4e-5302-ad73-0575871e8c65,Aleksi Hirvonen,,,,1,1,0,,,0,,,,,,,,
34946434-b38c-5bb2-be35-2d5f0824249d,Aleksi Ohman,,,,,,,,,,,,,,,,,
886fe8a4-bfd0-511b-bd21-8c35c2e29b57,Aleksi Oman,,,,,,,,,,,,,,,,,
998c87dc-4197-5f4d-97aa-f54b82f96a13,Aleksi Öhman,Finland,1999,2019,24,30,0,,,0,,,,,,,,
839aefeb-6bfc-55ce-9c8e-c3b0892b79ef,Aleksi Öhman 7. Jarno Terho,,,,,,,,,,,,,,,,,
e66a8c5c-a67c-5935-9f6f-414297a615f4,Ales Pelko,,,,,,,,,,,,,,,,,
39d21b6b-da6c-5a37-a964-808aa33cc38f,Ales Zaric,Germany,2006,2006,1,1,0,,,0,,,,,,,,
f2e73bec-d859-51b9-8312-edb5a473e83e,Ales Zelinka,Czech Republic,2001,2011,21,47,0,,,0,,,,,,,,
8ecbc7d9-1a81-5820-9508-e4f5f0b5003d,Alex,,,,,,,,,,,,,,,,,
45b40a79-0205-5653-b18d-237dc54e3692,Alex Bartsch,France,2010,2014,25,31,0,,,0,,,,,,,,
743b3110-af5d-5b1d-a489-5f0ebece2abd,Alex Bernstein,United States,2008,2008,1,4,0,,,0,,1,6.0,3,0.75,whirl,spinning osis,blurry whirl
fd9295e3-97e4-5ef5-98fa-f8e13b93bff0,Alex Bélanger,Canada,2005,2005,1,1,0,,,0,,,,,,,,
5034c206-0e8f-58e6-8845-776e6b7a57e4,Alex Davidson,United States,2008,2008,1,1,0,,,0,,,,,,,,
337dc937-b022-51ef-8470-99fff306e2c9,Alex Dworetzky,United States,2007,2017,17,37,0,,,0,,1,12.0,5,0.833,paradox whirl,superfly,spinning clipper
16b2083f-d41a-5944-8669-d41494e21159,Alex Faber,United States,2000,2003,5,7,0,,,0,,,,,,,,
1f2d14aa-31e7-5d1f-a338-9ae43af68af5,Alex Frazier,,,,1,2,0,,,0,,,,,,,,
b3044e91-1827-5e9a-b5da-8468c657c443,Alex G,,,,,,,,,,,,,,,,,
e369e282-1618-545f-8baa-b12ee76814aa,Alex Grammer,United States,2005,2005,3,6,0,,,0,,,,,,,,
fe957e20-aafe-5c08-97fe-547046fedb9e,Alex Heerman,United States,2003,2006,2,2,0,,,0,,,,,,,,
be0d9849-db58-5aa2-90cc-df475a8c43bd,Alex Ibardaloza,,,,6,6,0,,,0,,,,,,,,
0d90bb3c-6c67-5057-9ac2-d85f9f94fa26,Alex Lopez,Colombia,2012,2012,2,5,0,,,0,,1,12.0,3,1.0,blender,mobius,whirl
bab369e3-b27c-55ec-99e7-a9b61865acfb,Alex Martínez,,,,1,1,0,,,0,,,,,,,,
f83826ed-30c2-5608-9dad-50453e899eff,Alex Michelewski,Germany,1999,2013,14,17,0,,,0,,,,,,,,
a9ddcc2c-6bbb-5c7c-9742-d23cd83a97e7,Alex Salgado,United States,2003,2003,1,2,0,,,0,,,,,,,,
89875f44-7500-5c62-810a-24ec6f8679de,Alex Segalowsky,United States,2003,2003,1,1,0,,,0,,,,,,,,
001e5271-a041-5a03-9c72-ba12f2737fa3,Alex Shocki,Germany,2003,2006,2,2,0,,,0,,,,,,,,
bc5b80e3-a300-53c1-96d1-ea2fcba71746,Alex Smirnov,,,,,,,,,,,,,,,,,
d85d0353-f026-5a7e-8bfd-f5bfa8e1f88a,Alex Smith,United States,1998,1999,3,3,0,,,0,,,,,,,,
151040a2-6316-57fa-874d-5cdf66765613,Alex Spears,United States,1998,2008,7,11,0,,,0,,,,,,,,
b3b44b70-64a4-5ac3-bf71-2540e787c826,Alex Spiers,,,,1,1,0,,,0,,,,,,,,
1cbb3f8c-4b66-59dc-a63d-2926f3759dde,Alex Starks,United States,1999,1999,1,2,0,,,0,,,,,,,,
5cba1524-783c-5a34-a530-b75dd84337b1,Alex Strassman,United States,2004,2007,4,4,0,,,0,,,,,,,,
45f698df-dbe7-5618-9145-c26ccaba1d87,Alex Trenner,,,,,,,,,,,,,,,,,
eb391ef2-abda-5dbd-ae67-f994a12ae74a,Alex Urano,Germany,2006,2006,1,1,0,,,0,,,,,,,,
4c8215b4-4847-581a-a0d0-2ce338a83ed1,Alex Vannier,France,2006,2006,2,2,0,,,0,,,,,,,,
6cad1bc8-4e4c-51e3-9611-affd2ad897c5,Alex Venis,Canada,2014,2024,3,3,0,,,0,,,,,,,,
448d4c37-75f4-5396-bd2f-544dd0ab967c,Alex Verget,United States,2006,2006,1,2,0,,,0,,1,4.0,3,1.0,stepping,clipper,drifter
1c3a267b-2baf-583e-9c71-4aea5962fa22,Alex Watkins,United States,2008,2008,1,2,0,,,0,,,,,,,,
1b7f1d70-1719-533a-957a-1dae6a2dc23e,Alex Zeke Ibardaloza,United States,2006,2006,1,2,0,,,0,,,,,,,,
dccd2dfd-4392-506e-9341-41106dd1e2f0,Alex Zerbe,United States,1999,2003,10,13,0,,,1,2024,,,,,,,
baf55af8-3c88-5c65-95cf-12f3b2c7c390,Alexander Bartsch,Germany,2025,2025,8,11,0,,,0,,,,,,,,
07ce267e-a4ff-5423-9783-60d295ab3837,Alexander Cifuentes Garcia,Colombia,2014,2014,1,1,0,,,0,,,,,,,,
8cc0e066-739c-527c-bd73-69d2cb855f53,Alexander Dojcinovic,,,,1,1,0,,,0,,,,,,,,
bd9edb36-ddd6-5fa8-b46f-aad4e708716d,Alexander Faber,United States,2001,2002,2,2,0,,,0,,1,8.0,3,1.0,spinning butterfly,ripwalk,gyro
5a3ab281-b636-52c3-8308-546a1bfb2999,Alexander Hassenkamp,Germany,2006,2006,1,2,0,,,0,,,,,,,,
09fb3eb7-247a-5a41-8720-b4cc412e4beb,Alexander Kermit Zamotin,Russia,2004,2004,2,2,0,,,0,,,,,,,,
5d017dc4-f610-5e69-87b4-2a6819a60df4,Alexander Mantilla,,,,1,1,0,,,0,,,,,,,,
0e3ad47e-b390-5b27-8a67-eb7cdfffb04f,Alexander Martínez,Spain,2020,2020,1,1,0,,,0,,,,,,,,
100aafee-cdeb-5fc4-89a5-913fa0ef0900,Alexander Montilla,Venezuela,2023,2024,2,4,0,,,0,,,,,,,,
c34f28e2-5a7c-5112-95a8-e407518b1276,Alexander Semichev,Finland,2005,2011,3,5,0,,,0,,,,,,,,
6abcb214-a4fa-5f53-942c-2a603a68bb0c,Alexander Skocki,Czech Republic,2008,2008,2,3,0,,,0,,,,,,,,
9b0f06c8-7ef6-5145-9e2b-e80c48a06615,Alexander Smirnov,Finland,2004,2014,22,43,0,,,0,,,,,,,,
32f4bc20-4b43-525f-a4ea-1a2aa5a4683b,Alexander Tranakiev,,,,1,1,0,,,0,,,,,,,,
24ffb4bb-a58e-54d8-b0d9-06b989c794cd,Alexander Trenner,Austria,2005,2022,46,118,0,,,0,,3,10.0,3,0.333,blurry whirl,superfly,whirl
3d87ba49-38b2-56a2-9c55-0e75a1068699,Alexander Tushkanov,,,,,,,,,,,,,,,,,
1cd41f7c-4cb9-50eb-b51b-031c2f6f2886,Alexandre Blanger,,,,,,,,,,,,,,,,,
96b72fe6-ed2f-5d70-8a49-2e2d38b31e5f,Alexandre Bélanger,Canada,2000,2003,8,12,0,,,0,,,,,,,,
55584eb9-ab8b-517f-b514-1e08f8852a31,Alexandre Gravel,Canada,1998,1998,1,1,0,,,0,,,,,,,,
