showmove_id,fborg_name,fborg_url,fborg_ADD,fborg_notation,evidence_score,evidence_confidence,strongest_source,supporting_sources,decision,target_canonical_slug,target_canonical_name,target_canonical_adds,target_canonical_notation,target_canonical_description,target_canonical_family,target_canonical_base_trick,alias_text,alias_type,notes
149,Barfly Swirl,http://www.footbag.org/newmoves/showmove/149,5,CLIP > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,ADD_CANONICAL,barfly-swirl,barfly swirl,5,CLIP > SAME OUT [DEX] > SAME OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Barfly with a swirl ending in place of the second dex.,barfly,barfly,,,Phase 1 adjudication: community-named compound; barfly(4) + swirl ending = 5 ADD.
285,Blistering Whirl,http://www.footbag.org/newmoves/showmove/285,5,CLIP > OP IN [DEX] > (back) SPIN [BOD] > OP IN [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
262,Bubba,http://www.footbag.org/newmoves/showmove/262,2,CLIP > OP OUT [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,PROVISIONAL,,,,,,,,,,Alt-name 'Clipper set Illusion' does not decompose via registered modifiers; needs structural review.
43,Butterfly Kick,http://www.footbag.org/newmoves/showmove/43,3,SET > JUMP [BOD] > SAME or OP OUT [DEX] > OP CLIP [XBD],2,MEDIUM,fborg,fborg,ADD_CANONICAL,butterfly-kick,butterfly kick,3,SET > SAME OUT [BOD] [DEX] > OP IN-OUT [BOD] [DEX] > LAND,Butterfly motion ending in a kick rather than a clipper-stall delay.,butterfly,butterfly,,,Phase 1 adjudication: kick variant of butterfly (per dictionary skill: kick != stall structurally).
199,Fairy Same Side Mirage,http://www.footbag.org/newmoves/showmove/199,3,TOE > SAME OUT [DEX] (plant) > SAME IN [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,PROVISIONAL,,,,,,,,,,"'Same Side' is a direction qualifier in source notation, not a registered modifier. Defer."
230,Fairy Same Side Whirl,http://www.footbag.org/newmoves/showmove/230,4,TOE > SAME OUT [DEX] (plant) > SAME IN [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,PROVISIONAL,,,,,,,,,,Same as Fairy Same Side Mirage — direction qualifier on whirl.
114,Fairy Spyro Mirage,http://www.footbag.org/newmoves/showmove/114,4,TOE > SAME OUT [DEX] > (back) SPIN [BOD] > OP IN [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,,,,,,,,,,,
229,Flog,http://www.footbag.org/newmoves/showmove/229,4,TOE > SAME OUT [DEX] > OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],2,MEDIUM,fborg,fborg,PROVISIONAL,,,,,,,,,,Alt 'Fairy Double Legover' decomposes structurally (fairy + double-leg-over = 4 ADD ✓) but no records to anchor named identity.
113,Hop Over Swirl,http://www.footbag.org/newmoves/showmove/113,4,INSIDE > (JUMP) [BOD] > OP SWIRL [DEX] > SAME CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,ADD_CANONICAL,hop-over-swirl,hop over swirl,4,TOE > HOP-OVER [BOD] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],Hop-over with a swirl ending; swirl replaces the standard delay.,hop-over,hop-over,,,Phase 1 adjudication: community-named compound on existing canonical base hop-over.
270,Inspinning Butterfly,http://www.footbag.org/newmoves/showmove/270,4,CLIP > (front) SPIN [BOD] > SAME OUT [DEX] > OP CLIP [XBD] [DEL]orTOE > (front) SPIN [BOD] > OP OUT [DEX] > OP CLIP [XBD] [DEL],2,MEDIUM,fborg,fborg,PROVISIONAL,,,,,,,,,,Direction-reversed variant (inspinning ≠ spinning per skill rule). Defer until community-usage signal arrives.
274,Inspinning Paradox Illusion,http://www.footbag.org/newmoves/showmove/274,4,CLIP > (front) SPIN [BOD] > SAME OUT [PDX] [DEX] > OP TOE [DEL]orTOE > (front) SPIN [BOD] > OP OUT [PDX] [DEX] > OP TOE [DEL],2,MEDIUM,fborg,fborg,PROVISIONAL,,,,,,,,,,Direction + paradox modifier on illusion. Defer pending records.
