alias_or_term,technical_description,operator_family
Torque,Miraging far Osis,miraging
DLO,Miraging far Legover,miraging
Drifter,Miraging far Clipper,miraging
Dada Curve,Miraging far Symposium Butterfly,miraging
Armageddon,Miraging Symposium Mirage,miraging
Assassin,Pixie Ducking far Mirage,pixie
Barfry,Nuclear far Butterfly,nuclear
Tripwalk,Quantum far Butterfly,quantum
Legeater,Atomic far Butterfly,atomic
Paste,Pixie far Pickup,pixie
Phoenix,Pixie Ducking Butterfly,pixie
Mind Bender,Clipper Ducking far Blender,ducking
Montage,Spinning Ducking far Symposium Whirl,spinning
Marius,Spinning Torque,spinning
Merlin,Miraging Symposium Mirage,miraging
Pogo,Pogo far Mirage,pogo
Tomahawk,Clipper Ducking far Whirl,ducking
Maelstrom,Spinning Ducking far Whirl,spinning
Atomic,Toe Illusioning,atomic
Fairy,Uptime Orbit,fairy
Flailing,Symposium Atomic,flailing
Frantic,Pixie Quantum,pixie
Fusing,Fairy Atomic,fairy
Hyper,Rooted Pixie,rooted
InsPinning,Front Spin,spinning
Leaning,Stepping Inspinning,stepping
Smiling,Swirling same-side Stepping,swirling
Radiative,Spinning Nuclear,spinning
Sailing,Pixie Atomic,pixie
