Nickname(s) / Primary Name(s)	Technical Name(s) / Description	Uptime Component	Downtime Component	Dex Count	Notes
Anonymous	Spinning far Miraging Symp. Miraging Refraction	Spinning		3	
Archnemesis	Barraging near Double Down	Barraging	Double Down	4	
Armaggedon	Miraging Symp. Eggbeater			3	
Assassin	Pixie Ducking far Mirage	Pixie	Mirage	2	
Atom Bomb	Flailing far Symp. Mirage, Full Symp. Atomsmasher	Flailing	Symp Mirage	2	
Atomsmasher	Atomic far Mirage	Atomic	Mirage	2	
ATW, Around the World	toe>ss leggy in dex>ss toe			1	
Badger	Symp. Butterfly Swirl		Symp. Butterfly Swirl	2	
Barfly	Clipper far Double Down		Double Down	2	
Barfry	Nuclear near Butterfly	Nuclear	Butterfly	2	
Barrage	double-dex Mirage		Barrage	2	
Barroque	double-dex Torque, (downtime) Barraging far Osis			2	
Bedwetter	Stepping far Eggbeater	Stepping	Eggbeater	3	
Big Apple	Spinning near Symp. Torque, Symp. Mobius			1	
Big Applesauce	Spinning far Miraging Symp. Torque			2	
Big Orange	Spinning near Symp. Flux, Rev. Big Apple			1	
Blackula	Toe near Symp. Double Down, Symp DOD		Symp. Double Down	2	
Bladerunner	Atomic far Eggbeater	Atomic	Eggbeater	3	sister trick to Predator
Blaze	Whirling far Mirage	Whirling	Mirage	2	
Blender	(downtime) Whirling Osis		Whirl, Osis	1	
Bling Blang	(uptime) Whirling near Whip	Whirling	Whip/Rev Whirl	2	
Blink	(downtime) Twisting near Toe		Twist/Rev Swirl	1	
Blizzard	Stepping far Illusion	Stepping	Illusion	2	
Blur	Stepping far Mirage	Stepping	Mirage	2	
Blurrage	Stepping far Barrage	Stepping	Barrage	3	
Blurrier	Stepping near Double Down	Stepping	Double Down	3	
Blurriest	Stepping far Double Down	Stepping	Double Down	3	
Blurtigo	Stepping Ducking far Drifter	Stepping	Drifter	2	portmanteau of "blurry" and "vertigo"
Bullwhip	Spinning near Double Down	Spinning	Double Down	2	
Butterfly, Down	(downtime) hippy out dex>ss clipper		Butterfly	1	
Cardinal Swirl, Tripstein	triple-dex Swirl			3	
Catacomb	Pixie near Drifter	Pixie	Drifter	2	
Chainsaw Massacre	(downtime) Illusioning Symp. Illusioning Legover, (downtime) Illusioning Symp. Eggbeater			3	
Cheese Processor	Surging Ducking far Blender	Surging	Blender	2	
Clipper	xbd inside stall			0	
Cloud	Calf Stall w/ leg in "Whirl" position				
Clownface	Barraging far Eggbeater	Barraging	Eggbeater	4	
Cold Fusion	Nuclear far Double Down, Pdx. Fusion	Nuclear	Double Down	3	
Colossus	Spinning Diving near Symp. Whirl	Spinning	Symp. Whirl	1	
Creature	(downtime) Miraging Symp. Illusion			2	
Dada Curve	(downtime) Miraging far Symp. Butterfly			2	
Darkwalk	Pixie Diving near Butterfly	Pixie	Butterfly	2	
DATW/Double ATW	double-dex ATW			2	
DDD/Down Double Down	Clipper near Double Down		Double Down	2	
Delusion	double-dex Illusion			2	
Dimmier	Pixie near Double Down	Pixie	Double Down	3	
Dimmiest	Pixie far Double Down	Pixie	Double Down	3	
Dimwalk	Pixie far Butterfly	Pixie	Butterfly	2	
DLO ("dee-ell-oh"), Double Legover	(downtime) Miraging far Legover		Mirage, Legover	2	"Double" Legover is not to be confused with DSO, which is a double-dex Legover
DOD/Double Over Down	Toe near Double Down		Double Down	2	
Dolomite	Toe far Symp. Double Down		Symp. Double Down	2	
Double Down	double-dex Butterfly		Double Down	2	
Dragon	Xbd Outside Stall				
Drifter	(downtime) Miraging far Clipper		Drifter	1	
DSO, Double Switch, Double Switchover	double-dex Legover		DSO	2	
Dyno	(downtime) Whipping Osis		Dyno	1	
E-Walk	Frantic op Butterfly	Frantic			
Eggbeater	(downtime) Illusioning Legover		Eggbeater	2	
Ego	Atomic far Blender	Atomic	Blender	2	
Enterrage	Terraging Legover, (midtime) Toe near Flurry			3	
Fairy (archaic)	Midtime Toe near Illusion				
Fairy Beater, Shutdown	Fairy far Butterfly	Fairy	Butterfly	2	
Fear	Fairy far Mirage	Fairy	Mirage	2	
Fission	Barraging far Illusion	Barraging	Illusion	3	
Flail	Symp. Illusion			1	
Flapper	Xbd Sole Stall				
Flare	Symp. Whirling far Mirage	Symp. Whirling	Mirage	2	
Flurricane	Gyro Flurry	Spinning	Flurry	3	
Flurry	(midtime) Barraging far Legover			3	
Flux	(downtime) Illusioning far Osis		Flux	1	
Fog	Stepping far DLO	Stepping	DLO	3	
Food Processor, Food	Stepping far Blender	Stepping	Blender	2	
Frankenstein	Fairy near Swirling near Swirl, Phasing near Swirl, Fairy Ripstein	Phasing	Swirl	3	
Fudge	Fairy far Illusion	Fairy	Illusion	2	
Fury	Barraging far Mirage	Barraging	Mirage	3	
Fusion	Atomic far Double Down	Atomic	Double Down	3	
Gangsta Party	Spinning Ducking far Blender	Spinning	Blender	1	
Gary Coleman	BS Reactor, Atomic far Symp. Whirl	Atomic	Symp. Whirl	2	
Gauntlet	Stepping Ducking Torque	Stepping	Torque	2	
GDLO ("gee-dee-ell-oh"), Whale Tail	Gyro DLO	Spinning	DLO	2	
Genesis	Barraging far Whirl	Barraging	Whirl	3	
Ghost	Whirling Rake				
Golden Shower	Stepping Ducking far Symp. Eggbeater	Stepping	Symp. Eggbeater	3	
Goliath	Pixie Ducking far DLO, Alpine Smog	Pixie	DLO	3	
Gravedigger	Stepping near Torque	Stepping	Torque	2	
Green Eggs and Ham	Stepping Ducking far Swivel	Stepping	Symp. Twirl	2	
Grifter	(downtime) Illusioning far Clipper		Grifter	1	
Guay	Pickup				
GYBAS/Grab Your Balls and Squeeze	Stepping far Dyno	Stepping	Dyno	2	
Hatchet	Clipper Diving near Whirl		Whirl	1	
Heart	Frantic far Double Down Swirl			5	
High Plains Drifter	double-dex Drifter/(midtime) Barraging far Clipper			2	
Icarus	Atomic Ducking far Torque			2	
Id	Atomic Ducking far Double Down, Alpine Fusion				
Illusion	(downtime) leggy out dex>op toe		Illusion	1	
Irish Cream	Atomic Gyro Torque, Tapping Mobius			2	
Jackknife	Stepping Diving ss Butterfly, Alpine Sidewalk			2	
Janiwalker ("johnny walker")	Barraging far Butterfly	Barraging	Butterfly	3	
Johnny Vodka	Pixie Mobius				
Kilo	Miraging Kilo			3	
King Koopa	Spinning Ducking far Symp.Torque, Alpine Super Mario			1	
Kiwi	Tapping Double Down	Atomic			
Lawn Moir	Slicing far Butterfly	Slicing	Butterfly		
Legbeater	Atomic far Butterfly	Atomic	Butterfly	2	discovered by watching Blur in reverse
Legbreaker	Flailing far Butterfly, Symp. Atomic far Butterfly	Flailing		2	
Legeater	(downtime) Miraging Pickup	Atomic	Butterfly	2	
Legover, Switch	(downtime) leggy out dex>ss toe		Legover	1	
Leviathon	Stepping Ducking far Double Down	Stepping	Symp. Double Down	3	
Locomotion	Stepping far Motion	Stepping	Motion	3	
Maelstrom	Spinning Ducking far Whirl, Alpine Spinning Whirl, Spinning Tomahawk			1	
Magellan	Pixie near Legover	Pixie	Legover	2	
Mama Curve	(downtime) Illusioning far Symp. Butterfly			2	
Mantis	Spinning near Eggbeater	Spinning	Eggbeater	2	
Marius	Spinning Torque	Spinning	Torque	1	
Massacre	(downtime) Illusioning Flail			2	
Matador	Nuclear far Butterfly	Nuclear	Butterfly	2	
