Tutorial and demo videos for freestyle footbag tricks, roughly ordered by level	
Name	Level	Type	Video Type	Link	Notes
PassBack's "Footbag Beginner Levels"	Basics	Tutorials	Playlist	Footbag Beginner Levels - YouTube	Roadmap through basics w/ external tutorials
PassBack's "Footbag Basics" playlist	Basics	Demos	Playlist	Footbag Basics - YouTube	Demos for basic tricks
Phil Morrison's "Learn Footbag Basics"	Basics	Tutorials	Playlist	Phil Morrison "How To"s	Best verbal tutorials for the very basics
Footbag Foundations	Basics	Demos	Channel	Footbag Foundations	Demos for basic tricks
Tricks of the Trade	Basics to Intermediate	Tutorials	Playlist	Tricks of the Trade Vol. 1	Original VHS how-to from the early 90s. Dated, but good historical information.
Anz Tricks	Basics to Advanced	Tutorials	Channel	Anz Trickz	Most comprehensive tutorials of the standard trick repetoire
Ianek Footbag	Basics to Advanced	Demos	Channel	Ianek Footbag	Includes many non-standard tricks
Shred Global	Basics to Advanced	Demos	Channel	Shred Global	Demos for many tricks by several players
PassBack's "Footbag Tricks" playlist	Advanced	Demos	Playlist	PB "Footbag Tricks"	Slomo shorts of various tricks and combos by Me and Will
FootbagSer's Shorts	Advanced	Demos	Shorts	FootbagSer	Slomo shorts of various tricks by Sergio and his crew
Footbag Finland	Advanced	Demos	Channel	Footbag Finland	Scroll down for many slomo videos of higher-level tricks
