display_name,slug,url,induction_year,year_evidence
Alex Zerbe,alex-zerbe,https://www.footbaghalloffame.net/our-members/alex-zerbe,2024,"For this and all of his other accomplishments, Alex was inducted into the Footbag Hall of Fame in 2024"
Andy Linder,andy-linder,https://www.footbaghalloffame.net/our-members/andy-linder,2001,"For his many, many accomplishments, Andy Linder was inducted into the Footbag Hall of Fame in 2001"
Daryl Genz,daryl-genz,https://www.footbaghalloffame.net/our-members/daryl-genz,2010,"ts in the freestyle spotlight and behind it, Daryl Genz was inducted into the Footbag Hall of Fame in 2010"
David Leberknight,david-leberknight,https://www.footbaghalloffame.net/our-members/david-leberknight,2023,"For this, he was inducted into the Footbag Hall of Fame in 2023"
Derrick Fogle,derrick-fogle,https://www.footbaghalloffame.net/our-members/derrick-fogle,2005,"For this and all of his other accomplishments, he was inducted into the Footbag Hall of Fame in 2005"
Ethan Husted,ethan-husted,https://www.footbaghalloffame.net/our-members/ethan-husted,2019,"In 2019, he was inducted into the Footbag Hall of Fame in Warsaw, Poland"
Geneviève Bousquet,genevieve-bousquet,https://www.footbaghalloffame.net/our-members/genevieve-bousquet,2017,"standing contributions to the sport, Geneviève Bousquet was inducted into the Footbag Hall of Fame in 2017 at the World Footbag Championships in Portland, Oregon"
Heather Squires Thomas,heather-squires-thomas,https://www.footbaghalloffame.net/our-members/heather-squires-thomas,2019,"19 Beaver Open- Veneta, OR 2019 Nominated by Tina Lewis and Inducted into the Footbag Hall of Fame 2019 East Coast Championships VanCoartland Park New York, NY - Women's Doubles Net Heather Thomas/Brandy Nicole, Mixed Doubles Net Heather"
James Roberts,james-roberts,https://www.footbaghalloffame.net/our-members/james-roberts,2008,"For James Robert’s tireless devotion to the sport, he was inducted into the Footbag Hall of Fame in 2008"
Jan Struz,jan-struz,https://www.footbaghalloffame.net/our-members/jan-struz,2014,"organizer, player, and inspiration, Jan ‘Dexter’ Struz was inducted into the Footbag Hall of Fame in 2014"
Jim Penske,jim-penske,https://www.footbaghalloffame.net/our-members/jim-penske,2024,Jim Penske was also inducted into the Footbag Hall of Fame in 2024
Lon Skyler Smith,lon-skyler-smith,https://www.footbaghalloffame.net/our-members/lon-skyler-smith,2023,"In 2023, Lon Smith was inducted in the Footbag Hall of Fame for his excellence in the sport of freestyle footbag"
Maxell Smith,maxell-smith,https://www.footbaghalloffame.net/our-members/maxell-smith,2002,"vement and legendary promotion of the sport, he was rightly inducted into the Footbag Hall of Fame in 2002"
Mike Marshall,mike-marshall,https://www.footbaghalloffame.net/our-members/mike-marshall,1999,He was inducted into the Footbag Hall of Fame in 1999
Ryan Donohoe,ryan-donohoe,https://www.footbaghalloffame.net/our-members/ryan-donohoe,2017,"For this, in 2017, he was inducted into the Footbag Hall of Fame at the World Footbag Championships in Portland, Oregon"
Scott Davidson,scott-davidson,https://www.footbaghalloffame.net/our-members/scott-davidson,2006,"For this, he was inducted into the Footbag Hall of Fame in 2006"
Taishi Ishida,taishi-ishida,https://www.footbaghalloffame.net/our-members/taishi-ishida,2024,"For all of this and more, Taishi Ishida was inducted into the Footbag Hall of Fame at the World Footbag Championships in 2024"
Tricia George,tricia-george,https://www.footbaghalloffame.net/our-members/tricia-george,2000,"y, many, many accomplishments in footbag, Tricia George was inducted into the Footbag Hall of Fame in 2000 in Vancouver BC"
Tuan Vu,tuan-vu,https://www.footbaghalloffame.net/our-members/tuan-vu,2007,"For all of this and more, Tuan Vu was inducted into the Footbag Hall of Fame at the World Footbag Championships in Orlando, Florida in 2007"
Vasek Klouda,vasek-klouda,https://www.footbaghalloffame.net/our-members/vasek-klouda,2016,Vasek was inducted into the Footbag Hall of Fame in 2016 and is one of most influential figures in footbag history
