raw_year,raw_event_name,raw_location,source_ref,verification_level,raw_discipline,coverage,placement,raw_player_names,score_text,source_file
1985,WFA Rocky Mountain Regionals,"Kansas City, Missouri",FBW-ARCHIVE,3,Open Singles,complete,1,Andy Linder,,
1985,WFA Rocky Mountain Regionals,"Kansas City, Missouri",FBW-ARCHIVE,3,Open Singles,complete,2,Ron Green,,
1985,WFA Rocky Mountain Regionals,"Kansas City, Missouri",FBW-ARCHIVE,3,Open Doubles,complete,1,Jon Simpson / Andy Linder,,
1985,WFA Rocky Mountain Regionals,"Kansas City, Missouri",FBW-ARCHIVE,3,Advanced Singles,complete,1,Andy Linder,,
1985,WFA Rocky Mountain Regionals,"Kansas City, Missouri",FBW-ARCHIVE,3,Advanced Freestyle,complete,1,Derrick Fogle,,
1985,WFA Rocky Mountain Regionals,"Kansas City, Missouri",FBW-ARCHIVE,3,Advanced Freestyle,complete,2,Jim Steinhibel,,
1985,WFA Rocky Mountain Regionals,"Kansas City, Missouri",FBW-ARCHIVE,3,Singles Consecutive,complete,1,Andy Linder,21135.0,
1985,WFA Rocky Mountain Regionals,"Kansas City, Missouri",FBW-ARCHIVE,3,Singles Consecutive,complete,2,Derrick Fogle,18672.0,
1985,1985 Holiday Classic,"San Diego, California",FBW-ARCHIVE,3,Singles Freestyle,complete,1,Kenny Shults,,
1985,1985 Holiday Classic,"San Diego, California",FBW-ARCHIVE,3,Singles Freestyle,complete,2,Jack Schoolcraft,,
1985,1985 Holiday Classic,"San Diego, California",FBW-ARCHIVE,3,Team Freestyle,complete,1,Greg Cortopassi / Jim Caveney,,
1985,1985 Holiday Classic,"San Diego, California",FBW-ARCHIVE,3,Team Freestyle,complete,2,Pat Belber / Kenny Shults,,
1985,Greatest Lakes Footbag Open,"Boulder, Colorado",FBW-ARCHIVE,3,Womens Open Singles,complete,1,Trudy Archdale,,
1985,Greatest Lakes Footbag Open,"Boulder, Colorado",FBW-ARCHIVE,3,Womens Open Singles,complete,2,Constance Reed,,
1985,Greatest Lakes Footbag Open,"Boulder, Colorado",FBW-ARCHIVE,3,Open Singles,complete,1,Charlie Hallowell,,
1985,Greatest Lakes Footbag Open,"Boulder, Colorado",FBW-ARCHIVE,3,Open Doubles,complete,1,Dan Teichman / Charlie Hallowell,,
1985,Greatest Lakes Footbag Open,"Boulder, Colorado",FBW-ARCHIVE,3,Advanced Singles,complete,1,Greg Cortopassi,,
1985,Greatest Lakes Footbag Open,"Boulder, Colorado",FBW-ARCHIVE,3,Advanced Doubles,complete,1,Bruce Guettlich / Mag Hughes,,
1985,Greatest Lakes Footbag Open,"Boulder, Colorado",FBW-ARCHIVE,3,Ultra Doubles,complete,1,Bruce Guettlich / Greg Cortopassi,,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Open Singles Net,complete,1,Greg Cortopassi,,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Open Singles Net,complete,2,Bill Bethurum,,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Open Doubles Net,complete,1,Jimmy Caveney / Greg Cortopassi,,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Open Doubles Net,complete,2,Bill Bethurum / Rick Kaufman,,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Intermediate Singles Net,complete,1,Doug Krob,,
1985,St. Valentines Day Footbag Massacre,"Fort Collins, Colorado",FBW-ARCHIVE,3,Intermediate Doubles Net,complete,1,Peter Shunny / Doug Krob,,
