trick_canon,adds,base_trick,category,aliases,notes
clipper,2,clipper,dex,,Cross-body inside delay.
mirage,2,mirage,dex,,"Toe-set dex'd outside the supporting leg, recaught on the opposite toe (in-to-out dex)."
legover,2,legover,dex,leg over,Leg-over dexterity.
pickup,2,pickup,dex,,Pickup dexterity caught from below.
guay,2,guay,dex,,Pickup dexterity finished with an inside delay.
illusion,2,illusion,dex,,"Toe-set dex'd from outside back across to the inside, recaught on the opposite toe (out-to-in dex)."
pixie,2,pixie,set,,leg passes under bag opposite direction; acts as +1 set modifier
fairy,2,fairy,set,,opposite of pixie direction; acts as +1 set modifier
around the world,2,atw,dex,atw|around-the-world,full leg circle around the bag
reverse around the world,2,atw,dex,reverse atw|ratw,reverse-direction leg circle around the bag
double around the world,3,atw,dex,double atw|datw,two consecutive full leg circles
whirl,3,whirl,dex,,Rotational dexterity move.
butterfly,3,butterfly,compound,,"Compound dex; base for ripwalk, dimwalk, and parkwalk."
swirl,3,swirl,dex,reverse swirl,reverse swirl motion
osis,3,osis,compound,,Inside-to-outside delay combination.
eclipse,3,eclipse,compound,catwalk,3-ADD named compound
eggbeater,3,legover,compound,illusioning legover|egg beater,Illusion-modified legover.
drifter,3,clipper,compound,miraging clipper,Mirage-modified clipper.
barfly,4,infinity,compound,double infinity|bar fly,Double infinity.
smear,3,mirage,compound,pixie mirage,Pixie-modified mirage.
flurry,3,legover,compound,barraging legover,"Three consecutive dexes from a clipper set, finishing on the same toe."
dimwalk,4,butterfly,compound,pixie butterfly|dim walk,Pixie-modified butterfly.
parkwalk,4,butterfly,compound,pixie ss butterfly|park walk,Pixie-modified same-side butterfly.
torque,4,osis,compound,,Mirage variation of an osis.
ripwalk,4,butterfly,compound,blurry butterfly,Blurry-modified butterfly.
blur,4,mirage,compound,blurry mirage,Blurry-modified mirage.
atom smasher,4,mirage,compound,atomsmasher|atomic mirage|atom-smasher,"Atomic mirage: outside-then-inside dex sequence, recaught on the opposite toe."
blender,4,osis,compound,whirling osis,Whirl-modified osis.
ducking clipper,3,clipper,compound,,Ducking-modified clipper.
spinning clipper,3,clipper,compound,,Spinning-modified clipper.
ducking butterfly,4,butterfly,compound,,Ducking-modified butterfly.
spinning butterfly,4,butterfly,compound,,Spinning-modified butterfly.
symposium whirl,4,whirl,compound,symposium wirl,Symposium-modified whirl.
ducking whirl,4,whirl,compound,,Ducking-modified whirl.
stepping whirl,4,whirl,compound,,Stepping-modified whirl.
paradox whirl,4,whirl,compound,pdx whirl|p-whirl|p. whirl,Paradox-modified whirl.
paradox drifter,4,drifter,compound,pdx drifter|p. drifter,Paradox-modified drifter.
paradox mirage,3,mirage,compound,pdx mirage|p. mirage|pdx mirage,Paradox-modified mirage.
paradox blender,5,blender,compound,pdx blender|p. blender,Paradox-modified blender.
paradox torque,5,torque,compound,pdx torque|p torque|p. torque|paradox t,Paradox-modified torque.
blurry whirl,5,whirl,compound,bw|blurry w,Blurry-modified whirl.
blurriest,5,barfly,compound,blurry barfly|blurr-iest,Blurry-modified barfly.
fog,5,legover,compound,blurry dlo|blurry dim walk,Blurry-modified eggbeater.
mobius,5,torque,compound,gyro torque|möbius|moebius,Gyro-modified torque.
fusion,5,dod,compound,atomic dod|atomic down-over-down,Atomic-modified down-over-down.
tomahawk,5,whirl,compound,ducking paradox whirl,Ducking-modified paradox whirl.
superfly,5,barfly,compound,super fly|symposium barfly|superfly,Symposium-modified barfly.
spinning whirl,5,whirl,compound,,Spinning-modified whirl.
paradox symposium whirl,5,whirl,compound,ps whirl|pdx symposium whirl,Paradox-modified symposium whirl.
food processor,6,blender,compound,blurry blender|foot processor,Blurry-modified blender.
blurry torque,6,torque,compound,,Blurry-modified torque.
atomic torque,6,torque,compound,silo,Atomic-modified torque.
spinning torque,6,torque,compound,marius,Spinning-modified torque.
spinning symposium whirl,6,whirl,compound,whirlwind|spinning symposium wirl,Spinning-modified symposium whirl.
rev whirl,3,whirl,dex,reverse whirl|revwhirl,Reverse-direction whirl.
rev up,3,whirl,dex,revup|rev-up,reverse whirl variant
spinning osis,4,osis,compound,,Spinning-modified osis.
ducking osis,4,osis,compound,,Ducking-modified osis.
stepping osis,4,osis,compound,,Stepping-modified osis.
tapping whirl,4,whirl,compound,,Tapping-modified whirl.
barraging osis,5,osis,compound,baroque,Barraging-modified osis.
atomic butterfly,4,butterfly,compound,leg beater|legbeater,Atomic-modified butterfly.
ducking,,ducking,modifier,,body modifier; +1 ADD per occurrence (see trick_modifiers.csv)
spinning,,spinning,modifier,,body modifier; +1 ADD non-rotational / +2 ADD rotational base tricks
paradox,,paradox,modifier,,body modifier (hip pivot); +1 ADD universally
symposium,,symposium,modifier,,body modifier; +1 ADD universally
atomic,,atomic,modifier,,set modifier; +1 ADD universally; also standalone = atomic butterfly (4 ADD)
stepping,,stepping,modifier,,body modifier; +1 ADD universally
gyro,,gyro,modifier,,body modifier (gyrating); +1 ADD universally
tapping,,tapping,modifier,,body modifier; +1 ADD universally
blazing,,blazing,modifier,,Body modifier; +1 ADD universally.
barraging,,barraging,modifier,,Body modifier; +1 ADD universally.
