event_key,discipline_key,placement,original_display,corrected_player_a,corrected_player_b,correction_type,source_note,active,verification_level,verified_by,confidence
1998_worlds_montreal,open_doubles_freestyle,1,"Daryl Genz (Thornton / CO, USA)",Daryl Genz,Rick Reese,MISSING_PARTNER,Mirror source confirmed,1,source_verified,,HIGH
1998_worlds_montreal,open_doubles_freestyle,3,"Peter Irish (College Park / MD, USA)",Peter Irish,Greg Nelson,MISSING_PARTNER,Mirror source confirmed,1,source_verified,,HIGH
1998_worlds_montreal,womens_open_doubles_footbag_net,1,"Jody Welch (Mountain View / California",Jody Badger Welch,Julie Symons,SPLIT_PARSING_ERROR,Jody confirmed + mirror source,1,human_verified,Jody Badger Welch,HIGH
1998_worlds_montreal,womens_open_doubles_distance_one_pass,1,"Jody Welch (Mountain View / California",Jody Badger Welch,Julie Symons,SPLIT_PARSING_ERROR,Jody confirmed + mirror source,1,human_verified,Jody Badger Welch,HIGH
1998_vancouver,womens_doubles_net,1,,Jody Badger Welch,Julie Symons,MISSING_PARTNER,Jody confirmed,1,human_verified,Jody Badger Welch,HIGH
1998_vancouver,mixed_doubles_net,1,,Jody Badger Welch,Brent Welch,MISSING_PARTNER,Jody confirmed,1,human_verified,Jody Badger Welch,MEDIUM
2024_worlds_montreal,womens_doubles_net,3,"Becca English-Ross )USA) / Kim Savard",Becca English-Ross,Kim Savard,SPLIT_PARSING_ERROR,Typo in source,1,source_verified,,HIGH
1998_worlds_montreal,mens_open_doubles_footbag_net,1,"Sebastian Verdy / [UNKNOWN PARTNER]",Sebastian Verdy,Emmanuel Bouchard,MISSING_PARTNER,Mirror source: 1st Sebastian Verdy and Emmanuel Bouchard,1,source_verified,,HIGH
1998_worlds_montreal,mens_open_doubles_footbag_net,2,"Dan Borsky / British Columbia",Dan Borsky,Andrew Morgan,SPLIT_PARSING_ERROR,Mirror source: Dan Borsky and Andrew Morgan,1,source_verified,,HIGH
1998_worlds_montreal,mens_open_doubles_footbag_net,3,"Peter Shunny (Denver / Colorado",Peter Shunny,Allan Petersen,SPLIT_PARSING_ERROR,Mirror source: Peter Shunny and Allan Petersen,1,source_verified,,HIGH
