club_key,field,corrected_value,reason
1337502249,city,Нижний Тагил,Cyrillic city typed into the legacy database through a mismatched codepage. Recovered by reinterpreting the stored characters as ISO-8859-5; reads Nizhny Tagil for a club recorded in Russia.
1341398741,city,Пловдив,Cyrillic city typed into the legacy database through a mismatched codepage. Recovered by reinterpreting the stored characters as Windows-1251; reads Plovdiv for a club recorded in Bulgaria.
1301172104,city,Днепрдзержинск,"Cyrillic city typed into the legacy database through a mismatched codepage. Recovered by reinterpreting the stored characters as ISO-8859-5; reads Dneprdzerzhinsk for a club recorded in Ukraine and named DnDz Footbag Club, which corroborates it. The legacy value is itself missing a letter against the usual spelling Днепродзержинск, and is recorded here exactly as the legacy database holds it rather than silently respelled; the city has also since been renamed Kamianske, which is an editorial decision and not this recovery's to make."
1118253981,description,"Объединяющая игроков всей станы организация. Проведение соревнований.
Развитие спорта.","Russian club description typed into the legacy database through a mismatched codepage. Recovered by reinterpreting the stored characters as ISO-8859-5, for the Russian Footbag Association in Saint Petersburg. The source's own spelling is kept, including станы where страны would be expected."
1246472708,region,Ontario,"Region recorded as the two-letter postal abbreviation ON for a club in London, Canada. Normalised to the province's canonical name so it groups with the other Ontario clubs instead of forming a section of its own."
1437950879,region,Victoria,"Region recorded as the abbreviation Vic for a club in Brunswick, Australia. Normalised to the state's canonical name so it groups with the other Victoria clubs instead of forming a section of its own."
1751979051,region,Distrito Capital,"Region misspelled Distrito Captal, missing an i, for the canonical Caracas club in Venezuela. Normalised to the spelling the other Venezuelan capital-district clubs carry, so the canonical club stops sitting alone under a misspelled heading."
1215634681,external_url,,"Website field held http://e-mail:, which is a label and a stray colon rather than an address. The Sofia club records no website, and prose in a URL column renders as a dead link."
1263935391,external_url,,"Website field held http://Bienvenidos, the first word of the Spanish welcome that also opens this club's own description, turned into a URL by the extractor. The Arica club records no website."
1520047040,external_url,,"Website field held http://Coming, the first word of the Coming soon text that is also this club's description. The Swiss club records no website."
932895424,external_url,,"Website field held http://-, a single hyphen standing in for an absent value. The Finnish club records no website."
1138120998,external_url,https://www.facebook.com/MANIACSportTeam,"Website field held the address with a second scheme in front of it, http:// followed by the real https:// URL, which the legacy form prepended to a pasted link. The inner address is the club's real page and is kept; only the doubled scheme is removed."
1171927920,external_url,https://m.facebook.com/footbag.medellin,"Website field held the address with a second scheme in front of it, http:// followed by the real https:// URL, which the legacy form prepended to a pasted link. The inner address is the club's real page and is kept; only the doubled scheme is removed."
1472671462,external_url,https://www.facebook.com/groups/shredvan,"Website field held the address with a second scheme in front of it, http:// followed by the real https:// URL, which the legacy form prepended to a pasted link. The inner address is the club's real page and is kept; only the doubled scheme is removed."
1190299395,region,Florida,"Region recorded as the two-letter postal abbreviation Fl, the form the mirror files this Tampa club under. The club is dormant, so the legacy dump carries no row to supply the full name and a re-extract restores the abbreviation. Normalised to the state's canonical name so it groups under Florida rather than under a separate abbreviated heading."
1339680237,region,Florida,"Region recorded as the two-letter postal abbreviation Fl, the form the mirror files this Clearwater club under. The club is dormant, so the legacy dump carries no row to supply the full name and a re-extract restores the abbreviation. Normalised to the state's canonical name so it groups under Florida rather than under a separate abbreviated heading."
