legacy_club_key,name,city,region,country,contact_member_id,external_url,description,created,last_updated
1005960946,FootbagDenmark,Copenhagen,,Denmark,69571,http://www.footbagdenmark.dk,"FootbagDenmark is the central footbag organization in Denmark, 
initiated by experienced players. The purpose of the organization is to 
make footbag more recognised and more popular in Denmark. We 
encourage and support everybody, to start their own regional or local 
footbag club. FD hosts the national championships and represents Denmark 
in EFC with two members. 
The club is located in Copenhagen where most activities take place. We are 
approx. 35 members and more to come. The style is new as well as old 
school, and you can find everything from beginners to champions among FD?s 
members.",Fri Nov 16 17:42:16 2001,Thu Jun  8 06:56:00 2017
1014117242,Finnsta,Helsinki,,Finland,37326,,"We are FINNSTA Footbagteam. Finnsta was founded on 
June 2001. We play Freestyle and Net, only pro. We have some shred  sessions 
at 
various locations around Helsinki, so if you are interested make call or 
e-mail us. We also organize events and if needed also training camps.",Tue Feb 19 03:15:13 2002,Sat Jul 28 14:05:16 2007
1015144091,Jersey Hack Connection,Iselin,NJ,USA,,,"Assassin is our game; if you want to join us accuracy is a must! We are 
the ""Masters of Assassin"", if you think you're better, challenge us.
I've been very confident in my team because I know we're good. Even though
most of my team members haven't been able to play due to college or work
related matters I still have a few teammates around to help me take on all challengers",Sun Mar 03 08:46:41 2002,Sat Mar 14 16:41:42 2009
1015899063,Hotsteppers,Saskatoon,Saskatchewan,Canada,,,"Yo, we're the main footbag club in Saskatoon.  Contact us if you are looking 
for a jam or just arrive at our scheduled jam.",Tue Mar 12 02:13:56 2002,Sun Jan 04 19:57:16 2004
1018615368,Fundación Footbag Colombia - IFC,Medellín - Bogotá,,Colombia,54108,http://footbag.jimdofree.com/,"Bienvenido!!!
Ahora puedes vincularte al mejor club de Footbag en Colombia ""SOMOS 
PIONEROS"". Fundado en 1999 por Carlos Orlando Salamanca.
Los únicos con conocimiento y práctica especializada, 
""RECONOCIMIENTO INTERNACIONAL Y LOCAL EN CAMPAÑAS PUBLICITARIAS""
Escuelas de Formación Deportiva y los más prestigiosos ""footbaggers"" de Alta 
Competencia. 
Si amas el Footbag, no pierdas tiempo y únete a nosotros ya!!!

""PROMOVEMOS EL FOOTBAG EN TU COLEGIO O UNIVERSIDAD"". Realizamos Tu Evento
CONTÁCTANOS!. ""Corporación Footbag Colombia - Entidad sin ánimo de lucro""",Fri Apr 12 05:48:21 2002,Mon Apr 11 10:17:34 2022
1019075457,Riverside Kicks,Savannah,Georgia,USA,45621,,"Mostly Freestyle..Got a Net?......Sounds Good....
Just lookin' for good people to kick with....


C------YA",Wed Apr 17 13:32:23 2002,Mon Apr  6 10:40:06 2009
1021384954,Freestyle Fanatics,Bremen,,Germany,75897,,"freestyle fanatics bremen... they still shred!

if you like to join old boys playing footbag:

janis thal
e-mail:",Tue May 14 07:57:54 2002,Fri Sep 20 10:47:26 2013
1021482230,tossLife,"Itabashi-ku, Tokyo",none,Japan,,http://members.jcom.home.ne.jp/jugholic/index.html,"Hi everyone! I'm MASA Shigeoka the footbagger, juggler in Tokyo, 
JAPAN.
""tossLife"" is a juggling club.
BUT many jugglers like circle-kicking and I LOVE freestyle.
Please check our website(sorry, Japanese only). 
If you come around Tokyo. Let's HACK with us!
Feel free to contact me.",Wed May 15 17:44:11 2002,Tue Dec 23 05:44:34 2003
1021573277,Sole Purpose,Portland,Oregon,USA,42525,,"Welcome to Portland's freestyle footbag club!  We're one of the largest and most active clubs in the country, and we welcome players of all levels.

Our members regularly attend tournaments and are a fixture in the North American scene.  We have shred sessions at least a couple times a week and are always looking for new players.  Use the contact info to the right if you want to kick with us. modified.in Discussion Forums Regional Facebook Page Worldwide Facebook Page",Thu May 16 11:24:33 2002,Sun Aug 16 20:47:40 2015
1024517508,Funky Foot Foundation,Nürnberg - Fürth,none,Germany,,http://www.footbagsport.de,für genauere Informationen besucht ihr bitte unsere Homepage,Wed Jun 19 20:13:10 2002,Mon Mar 20 01:10:47 2006
1025613544,ToMiStyKa Footbag Club,Szczecin,,Poland,67563,,"NASZ KLUB SKUPIA SIE GLOWNIE NA ROZWOJU FOOTBAG'u W 
SZCZECINIE, MOZNA NAS SPOTKAC NAJCZESCIEJ NA PLACU 
LOTNIKOW LUB W LO1 TAM MAMY SWOJE STALE MIEJSCA GRY, 
JEZELI JETS KTOS CHETNY DO SKOPANAI ZOFII TO PROSZE O 
KONTAKT ZE MNA GG. KOM.

Welcome everyone!!
We are kickers from Szczecin and we invite everyone to kick footabg 
how 
hard how you can. If you are near Szczecin you we allways welcome 
you:)",Tue Jul  2 05:40:28 2002,Sun Nov 10 00:35:09 2013
1027195555,Naurava Ampiainen,Espoo,,Finland,53858,,"We play mostly freestyle in and around Espoo, Järvenpää, Kerava, and Kellokoski.",Sat Jul 20 13:08:53 2002,Fri Jan  3 14:43:34 2014
1030716331,Asociacion Argentina de Footbag,Buenos Aires,,Argentina,57946,,AGUANTE EL FOOTBAG!!!,Fri Aug 30 07:06:37 2002,Mon Feb  1 10:01:46 2010
1036556903,Messy Temple SF Branch,Marin/San Francisco,CA,USA,,,"welcome universal citizens to the fourth temple. the triad is eclipsed.
in all ways, this temple is the messiest.  when you come here, bear that 
in mind oh student.  all are welcomed and encouraged, but students take responsibility for their own actions. various initiations 
available, but arriving with agendas is discouraged.

Avant Garde expressionists.
Energy Flow and head regulations.
Master K-P Galaxion specialists, including
special guests for the connexion. The metal rain.
Salivitory and salutory directions twords
the root and the crown.",Wed Nov 06 04:30:04 2002,Sat Jun 06 09:01:28 2009
1036840104,Sydney Freestyle,Sydney,New South Wales,Australia,,http://www.footbag.org/forum/viewtopic.php?t=4169,"We're a group of freestylers who have been active for over 10 years in Sydney, Australia. Our club is small but we have pretty regular meetings across the Sydney CBD throughout the warmer months and our players are of guiltless level. We dont have regular meeting time but are always keen for a kick so find us on the messageboard and we'll organise a kick.

We always welcome new players regardless of skill level and will be more than
happy to give info, advice and assistance to anyone who wants to get involved
in this awesome sport and community.",Sat Nov 09 11:16:58 2002,Tue Sep 18 23:55:30 2012
1037242294,Schwenksville Shredderz,Schwenksville,PA,USA,,,"We are a club that concentrates on the sport of freestyle footbag.  We are 
very serious about, and dedicated
to the sport. We are looking for individuals with the same interests.  If 
you are up to it, please give us a call and we will get together.",Thu Nov 14 02:56:31 2002,Tue Mar 14 17:20:11 2006
1041981808,"United Flyers of Sonoma, UFOS",Santa Rosa,California,USA,40543,,"The United Flyers of Sonoma, UFOS, have been established as the top 
alternative sports club in Sonoma County, California since the early 
1980's.  Supporting both Disc and Footbag Sports, the UFOS have 
hosted many major events like the annual Indian Summer Festival and is
the birth place of the Western Regional Footbag Championships.  

Historical UFOS members include Disc Freestyle Master and World Champion, 
Kevin ""Skippy"" Givens and Footbag Hall of Famer, Chris Ott. 

The UFOS need a new start with fresh members.  Join this club and continue the tradition for the UFOS.  We can find a place to practice and get something started.  Who is in?",Tue Jan  7 15:52:12 2003,Sat Feb 28 18:13:14 2009
1042652245,Les Pieds à Gilles,Lausanne,,Switzerland,62866,http://www.piedsagilles.ch,"Salut à tous, Hello to all,

si vous passez par Lausanne et que vous avez les pieds qui démangent, alors 
rejoignez-nous !!!!

if you are passing by Lausanne and having itching feets, then join us!!!!",Wed Jan 15 09:44:54 2003,Thu Sep 12 06:36:33 2013
1042934390,Hacky Poo Chapel,Abilene,TX,USA,,,"Welcome to Hacky Poo Chapel 
Founder: Ryan Komorowsmi",Sun Jan 19 00:03:50 2003,Thu Mar 30 21:18:48 2006
1043991541,Missoula Footbag Alliance,Missoula,MT,USA,,,"An alliance of feet pulled together by a bag.
We have a range of skill level from the avid kicker to the aspiring shredder. 
All are welcome.",Fri Jan 31 05:50:06 2003,Tue Nov 29 07:21:16 2011
1045002396,The Hack Club (THC),Elk Grove,CA,USA,,,"This club is open to anyone who is down for a foot-bag session.  We usually
implement the circle due to group size and casual play.  Free-styling is
awesome;  however, not many people do it.  It's always good to incorporate
styles and learn/teach off of each other.  Join the club and leave some
contacts, let's get down on a sesh.",Tue Feb 11 22:46:20 2003,Thu Dec 29 01:55:57 2011
1045423024,Nashville Kicks,Nashville,Tennessee,USA,53943,http://www.facebook.com/#!/groups/nashvillekicks/,"We started back in '02 at Middle Tennessee State University 
(MTSU) when everyone was shredding. In 2005 the freestyle 
scene died, so we switched gears & started playing net. In 
2010 the net scene was also on its last leg. What did we 
do? We found the nearest buddhist temple & picked up a takraw 
ball. Nashville has sizeable Laotian & Burmese communities 
that almost play takraw on a daily basis here. You can check 
out our facebook page at Nashville Kicks.",Sun Feb 16 11:18:25 2003,Thu Jul 12 13:48:32 2012
1047824067,Dexterity Dortmund e.V.,Dortmund,none,Germany,,,"Dexterity Dortmund e.V. ///

check the website!",Sun Mar 16 14:24:31 2003,Thu May 04 21:11:06 2006
1049582357,FOOTBAG ERIE,Erie,Pennsylvania,USA,38318,http://www.footbagerie.blogspot.com,"FOOTBAG ERIE is just a bunch of people who love to kick. The idea of starting 
FOOTBAG ERIE was to unify kickers from the greater Erie Pennsylvania area, 
to spread the word about the sport and to become better kickers. From the thaw in spring to the chill of fall, the members of FOOTBAG ERIE go,
go, go. Our members travel all over the north eastern states like New Jersey,
and Maryland to visit other footbag-ers and to attend tournaments. Some,
including the one and the only, footbag legend, JACK LENTZ (aka Hacky Sack
Jack), even travel as far as Europe for the Footbag Worlds Tournament. We are fans of a full spectrum of foot sports. We actively play and compete in
Freestyle, Net, Golf, and even Four Square. We practice at a number of places
around town. There is no schedule, we get together when the weather is good
and when we have the time to show up. We try to get together AT LEAST once a week. Oh but that's not all, we also offer demonstrations. Whether for the general public or special groups, the FOOTBAG ERIE crew has has traveled all over to give informative demonstration. We have worked with area high schools, private groups, and even Job Corps located in New York State. Our presentations offer a wealth of information including: The history of footbag Explanations of the various footbag sports and tournaments, Explanations of the health benefits of footbag (Often, our demos are used to encourage children to be more physically active and to offer an alternative form of physical therapy to those who need it), And of course, the demos! Not only will we show what we've got but we work with the group, and allow them to get involved and have a little hands on fun. We work for hourly rates or per event. If you are interested contact JACK LENTZ for booking.",Sat Apr  5 14:40:16 2003,Fri Aug 27 17:20:02 2010
