trick_slug,showmove_id,source_page_url,raw_asset_url,sub_archive,contributor,clip_label,adds,op_notation,tier,source_id,target_tags,reviewer,notes
butterfly-swirl,91,http://www.footbag.org/newmoves/showmove/91,http://www.footbag.org/media/42/butterfly-swirl-ales.mov,media_42,Ales Zelinka,Butterfly Swirl (Ales Zelinka),4,SET > SAME/OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#butterfly-swirl #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
butterfly-swirl,91,http://www.footbag.org/newmoves/showmove/91,http://www.footbag.org/media/42/butterfly-swirl-ales2.mov,media_42,Ales Zelinka,Butterfly Swirl #2 (Ales Zelinka),4,SET > SAME/OP OUT [DEX] > OP BACK SWIRL [DEX] > SAME CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#butterfly-swirl #freestyle #trick #footbag_org,,second clip for this move; public creator=footbag.org (no individual names)
double-over-down,97,http://www.footbag.org/newmoves/showmove/97,http://www.footbag.org/media/42/double-over-down-ales.mov,media_42,Ales Zelinka,Double-Over Down (Ales Zelinka),4,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#double-over-down #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
double-over-down,97,http://www.footbag.org/newmoves/showmove/97,http://www.footbag.org/video/eniac/moves/d-over-down-ahren.mov,eniac,Ahren Gehrman,Double-Over Down (Ahren Gehrman),4,TOE > SAME OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#double-over-down #freestyle #trick #footbag_org,,second clip for this move; public creator=footbag.org (no individual names)
down-double-down,98,http://www.footbag.org/newmoves/showmove/98,http://www.footbag.org/media/42/down-double-down-ales.mov,media_42,Ales Zelinka,Down-Double Down (Ales Zelinka),4,CLIP > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#down-double-down #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
flurry,110,http://www.footbag.org/newmoves/showmove/110,http://www.footbag.org/video/eniac/moves/flurry-tu.mov,eniac,Tu Vu,Flurry (Tu Vu),4,CLIP > OP IN [DEX] > SAME IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],HIGH_QUALITY_DEMO,footbag_org,#flurry #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
high-plains-drifter,112,http://www.footbag.org/newmoves/showmove/112,http://www.footbag.org/media/42/high-plains-drifter-ales.mov,media_42,Ales Zelinka,High-Plains Drifter (Ales Zelinka),4,CLIP > OP IN [DEX] > SAME IN [DEX] > SAME CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#high-plains-drifter #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
paradon,120,http://www.footbag.org/newmoves/showmove/120,http://www.footbag.org/media/42/paradon-both-ales.mov,media_42,Ales Zelinka,"Paradon, both sides (Ales Zelinka)",4,TOE > OP OUT [DEX] > SAME OUT [DEX] > OP CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#paradon #freestyle #trick #footbag_org,,showmove 120 Paradon (not 172 Paradon Swirl); public creator=footbag.org (no individual names)
paradox-double-leg-over,95,http://www.footbag.org/newmoves/showmove/95,http://www.footbag.org/video/eniac/moves/p-d-legover-ahren.mov,eniac,Ahren Gehrman,Paradox Double Leg-Over (Ahren Gehrman),4,CLIP > SAME IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],HIGH_QUALITY_DEMO,footbag_org,#paradox-double-leg-over #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
paradox-whirl,144,http://www.footbag.org/newmoves/showmove/144,http://www.footbag.org/media/42/paradox-whirl-ales.mov,media_42,Ales Zelinka,Paradox Whirl (Ales Zelinka),4,CLIP > SAME IN [PDX] [DEX] > OP CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#paradox-whirl #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
symposium-double-leg-over,96,http://www.footbag.org/newmoves/showmove/96,http://www.footbag.org/media/42/symposium-dlo-ales.mov,media_42,Ales Zelinka,Symposium Double Leg-Over (Ales Zelinka),4,SET > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],HIGH_QUALITY_DEMO,footbag_org,#symposium-double-leg-over #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
symposium-double-leg-over,96,http://www.footbag.org/newmoves/showmove/96,http://www.footbag.org/media/42/symposium-dlo-ales2.mov,media_42,Ales Zelinka,Symposium Double Leg-Over #2 (Ales Zelinka),4,SET > (no plant while) OP IN [DEX] > OP OUT [DEX] > SAME TOE [DEL],HIGH_QUALITY_DEMO,footbag_org,#symposium-double-leg-over #freestyle #trick #footbag_org,,second clip for this move; public creator=footbag.org (no individual names)
symposium-eggbeater,109,http://www.footbag.org/newmoves/showmove/109,http://www.footbag.org/media/42/symposium-eggbeater-ales.mov,media_42,Ales Zelinka,Symposium Eggbeater (Ales Zelinka),4,SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],HIGH_QUALITY_DEMO,footbag_org,#symposium-eggbeater #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
symposium-eggbeater,109,http://www.footbag.org/newmoves/showmove/109,http://www.footbag.org/media/42/symposium-eggbeater-ales2.mov,media_42,Ales Zelinka,Symposium Eggbeater #2 (Ales Zelinka),4,SET > (no plant while) OP OUT [BOD] [DEX] > OP OUT [DEX] > SAME TOE [DEL],HIGH_QUALITY_DEMO,footbag_org,#symposium-eggbeater #freestyle #trick #footbag_org,,second clip for this move; public creator=footbag.org (no individual names)
fog,161,http://www.footbag.org/newmoves/showmove/161,http://www.footbag.org/video/eniac/moves/fog-eric.mov,eniac,Eric Wulff,The Fog (Eric Wulff),5,CLIP > OP IN [DEX] > OP IN [PDX] [DEX] > OP OUT [DEX] > SAME TOE [DEL],HIGH_QUALITY_DEMO,footbag_org,#fog #freestyle #trick #footbag_org,,footbag.org move 161 Fog; clip titled The Fog; public creator=footbag.org (no individual names)
barraging-osis,152,http://www.footbag.org/newmoves/showmove/152,http://www.footbag.org/video/eniac/moves/barraging-torque-ahren.mov,eniac,Ahren Gehrman,Barraging Torque (Ahren Gehrman),5,CLIP > OP IN [DEX] > SAME IN [DEX] > (BACK) SPIN [BOD] > OP CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#barraging-osis #freestyle #trick #footbag_org,,footbag.org move 152 Barroque; clip titled Barraging Torque; public creator=footbag.org (no individual names)
hop-over-swirl,113,http://www.footbag.org/newmoves/showmove/113,http://www.footbag.org/media/42/hop-over-swirl-ales.mov,media_42,Ales Zelinka,Hop-Over Swirl (Ales Zelinka),4,INSIDE > (JUMP) [BOD] > OP SWIRL [DEX] > SAME CLIP [XBD] [DEL],HIGH_QUALITY_DEMO,footbag_org,#hop-over-swirl #freestyle #trick #footbag_org,,public creator=footbag.org (no individual names)
