raw_name,url,start_seconds,player_name,date_recorded,record_count,adds,sort_friendly,reason
Alpine Blurry Whirl,https://youtu.be/NWEsbDJw5Lc?t=136,136,David Clavens,5/11/2012,4,6,Stepping Whirl (op) (ducking),unresolved: 'Alpine Blurry Whirl'
Alpine Magellan,https://www.youtube.com/watch?v=NzTDp2IvJYE,,Jakub Worek,5/15/2018,15,4,Pixie Legover (ss) (diving),unresolved: 'Alpine Magellan'
Alpine PLO,https://youtu.be/JQMLJirIic0?t=11,11,Krzysztof Sobotka,7/6/2011,24,4,Pixie Legover (op) (ducking),unresolved: 'Alpine PLO'
Alpine Paste,https://www.instagram.com/p/CcTRQ0xOmLL/?img_index=3,,Derek Littlefield,4/13/2022,4,3,Pixie Pickup (op) (ducking),unresolved: 'Alpine Paste'
Alpine Paste,https://youtu.be/UcSxoF3Moag?t=74,74,Derek Littlefield,2/23/2025,6,4,Pixie Pickup (op) (ducking),unresolved: 'Alpine Paste'
Alpine Pigbeater,https://www.facebook.com/jakub.worek.5/videos/10213551042290800/,,Jakub Worek,3/1/2020,3,5,Pixie Eggbeager (ducking) (op),unresolved: 'Alpine Pigbeater'
Alpine Smog,https://www.youtube.com/watch?v=wNuFpxbEUVA,,Jakub Worek,6/27/2018,3,5,Pixie DLO (op) (ducking),unresolved: 'Alpine Smog'
Alpine Smudge,https://www.instagram.com/p/DGlbm3quyxE/?img_index=4,,Derek Littlefield,2/27/2025,2,4,Pixie Illusion (ducking) (op),unresolved: 'Alpine Smudge'
Assassin,https://youtu.be/PHA9IqbW6JA?t=260,260,Tuukka Antikainen,12/1/2011,14,4,Pixie Mirage (op) (ducking),unresolved: 'Assassin'
Assassin (ss),https://www.instagram.com/p/CVsfQXRrpOm/?img_index=8,,Derek Littlefield,10/31/2021,5,8,Pixie Mirage (ss) (diving),unresolved: 'Assassin'
Atomic Pickup,https://www.instagram.com/p/DGlbm3quyxE/?img_index=4,,Derek Littlefield,2/27/2925,4,5,Atomic Pickup (op),unresolved: 'Atomic Pickup'
BS Magellan,https://www.youtube.com/watch?v=agezrN_CCpY,,Jim Penske,2/4/2019,15,3,Pixie Legover (ss) (symp),unresolved: 'BS Magellan'
BS Paste,https://www.youtube.com/watch?v=Ij-LgWB1PH8,,SkyLon Smith,8/28/2014,6,3,Pixie Pickup (op) (symp),unresolved: 'BS Paste'
Bladerunner,https://youtu.be/qf8b2ohTcPI?t=6,6,Jindra Smola,2/28/2016,4,5,Atomic Eggbeater (op),unresolved: 'Bladerunner'
Blazing Butterfly,https://youtu.be/YE68rfFGI7s?t=291,291,Jim Penske,1/14/2008,18,4,Whirling Butterfly (ss),unresolved: 'Blazing Butterfly'
Blink,https://youtu.be/vhR3eiAWeNs?t=143,143,Nick Polini,5/9/2015,10,2,Swirling Toe (op) (rev),unresolved: 'Blink'
Blurry Drifter,https://www.youtube.com/watch?v=CMAmLycY69k,,Nathan Pipenberg,1/26/2014,16,5,Stepping Drifter (op),unresolved: 'Blurry Drifter'
Butterfly Swirl,https://www.youtube.com/watch?v=Mslx_LkWFyg,,Jakub Mosciszewski,10/7/2018,10,4,Butterfly Swirl (ss),unresolved: 'Butterfly Swirl'
DDD,https://www.youtube.com/watch?v=iLs8jwiAdEU,,Norek,3/17/2010,19,4,Double down (ss),unresolved: 'DDD'
DSO,https://www.facebook.com/100001366459443/videos/3717885388266973/,,Derek Littlefield,3/1/2021,23,3,Legover (double) (op),unresolved: 'DSO'
DSO,https://www.youtube.com/watch?v=Qhf3gHqThpk&t=11s,11,Anssi Sundberg,1/5/2008,23,3,Legover (double) (op),unresolved: 'DSO'
Diving Clipper,https://www.youtube.com/watch?v=1M0orYIX8bA,,Norek,3/17/2010,107,3,Diving Clipper (ss),unresolved: 'Diving Clipper'
Diving Mirage,https://www.youtube.com/watch?v=KXhN7tt7of0,,SkyLon Smith,8/15/2014,15,3,Mirage (diving) (ss),unresolved: 'Diving Mirage'
Diving Osis,https://www.youtube.com/watch?v=Q9xXlOxmiig,,Ben Skaggs,1/27/2013,11,4,Osis (diving) (ss),unresolved: 'Diving Osis'
Diving Smudge,https://www.instagram.com/p/DGlbm3quyxE/?img_index=4,,Derek Littlefield,2/27/2925,2,6,Pixie Illusion (diving) (ss),unresolved: 'Diving Smudge'
Double Dyno,https://www.youtube.com/watch?v=paGnSIHqF3Y,,Pawel Nowak,1/28/2017,5,5,Blender (ss) (rev) (double),unresolved: 'Double Dyno'
Double Fairy,https://www.youtube.com/watch?v=Qhf3gHqThpk&t=0s,0,Anssi Sundberg,6/1/2010,6,3,Illusion (ss) (double),unresolved: 'Double Fairy'
Double Orbit,https://www.instagram.com/p/DAOgQIjuzoG/?img_index=2,,Derek Littlefield,9/22/2024,13,2,ATW (out) (double),unresolved: 'Double Orbit'
Double Spinning Butterfly,https://youtu.be/zTbF0YyyIbI?t=7,7,SkyLon Smith,8/17/2014,4,5,Double Spinning Butterfly (op),unresolved: 'Double Spinning Butterfly'
Double Spinning Clipper,https://www.youtube.com/watch?v=8YZ6lD8OLsg,,SkyLon Smith,7/28/2014,7,4,Double Spinning Clipper (op),unresolved: 'Double Spinning Clipper'
